accepted_name,scientific_name,taxonomic_status,family,broader,establishment_means,sublist,year_first_record,year_last_record,year_first_voucher,year_last_voucher,year_first_iNat_obs,year_last_iNat_obs,first_record_type,last_record_type,latitude_first_record_recent_discovery,longitude_first_record_recent_discovery,latitude_last_record_long_unobserved,longitude_last_record_long_unobserved
Polystichum scopulinum,Polystichum scopulinum,accepted,Polypodiaceae,1.ferns/primitive,native,long unobserved,1939,1939,1939,1939,,,voucher,voucher,,,38.07844,-119.351845
Anelsonia eurycarpa,Anelsonia eurycarpa,accepted,Brassicaceae,3.dicot,native,long unobserved,1939,1939,1939,1939,,,voucher,voucher,,,38.0287096,-119.3077868
Spergula arvensis,Spergula arvensis,accepted,Caryophyllaceae,3.dicot,introduced,long unobserved,1939,1939,1939,1939,,,voucher,voucher,,,38.005967,-119.312177
Agrostis oregonensis,Agrostis oregonensis,accepted,Poaceae,4.monocot,native,long unobserved,1939,1939,1939,1939,,,voucher,voucher,,,38.00468,-119.75201
Cicuta douglasii,Cicuta douglasii,accepted,Apiaceae,3.dicot,native,long unobserved,1940,1940,1940,1940,,,voucher,voucher,,,37.9285816,-119.8073714
Stachys ajugoides,Stachys ajugoides,accepted,Lamiaceae,3.dicot,native,long unobserved,1940,1940,1940,1940,,,voucher,voucher,,,37.9602118,-119.8412529
Erythranthe inconspicua,Erythranthe inconspicua,accepted,Phrymaceae,3.dicot,native,long unobserved,1940,1940,1940,1940,,,voucher,voucher,,,37.766,-119.85
Limosella acaulis,Limosella acaulis,accepted,Plantaginaceae,3.dicot,native,long unobserved,1940,1940,1940,1940,,,voucher,voucher,,,37.89084,-119.25865
Veronica anagallis-aquatica,Veronica anagallis-aquatica,accepted,Plantaginaceae,3.dicot,introduced,long unobserved,1940,1940,1940,1940,,,voucher,voucher,,,37.740037,-119.570956
Polypodium californicum,Polypodium californicum,accepted,Polypodiaceae,1.ferns/primitive,native,long unobserved,1941,1965,1941,1965,,,voucher,voucher,,,37.6869959,-119.7294911
Marah fabacea,Marah fabacea,accepted,Cucurbitaceae,3.dicot,native,long unobserved,1941,1941,1941,1941,,,voucher,voucher,,,37.9514314,-119.8284319
Navarretia crystallina,Navarretia crystallina,accepted,Polemoniaceae,3.dicot,native,long unobserved,1941,1941,1941,1941,,,voucher,voucher,,,37.92047,-119.86767999999999
Navarretia vividior,Navarretia vividior,accepted,Polemoniaceae,3.dicot,native,long unobserved,1941,1941,1941,1941,,,voucher,voucher,,,37.9599,-119.8388
Neomonolepis spathulata,Neomonolepis spathulata,accepted,Amaranthaceae,3.dicot,native,long unobserved,1944,1944,1944,1944,,,voucher,voucher,,,37.878355,-119.367561
Centaurea benedicta,Centaurea benedicta,accepted,Asteraceae,3.dicot,introduced,long unobserved,1944,1944,1944,1944,,,voucher,voucher,,,37.7408339,-119.571183
Centaurea melitensis,Centaurea melitensis,accepted,Asteraceae,3.dicot,introduced,long unobserved,1944,1944,1944,1944,,,voucher,voucher,,,37.679869,-119.734941
Hornungia procumbens,Hornungia procumbens,accepted,Brassicaceae,3.dicot,native,long unobserved,1944,1944,1944,1944,,,voucher,voucher,,,37.8785007,-119.36755
Sagina decumbens,Sagina decumbens,accepted,Caryophyllaceae,3.dicot,native,long unobserved,1944,1944,1944,1944,,,voucher,voucher,,,37.7559717,-119.5993003
Acmispon glaber,Acmispon glaber,accepted,Fabaceae,3.dicot,native,long unobserved,1944,1944,1944,1944,,,voucher,voucher,,,37.6823655,-119.7330376
Pterostegia drymarioides,Pterostegia drymarioides,accepted,Polygonaceae,3.dicot,native,long unobserved,1944,1959,1944,1959,,,voucher,voucher,,,37.7204416,-119.7768549
Portulaca oleracea,Portulaca oleracea,accepted,Portulacaceae,3.dicot,introduced,long unobserved,1944,1944,1944,1944,,,voucher,voucher,,,37.7483396,-119.5878855
Clematis lasiantha,Clematis lasiantha,accepted,Ranunculaceae,3.dicot,native,long unobserved,1944,1944,1944,1944,,,voucher,voucher,,,37.68638,-119.73082
Adenostoma fasciculatum,Adenostoma fasciculatum,accepted,Rosaceae,3.dicot,native,long unobserved,1944,1944,1944,1944,,,voucher,voucher,,,37.6985775,-119.7230631
Carex davyi,Carex davyi,accepted,Cyperaceae,4.monocot,native,long unobserved,1944,1944,1944,1944,,,voucher,voucher,,,37.8747874,-119.3649106
Eriocoma thurberiana,Eriocoma thurberiana,accepted,Poaceae,4.monocot,native,long unobserved,1944,1976,1944,1976,,,voucher,voucher,,,37.8099258,-119.8728869
Pentagramma pallida,Pentagramma pallida,accepted,Pteridaceae,1.ferns/primitive,native,long unobserved,1946,1958,1946,1958,,,voucher,voucher,,,37.686,-119.73
Polypodium hesperium,Polypodium hesperium,accepted,Polypodiaceae,1.ferns/primitive,native,long unobserved,1947,1983,1947,1983,,,voucher,voucher,,,37.728757,-119.546206
Cuscuta occidentalis,Cuscuta occidentalis,accepted,Convolvulaceae,3.dicot,native,long unobserved,1948,1948,1948,1948,,,voucher,voucher,,,37.8789,-119.3662
Garrya flavescens,Garrya flavescens,accepted,Garryaceae,3.dicot,native,long unobserved,1948,1948,1948,1948,,,voucher,voucher,,,37.7269894,-119.6125952
Juncus bryoides,Juncus bryoides,accepted,Juncaceae,4.monocot,native,long unobserved,1948,1980,1948,1980,,,voucher,voucher,,,37.8954,-119.3949
Puccinellia nuttalliana,Puccinellia nuttalliana,accepted,Poaceae,4.monocot,native,long unobserved,1949,1949,1949,1949,,,voucher,voucher,,,37.879,-119.364
Oxalis stricta,Oxalis stricta,accepted,Oxalidaceae,3.dicot,introduced,long unobserved,1954,1982,1954,1982,,,voucher,voucher,,,37.7462725,-119.5790752
Castilleja arachnoidea,Castilleja arachnoidea,accepted,Orobanchaceae,3.dicot,native,long unobserved,1960,1960,1960,1960,,,voucher,voucher,,,38.0653357,-119.3343437
Lolium pratense,Lolium pratense,accepted,Poaceae,4.monocot,introduced,long unobserved,1964,1964,1964,1964,,,voucher,voucher,,,37.8695999,-119.648854
Phoradendron bolleanum,Phoradendron bolleanum,accepted,Santalaceae,3.dicot,native,long unobserved,1969,1969,1969,1969,,,voucher,voucher,,,37.702236,-119.722238
Tomostima reptans,Tomostima reptans,accepted,Brassicaceae,3.dicot,native,long unobserved,1981,1981,1981,1981,,,voucher,voucher,,,37.88926,-119.21114
Sisymbrium officinale,Sisymbrium officinale,accepted,Brassicaceae,3.dicot,introduced,long unobserved,1983,1983,1983,1983,,,voucher,voucher,,,37.7486472,-119.5888256
Galium boreale,Galium boreale,accepted,Rubiaceae,3.dicot,native,long unobserved,1984,1984,1984,1984,,,voucher,voucher,,,37.7466,-119.5802
Elodea nuttallii,Elodea nuttallii,accepted,Hydrocharitaceae,5.monocot-colorful,native,long unobserved,1985,1985,1985,1985,,,voucher,voucher,,,37.7398002,-119.5954691
Draba longisquamosa,Draba longisquamosa,accepted,Brassicaceae,3.dicot,native,long unobserved,1989,1989,1989,1989,,,voucher,voucher,,,37.9012,-119.2274
Argentina anserina,Argentina anserina,accepted,Rosaceae,3.dicot,native,long unobserved,1989,1989,1989,1989,,,voucher,voucher,,,37.878806,-119.371157
Arnica nevadensis,Arnica nevadensis,accepted,Asteraceae,3.dicot,native,old and recent records,1860,2005,1860,2005,,,voucher,voucher,,,,
Chaenactis douglasii,Chaenactis douglasii,accepted,Asteraceae,3.dicot,native,old and recent records,1860,2023,1860,2007,2020,2023,voucher,iNat,,,,
Draperia systyla,Draperia systyla,accepted,Boraginaceae,3.dicot,native,old and recent records,1860,2023,1860,2007,2011,2023,voucher,iNat,,,,
Phacelia purpusii,Phacelia purpusii,accepted,Boraginaceae,3.dicot,native,old and recent records,1860,2009,1860,2009,,,voucher,voucher,,,,
Boechera platysperma,Boechera platysperma,accepted,Brassicaceae,3.dicot,native,old and recent records,1860,2018,1860,2007,2018,2018,voucher,iNat,,,,
Boechera rectissima,Boechera rectissima,accepted,Brassicaceae,3.dicot,native,old and recent records,1860,2007,1860,2007,,,voucher,voucher,,,,
Erysimum capitatum,Erysimum capitatum,accepted,Brassicaceae,3.dicot,native,old and recent records,1860,2023,1860,2007,2013,2023,voucher,iNat,,,,
Streptanthus tortuosus,Streptanthus tortuosus,accepted,Brassicaceae,3.dicot,native,old and recent records,1860,2023,1860,2021,2007,2023,voucher,iNat,,,,
Sedum obtusatum,Sedum obtusatum,accepted,Crassulaceae,3.dicot,native,old and recent records,1860,2023,1860,2013,2006,2023,voucher,iNat,,,,
Epilobium densiflorum,Epilobium densiflorum,accepted,Onagraceae,3.dicot,native,old and recent records,1860,2023,1860,2006,2022,2023,voucher,iNat,,,,
Diplacus torreyi,Diplacus torreyi,accepted,Phrymaceae,3.dicot,native,old and recent records,1860,2023,1860,2014,2014,2023,voucher,iNat,,,,
Penstemon newberryi,Penstemon newberryi,accepted,Plantaginaceae,3.dicot,native,old and recent records,1860,2023,1860,2021,1989,2023,voucher,iNat,,,,
Penstemon rostriflorus,Penstemon rostriflorus,accepted,Plantaginaceae,3.dicot,native,old and recent records,1860,2023,1860,2008,2005,2023,voucher,iNat,,,,
Collomia linearis,Collomia linearis,accepted,Polemoniaceae,3.dicot,native,old and recent records,1860,2020,1860,2007,2016,2020,voucher,iNat,,,,
Polygonum douglasii,Polygonum douglasii,accepted,Polygonaceae,3.dicot,native,old and recent records,1860,2022,1860,2009,2022,2022,voucher,iNat,,,,
Polygonum polygaloides,Polygonum polygaloides,accepted,Polygonaceae,3.dicot,native,old and recent records,1860,2019,1860,2005,2019,2019,voucher,iNat,,,,
Ranunculus alismifolius,Ranunculus alismifolius,accepted,Ranunculaceae,3.dicot,native,old and recent records,1860,2022,1860,2006,2008,2022,voucher,iNat,,,,
Potentilla bruceae,Potentilla bruceae,accepted,Rosaceae,3.dicot,native,old and recent records,1860,2012,1860,2012,,,voucher,voucher,,,,
Galium triflorum,Galium triflorum,accepted,Rubiaceae,3.dicot,native,old and recent records,1860,2022,1860,2004,2018,2022,voucher,iNat,,,,
Calochortus superbus,Calochortus superbus,accepted,Liliaceae,5.monocot-colorful,native,old and recent records,1860,2023,1860,1969,2014,2023,voucher,iNat,,,,
Toxicoscordion venenosum,Toxicoscordion venenosum,accepted,Melanthiaceae,5.monocot-colorful,native,old and recent records,1860,2021,1860,2006,2019,2021,voucher,iNat,,,,
Rosa bridgesii,Rosa bridgesii,accepted,Rosaceae,3.dicot,native,old and recent records,1861,2022,1861,1969,2020,2022,voucher,iNat,,,,
Thysanocarpus curvipes,Thysanocarpus curvipes,accepted,Brassicaceae,3.dicot,native,old and recent records,1862,2021,1862,2006,2016,2021,voucher,iNat,,,,
Lupinus stiversii,Lupinus stiversii,accepted,Fabaceae,3.dicot,native,old and recent records,1862,2024,1862,1967,2006,2024,voucher,iNat,,,,
Aspidotis densa,Aspidotis densa,accepted,Pteridaceae,1.ferns/primitive,native,old and recent records,1863,2023,1863,2014,1981,2023,voucher,iNat,,,,
Myriopteris gracillima,Myriopteris gracillima,accepted,Pteridaceae,1.ferns/primitive,native,old and recent records,1863,2023,1863,2015,2009,2023,voucher,iNat,,,,
Pellaea bridgesii,Pellaea bridgesii,accepted,Pteridaceae,1.ferns/primitive,native,old and recent records,1863,2023,1863,2005,1981,2023,voucher,iNat,,,,
Podistera nevadensis,Podistera nevadensis,accepted,Apiaceae,3.dicot,native,old and recent records,1863,2023,1863,2016,2014,2023,voucher,iNat,,,,
Apocynum cannabinum,Apocynum cannabinum,accepted,Apocynaceae,3.dicot,native,old and recent records,1863,2023,1863,2004,2001,2023,voucher,iNat,,,,
Achillea millefolium,Achillea millefolium,accepted,Asteraceae,3.dicot,native,old and recent records,1863,2023,1863,2011,2005,2023,voucher,iNat,,,,
Arnica dealbata,Arnica dealbata,accepted,Asteraceae,3.dicot,native,old and recent records,1863,2007,1863,2007,,,voucher,voucher,,,,
Erigeron breweri,Erigeron breweri,accepted,Asteraceae,3.dicot,native,old and recent records,1863,2023,1863,2021,2014,2023,voucher,iNat,,,,
Erigeron compositus,Erigeron compositus,accepted,Asteraceae,3.dicot,native,old and recent records,1863,2023,1863,2007,2015,2023,voucher,iNat,,,,
Hemizonella minima,Hemizonella minima,accepted,Asteraceae,3.dicot,native,old and recent records,1863,2022,1863,2004,2009,2022,voucher,iNat,,,,
Hulsea algida,Hulsea algida,accepted,Asteraceae,3.dicot,native,old and recent records,1863,2023,1863,2007,1989,2023,voucher,iNat,,,,
Microseris nutans,Microseris nutans,accepted,Asteraceae,3.dicot,native,old and recent records,1863,2021,1863,2005,2014,2021,voucher,iNat,,,,
Packera werneriifolia,Packera werneriifolia,accepted,Asteraceae,3.dicot,native,old and recent records,1863,2022,1863,2011,2022,2022,voucher,iNat,,,,
Raillardella scaposa,Raillardella scaposa,accepted,Asteraceae,3.dicot,native,old and recent records,1863,2023,1863,2009,2014,2023,voucher,iNat,,,,
Hackelia micrantha,Hackelia micrantha,accepted,Boraginaceae,3.dicot,native,old and recent records,1863,2022,1863,2005,2014,2022,voucher,iNat,,,,
Phacelia hydrophylloides,Phacelia hydrophylloides,accepted,Boraginaceae,3.dicot,native,old and recent records,1863,2023,1863,2005,2013,2023,voucher,iNat,,,,
Draba albertina,Draba albertina,accepted,Brassicaceae,3.dicot,native,old and recent records,1863,2023,1863,2010,2013,2023,voucher,iNat,,,,
Draba breweri,Draba breweri,accepted,Brassicaceae,3.dicot,native,old and recent records,1863,2020,1863,2012,2013,2020,voucher,iNat,,,,
Draba lemmonii,Draba lemmonii,accepted,Brassicaceae,3.dicot,native,old and recent records,1863,2023,1863,2010,2004,2023,voucher,iNat,,,,
Draba oligosperma,Draba oligosperma,accepted,Brassicaceae,3.dicot,native,old and recent records,1863,2021,1863,2012,2013,2021,voucher,iNat,,,,
Erysimum perenne,Erysimum perenne,accepted,Brassicaceae,3.dicot,native,old and recent records,1863,2022,1863,2005,2015,2022,voucher,iNat,,,,
Valeriana californica,Valeriana californica,accepted,Caprifoliaceae,3.dicot,native,old and recent records,1863,2022,1863,2009,2014,2022,voucher,iNat,,,,
Phyllodoce breweri,Phyllodoce breweri,accepted,Ericaceae,3.dicot,native,old and recent records,1863,2023,1863,2008,1989,2023,voucher,iNat,,,,
Lathyrus sulphureus,Lathyrus sulphureus,accepted,Fabaceae,3.dicot,native,old and recent records,1863,2023,1863,1999,2014,2023,voucher,iNat,,,,
Lupinus breweri,Lupinus breweri,accepted,Fabaceae,3.dicot,native,old and recent records,1863,2023,1863,2022,1991,2023,voucher,iNat,,,,
Lupinus covillei,Lupinus covillei,accepted,Fabaceae,3.dicot,native,old and recent records,1863,2023,1863,2009,1989,2023,voucher,iNat,,,,
Trifolium monanthum,Trifolium monanthum,accepted,Fabaceae,3.dicot,native,old and recent records,1863,2023,1863,2007,2015,2023,voucher,iNat,,,,
Frasera speciosa,Frasera speciosa,accepted,Gentianaceae,3.dicot,native,old and recent records,1863,2023,1863,1952,2013,2023,voucher,iNat,,,,
Agastache urticifolia,Agastache urticifolia,accepted,Lamiaceae,3.dicot,native,old and recent records,1863,2023,1863,2007,2011,2023,voucher,iNat,,,,
Calyptridium monospermum,Calyptridium monospermum,accepted,Montiaceae,3.dicot,native,old and recent records,1863,2023,1863,2009,2006,2023,voucher,iNat,,,,
Calyptridium umbellatum,Calyptridium umbellatum,accepted,Montiaceae,3.dicot,native,old and recent records,1863,2023,1863,2011,2005,2023,voucher,iNat,,,,
Montia chamissoi,Montia chamissoi,accepted,Montiaceae,3.dicot,native,old and recent records,1863,2022,1863,2005,2022,2022,voucher,iNat,,,,
Gayophytum diffusum,Gayophytum diffusum,accepted,Onagraceae,3.dicot,native,old and recent records,1863,2023,1863,2010,2014,2023,voucher,iNat,,,,
Castilleja applegatei,Castilleja applegatei,accepted,Orobanchaceae,3.dicot,native,old and recent records,1863,2023,1863,2015,2008,2023,voucher,iNat,,,,
Castilleja miniata,Castilleja miniata,accepted,Orobanchaceae,3.dicot,native,old and recent records,1863,2023,1863,2015,1991,2023,voucher,iNat,,,,
Pedicularis semibarbata,Pedicularis semibarbata,accepted,Orobanchaceae,3.dicot,native,old and recent records,1863,2023,1863,2003,2013,2023,voucher,iNat,,,,
Erythranthe primuloides,Erythranthe primuloides,accepted,Phrymaceae,3.dicot,native,old and recent records,1863,2023,1863,2006,2007,2023,voucher,iNat,,,,
Collinsia torreyi,Collinsia torreyi,accepted,Plantaginaceae,3.dicot,native,old and recent records,1863,2023,1863,2007,2008,2023,voucher,iNat,,,,
Hippuris vulgaris,Hippuris vulgaris,accepted,Plantaginaceae,3.dicot,native,old and recent records,1863,2006,1863,2006,,,voucher,voucher,,,,
