starting_name,family_TNRS,current_name,infra_taxa,name_source,in_Yosemite_list,outcome,broader,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,notes
Cheilanthes californica,Pteridaceae,Aspidotis californica,,CCH_synonym,FALSE,changed current name,1.ferns/primitive,1,1,1958,"Rodin, Robert J.",1958,
Aspidotis densa,Pteridaceae,Aspidotis densa,,CCH_synonym,TRUE,,1.ferns/primitive,58,27,1863,"Brewer, William Henry",2006,
Cheilanthes siliquosa,Pteridaceae,Aspidotis densa,,TNRS_synonym,TRUE,,1.ferns/primitive,8,3,1923,"Michael, Enid",2014,
Pellaea densa,Pteridaceae,Aspidotis densa,,CCH_synonym,FALSE,changed current name,1.ferns/primitive,1,,1921,"Peirson, Frank W.",1921,
Myriopteris myriophylla,Pteridaceae,Cheilanthes myriophylla,,via_gbif,,out of range,1.ferns/primitive,,,,,,add
Cryptogamma acrostichoides,Pteridaceae,Cryptogramma acrostichoides,,TNRS_synonym,TRUE,,1.ferns/primitive,1,,1921,"Peirson, Frank W.",1921,
Cryptogramma acrostichoides,Pteridaceae,Cryptogramma acrostichoides,,CCH_synonym,TRUE,,1.ferns/primitive,53,31,1871,unknown,2007,
Cryptogramma cascadensis,Pteridaceae,Cryptogramma cascadensis,,CCH_synonym,TRUE,,1.ferns/primitive,4,1,1866,"Bolander, Henry Nicholas",2007,
Cheilanthes clevelandii,Pteridaceae,Myriopteris clevelandii,,TNRS_synonym,FALSE,"add_but_omit, wrong ID",1.ferns/primitive,1,1,1915,"Gibbons, Mary S.",1915,
Cheilanthes cooperae,Pteridaceae,Myriopteris cooperae,,CCH_synonym,FALSE,"add, new native",1.ferns/primitive,2,,1897,"Hutchings, Miss C.",1965,
Cheilanthes covillei,Pteridaceae,Myriopteris covillei,,CCH_synonym,TRUE,,1.ferns/primitive,14,7,1890,"Congdon, Joseph Whipple",1965,
Myriopteris covillei,Pteridaceae,Myriopteris covillei,,CCH_synonym,TRUE,,1.ferns/primitive,1,,1957,"Rodin, Robert J.",1957,
Cheilanthes gracillima,Pteridaceae,Myriopteris gracillima,,CCH_synonym,TRUE,,1.ferns/primitive,30,13,1863,"Brewer, William Henry",2015,
Myriopteris gracillima,Pteridaceae,Myriopteris gracillima,,CCH_synonym,TRUE,,1.ferns/primitive,12,10,1880,"Cleveland, Daniel",1963,
Cheilanthes intertexta,Pteridaceae,Myriopteris intertexta,,CCH_synonym,TRUE,,1.ferns/primitive,7,2,1878,"Bradley, C. B.",1975,
Myriopteris intertexta,Pteridaceae,Myriopteris intertexta,,CCH_synonym,TRUE,,1.ferns/primitive,3,2,1888,"Floyd, Carrie L.",1963,
