starting_name,family_TNRS,current_name,infra_taxa,name_source,in_Yosemite_list,outcome,broader,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,notes
Linanthus pungens hookeri,Polemoniaceae,Linanthus pungens,,TNRS_synonym,TRUE,,3.dicot,1,,1872,"Gray, Asa",1872,
Linanthus pungens subsp. pulchriflorus,Polemoniaceae,Linanthus pungens,,CCH_synonym,TRUE,,3.dicot,4,3,1894,"Burnham, Stewart H.",1928,
Loeseliastrum schottii,Polemoniaceae,Loeseliastrum schottii,,CCH_synonym,TRUE,,3.dicot,1,1,1895,"Perkins, Albert J.",1895,
Microsteris gracilis,Polemoniaceae,Microsteris gracilis,,CCH_synonym,TRUE,,3.dicot,4,3,1924,"Michael, Enid",1977,
Microsteris gracilis subsp. humilis,Polemoniaceae,Microsteris gracilis,,CCH_synonym,TRUE,,3.dicot,3,,1941,"Keck, David D.",1953,
Phlox gracilis,Polemoniaceae,Microsteris gracilis,,CCH_synonym,TRUE,,3.dicot,11,8,1924,"Jepson, Willis L.",2006,
Navarretia crystallina,Polemoniaceae,Navarretia crystallina,,TNRS_synonym,FALSE,"add, new native",3.dicot,1,1,1941,"Mason, Herbert L.",1941,2016 taxon concept
Navarretia divaricata,Polemoniaceae,Navarretia divaricata,,CCH_synonym,TRUE,,3.dicot,12,10,1877,"Hooker, J.D.",1948,
Navarretia divaricata subsp. divaricata,Polemoniaceae,Navarretia divaricata,,CCH_synonym,TRUE,,3.dicot,2,2,1936,"Mason, Herbert L.",2009,
Navarretia divaricata subsp. vividior,Polemoniaceae,Navarretia divaricata,,Symbiotica,,,3.dicot,,,,,,
Navarretia intertexta,Polemoniaceae,Navarretia intertexta,,CCH_synonym,TRUE,,3.dicot,3,2,1943,"Sharsmith, Carl W.",1991,
Navarretia intertexta subsp. intertexta,Polemoniaceae,Navarretia intertexta,,Symbiotica,,,3.dicot,,,,,,
Collomia leptalea,Polemoniaceae,Navarretia leptalea,,CCH_synonym,TRUE,,3.dicot,1,,1866,"Bolander, Henry Nicholas",1866,
Gilia leptalea,Polemoniaceae,Navarretia leptalea,,CCH_synonym,TRUE,,3.dicot,13,8,1921,"Peirson, Frank W.",1967,
Gilia leptalea subsp. bicolor,Polemoniaceae,Navarretia leptalea,,CCH_synonym,TRUE,,3.dicot,2,2,1911,"Jepson, Willis L.",1972,
Gilia leptalea subsp. leptalea,Polemoniaceae,Navarretia leptalea,,CCH_synonym,TRUE,,3.dicot,1,1,1909,"Jepson, Willis L.",1909,
Navarretia leptalea,Polemoniaceae,Navarretia leptalea,,CCH_synonym,TRUE,,3.dicot,13,9,1894,"Burnham, Stewart H.",1967,
Navarretia leptalea bicolor,Polemoniaceae,Navarretia leptalea,,TNRS_synonym,TRUE,,3.dicot,4,,1907,"Ware, R. A.",1916,
Navarretia leptalea subsp. bicolor,Polemoniaceae,Navarretia leptalea,,CCH_synonym,TRUE,,3.dicot,22,10,1901,"Evans, Herbert McLean",1972,
Navarretia leptalea subsp. leptalea,Polemoniaceae,Navarretia leptalea,,CCH_synonym,TRUE,,3.dicot,10,8,1866,"Bolander, Henry Nicholas",1957,
Navarretia leptalea var. leptalea,Polemoniaceae,Navarretia leptalea,,TNRS_synonym,TRUE,,3.dicot,1,1,1913,"Kennedy, P. B.",1913,
Navarretia sinistra subsp. pinnatisecta,Polemoniaceae,Navarretia linearifolia,,CCH_synonym,TRUE,,3.dicot,1,1,2009,"Taylor, Dean William",2009,
Navarretia modocensis,Polemoniaceae,Navarretia modocensis,,TNRS_synonym,FALSE,"add_but_omit, wrong ID",3.dicot,1,1,1941,"Mason, Herbert L.",1941,
Navarretia viscidula,Polemoniaceae,Navarretia viscidula,,CCH_synonym,TRUE,,3.dicot,1,1,1901,"Grant, George B.",1901,
Navarretia vividior,Polemoniaceae,Navarretia vividior,,TNRS_synonym,TRUE,,3.dicot,1,1,1941,"Mason, Herbert L.",1941,
Phlox caespitosa,Polemoniaceae,Phlox caespitosa,,CCH_synonym,TRUE,,3.dicot,6,5,1883,"Congdon, Joseph Whipple",1937,
Phlox condensata,Polemoniaceae,Phlox condensata,,CCH_synonym,TRUE,,3.dicot,11,9,1902,"Hall, Harvey Monroe",2012,
Phlox covillei,Polemoniaceae,Phlox condensata,,TNRS_synonym,TRUE,,3.dicot,2,2,2010,"Taylor, Dean William",2010,
Phlox diffusa,Polemoniaceae,Phlox diffusa,,CCH_synonym,TRUE,,3.dicot,40,28,1872,"Gray, Asa",2011,
Phlox diffusa subsp. diffusa,Polemoniaceae,Phlox diffusa,,CCH_synonym,TRUE,,3.dicot,8,2,1910,Hutchinson,1972,
Phlox douglasii,Polemoniaceae,Phlox diffusa,,CCH_synonym,TRUE,misapplied,3.dicot,4,,1929,unknown,1941,
Phlox douglasii subsp. rigida,Polemoniaceae,Phlox diffusa,,CCH_synonym,TRUE,misapplied,3.dicot,1,1,1937,"Sharsmith, Carl W.",1937,
Phlox hoodii,Polemoniaceae,Phlox hoodii,,CCH_synonym,TRUE,,3.dicot,1,1,1942,"Roos, John C.",1942,
Phlox hoodii subsp. canescens,Polemoniaceae,Phlox hoodii,,CCH_synonym,TRUE,,3.dicot,1,1,1975,"Clarke, Oscar F.",1975,
Phlox pulvinata,Polemoniaceae,Phlox pulvinata,,CCH_synonym,TRUE,,3.dicot,4,2,1935,"Keck, David D.",2012,
Phlox speciosa,Polemoniaceae,Phlox speciosa,,CCH_synonym,TRUE,,3.dicot,2,1,1880,"Cleveland, Daniel",1897,
Polemonium californicum,Polemoniaceae,Polemonium californicum,,CCH_synonym,TRUE,,3.dicot,29,17,1863,"Brewer, William Henry",2007,
Polemonium eximium,Polemoniaceae,Polemonium eximium,,CCH_synonym,TRUE,,3.dicot,41,33,1863,"Brewer, William Henry",2012,
Polemonium occidentale,Polemoniaceae,Polemonium occidentale,,CCH_synonym,TRUE,,3.dicot,4,3,1923,"Munz, Philip Alexander",1972,
Polemonium occidentale subsp. occidentale,Polemoniaceae,Polemonium occidentale,,CCH_synonym,TRUE,,3.dicot,2,1,1891,"Dodd, Mrs. [initials confusing]",1923,
Polemonium caeruleum,Polemoniaceae,Polemonium pulcherrimum,,TNRS_synonym,TRUE,,3.dicot,1,1,1972,"Shevock, James R.",1972,
Polemonium pulcherimum,Polemoniaceae,Polemonium pulcherrimum,,TNRS_synonym,TRUE,,3.dicot,1,,1921,"Peirson, Frank W.",1921,
Polemonium pulcherrimum,Polemoniaceae,Polemonium pulcherrimum,,CCH_synonym,TRUE,,3.dicot,16,9,1889,"Chesnut, Drew",2005,
Polemonium pulcherrimum subsp. pulcherrimum,Polemoniaceae,Polemonium pulcherrimum,,CCH_synonym,TRUE,,3.dicot,3,2,1934,"Bartholomew, Paul S.",1963,
Polemonium viscosum,Polemoniaceae,Polemonium viscosum,,from_gbif,,,3.dicot,,,,,,
Polygala cornuta var. cornuta,Polygalaceae,Rhinotropis cornuta,,CCH_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,1,,1907,"Eastwood, Alice",1907,
Aconogonon alaskanum,Polygonaceae,Aconogonon alaskanum,,CCH_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,3,,1907,"Eastwood, Alice",1911,
Bistorta bistortoides,Polygonaceae,Bistorta bistortoides,,CCH_synonym,TRUE,,3.dicot,26,6,1863,"Brewer, William Henry",1967,
Polygonum bistortoides,Polygonaceae,Bistorta bistortoides,,CCH_synonym,TRUE,,3.dicot,38,20,1863,"Brewer, William Henry",2007,
Chorizanthe membranacea,Polygonaceae,Chorizanthe membranacea,,CCH_synonym,TRUE,,3.dicot,6,5,1883,"Congdon, Joseph Whipple",2005,
Eriogonum deflexum,Polygonaceae,Eriogonum deflexum,,from_gbif,,,3.dicot,,,,,,
Eriogonum gracile,Polygonaceae,Eriogonum gracile,,CCH_synonym,TRUE,,3.dicot,1,1,2009,"Smith, Sierra",2009,
Eriogonum hirtiflorum,Polygonaceae,Eriogonum hirtiflorum,,CCH_synonym,TRUE,,3.dicot,2,,1907,"Eastwood, Alice",1923,
Eriogonum incanum,Polygonaceae,Eriogonum incanum,,CCH_synonym,TRUE,,3.dicot,78,48,1863,"Brewer, William Henry",2009,
Eriogonum incanuum,Polygonaceae,Eriogonum incanum,,TNRS_synonym,TRUE,,3.dicot,1,,1863,"Brewer, William Henry",1863,
Eriogonum lobbii,Polygonaceae,Eriogonum lobbii,,CCH_synonym,TRUE,,3.dicot,14,2,1890,"Congdon, Joseph Whipple",2011,
Eriogonum lobbii var. lobbii,Polygonaceae,Eriogonum lobbii,,CCH_synonym,TRUE,,3.dicot,23,17,1887,"Drew, Elmer R.",1940,
Eriogonum luteolum var. luteolum,Polygonaceae,Eriogonum luteolum,,TNRS_synonym,TRUE,,3.dicot,1,,1974,"Reveal, James L.",1974,
Eriogonum marifolium,Polygonaceae,Eriogonum marifolium,,CCH_synonym,TRUE,,3.dicot,6,4,1911,"Jepson, Willis L.",1987,
Eriogonum microtheca,Polygonaceae,Eriogonum microtheca,,iNat_synonym,,,3.dicot,,,,,,
Eriogonum latifolium subsp. nudum,Polygonaceae,Eriogonum nudum,,CCH_synonym,TRUE,,3.dicot,1,,1974,"Keefe, Joseph M.",1974,
Eriogonum nudum,Polygonaceae,Eriogonum nudum,,CCH_synonym,TRUE,,3.dicot,19,16,1924,"Michael, Enid",2008,
Eriogonum nudum var. deductum,Polygonaceae,Eriogonum nudum,,CCH_synonym,TRUE,,3.dicot,43,21,1863,"Brewer, William Henry",1965,
Eriogonum nudum var. nudum,Polygonaceae,Eriogonum nudum,,CCH_synonym,TRUE,,3.dicot,13,7,1901,"Grant, George B.",1966,
Eriogonum nudum var. pauciflorum,Polygonaceae,Eriogonum nudum,,CCH_synonym,TRUE,,3.dicot,1,,2010,"Kostikova, Anna",2010,
Eriogonum nudum var. pubiflorum,Polygonaceae,Eriogonum nudum,,CCH_synonym,TRUE,,3.dicot,1,,1951,"Taylor, Dean William",1951,
Eriogonum nudum var. scapigerum,Polygonaceae,Eriogonum nudum,,CCH_synonym,TRUE,,3.dicot,5,3,1907,"Eastwood, Alice",1944,
Eriogonum ovalifolium,Polygonaceae,Eriogonum ovalifolium,,CCH_synonym,TRUE,,3.dicot,9,6,1921,"Peirson, Frank W.",2011,
Eriogonum ovalifolium var. caelestinum,Polygonaceae,Eriogonum ovalifolium,,CCH_synonym,TRUE,,3.dicot,1,1,2010,"Taylor, Dean William",2010,
Eriogonum ovalifolium var. nivale,Polygonaceae,Eriogonum ovalifolium,,CCH_synonym,TRUE,,3.dicot,39,26,1875,"McLean, F. P.",2011,
Eriogonum prattenianum,Polygonaceae,Eriogonum prattenianum,,CCH_synonym,TRUE,,3.dicot,3,2,1909,"Jepson, Willis L.",2005,
Eriogonum prattenianum var. prattenianum,Polygonaceae,Eriogonum prattenianum,,CCH_synonym,TRUE,,3.dicot,1,1,2010,"Taylor, Dean William",2010,
Eriogonum rosense,Polygonaceae,Eriogonum rosense,,CCH_synonym,TRUE,,3.dicot,5,5,1937,"Sharsmith, Carl W.",2012,
Eriogonum rosense var. rosense,Polygonaceae,Eriogonum rosense,,TNRS_synonym,TRUE,,3.dicot,2,2,2010,"Taylor, Dean William",2012,
Eriogonum roseum,Polygonaceae,Eriogonum roseum,,CCH_synonym,TRUE,,3.dicot,34,18,1866,"Bolander, Henry Nicholas",1982,
Eriogonum spergulinum,Polygonaceae,Eriogonum spergulinum,,CCH_synonym,TRUE,,3.dicot,13,5,1866,"Bolander, Henry Nicholas",2003,
Eriogonum spergulinum subsp. reddingianum,Polygonaceae,Eriogonum spergulinum,,CCH_synonym,TRUE,,3.dicot,3,,1935,"Winkelman, H. G.",1958,
Eriogonum spergulinum var. reddingianum,Polygonaceae,Eriogonum spergulinum,,CCH_synonym,TRUE,,3.dicot,20,8,1866,"Bolander, Henry Nicholas",1982,
Eriogonum spergulinum var. spergulinum,Polygonaceae,Eriogonum spergulinum,,CCH_synonym,TRUE,,3.dicot,23,13,1866,"Bolander, Henry Nicholas",1967,
Eriogonum trichopes,Polygonaceae,Eriogonum trichopes,,from_gbif,,,3.dicot,,,,,,
Eriogonum umbellatum,Polygonaceae,Eriogonum umbellatum,,CCH_synonym,TRUE,,3.dicot,11,8,1878,"Ford, Henry Chapman",2007,
Eriogonum umbellatum furcosum,Polygonaceae,Eriogonum umbellatum,,TNRS_synonym,TRUE,,3.dicot,3,,1889,"Congdon, Joseph Whipple",1911,
Eriogonum umbellatum subsp. stellatum,Polygonaceae,Eriogonum umbellatum,,TNRS_synonym,TRUE,,3.dicot,1,,1934,"Augustine, W. B.",1934,
Eriogonum umbellatum var. covillei,Polygonaceae,Eriogonum umbellatum,,CCH_synonym,TRUE,,3.dicot,1,1,2005,"Colwell, Alison",2005,
Eriogonum umbellatum var. ellipticum,Polygonaceae,Eriogonum umbellatum,,TNRS_synonym,TRUE,,3.dicot,1,,1925,"Hough, Ashbel F.",1925,
Eriogonum umbellatum var. furcosum,Polygonaceae,Eriogonum umbellatum,,CCH_synonym,TRUE,,3.dicot,28,15,1866,"Bolander, Henry Nicholas",1956,
Eriogonum umbellatum var. nevadense,Polygonaceae,Eriogonum umbellatum,,CCH_synonym,TRUE,,3.dicot,4,3,1875,"McLean, F. P.",2005,
Eriogonum wrightii,Polygonaceae,Eriogonum wrightii,,CCH_synonym,TRUE,,3.dicot,4,1,1934,"Augustine, W. B.",2005,
Eriogonum wrightii subsp. subscaposum,Polygonaceae,Eriogonum wrightii,,CCH_synonym,TRUE,,3.dicot,7,5,1923,"Michael, Enid",1977,
Eriogonum wrightii subsp. trachygonum,Polygonaceae,Eriogonum wrightii,,CCH_synonym,TRUE,,3.dicot,4,3,1922,"Bevans, A. B.",1935,
Eriogonum wrightii var. pinorum,Polygonaceae,Eriogonum wrightii,,CCH_synonym,TRUE,,3.dicot,1,1,1960,"Rose, Lewis Samuel",1960,
Eriogonum wrightii var. subscaposum,Polygonaceae,Eriogonum wrightii,,CCH_synonym,TRUE,,3.dicot,34,13,1872,"Reafield, John",2005,
Eriogonum wrightii var. trachygonum,Polygonaceae,Eriogonum wrightii,,CCH_synonym,TRUE,,3.dicot,9,8,1896,"Congdon, Joseph Whipple",2008,
Fallopia convolvulus,Polygonaceae,Fallopia convolvulus,,CCH_synonym,TRUE,,3.dicot,4,2,1888,"Congdon, Joseph Whipple",1982,
Polygonum convolvulus,Polygonaceae,Fallopia convolvulus,,CCH_synonym,TRUE,,3.dicot,5,5,1911,"Hall, Harvey Monroe",1998,
Aconogonon phytolaccifolium,Polygonaceae,Koenigia phytolaccifolia,,CCH_synonym,FALSE,changed current name,3.dicot,8,3,1889,"Congdon, Joseph Whipple",1944,
Koenigia phytolaccifolia,Polygonaceae,Koenigia phytolaccifolia,,iNat_synonym,,,3.dicot,,,,,,
Polygonum phytolaccaefolium,Polygonaceae,Koenigia phytolaccifolia,,TNRS_synonym,TRUE,,3.dicot,5,,1927,"Michael, Enid",1944,
Polygonum phytolaccifolium,Polygonaceae,Koenigia phytolaccifolia,,CCH_synonym,FALSE,changed current name,3.dicot,7,5,1902,"Hall, Harvey Monroe",2007,
Oxyria digyna,Polygonaceae,Oxyria digyna,,CCH_synonym,TRUE,,3.dicot,29,18,1889,"Chesnut, Drew",1979,
Oxytheca perfoliata,Polygonaceae,Oxytheca perfoliata,,CCH_synonym,FALSE,"add_but_omit, wrong ID",3.dicot,1,,1952,"Karlin, Sol A.",1952,
Persicaria amphibia,Polygonaceae,Persicaria amphibia,,CCH_synonym,TRUE,,3.dicot,4,,1899,"Congdon, Joseph Whipple",1947,
Polygonum amphibium,Polygonaceae,Persicaria amphibia,,CCH_synonym,TRUE,,3.dicot,6,3,1938,"Smith, Winifred M.",2007,
Polygonum amphibium var. emersum,Polygonaceae,Persicaria amphibia,,CCH_synonym,TRUE,,3.dicot,1,1,1909,"Jepson, Willis L.",1909,
Polygonum amphibium var. stipulaceum,Polygonaceae,Persicaria amphibia,,CCH_synonym,TRUE,,3.dicot,3,3,1937,"Mason, Herbert L.",2005,
Persicaria hydropiper,Polygonaceae,Persicaria hydropiper,,Yos_scientific,,,3.dicot,,,,,,
Polygonum hydropiper,Polygonaceae,Persicaria hydropiper,,CCH_synonym,TRUE,,3.dicot,2,2,1997,"Taylor, Dean William",2006,
Persicaria hydropiperoides,Polygonaceae,Persicaria hydropiperoides,,CCH_synonym,TRUE,,3.dicot,1,1,1912,"Chandler, Harley P.",1912,
Polygonum hydropiperoides,Polygonaceae,Persicaria hydropiperoides,,CCH_synonym,TRUE,,3.dicot,1,1,1912,"Chandler, Harley P.",1912,
Persicaria lapathifolia,Polygonaceae,Persicaria lapathifolia,,CCH_synonym,TRUE,,3.dicot,1,1,1997,"Taylor, Dean William",1997,
Polygonum lapathifolium,Polygonaceae,Persicaria lapathifolia,,CCH_synonym,TRUE,,3.dicot,2,2,1997,"Taylor, Dean William",1998,
Persicaria maculosa,Polygonaceae,Persicaria maculosa,,CCH_synonym,TRUE,,3.dicot,7,1,1899,"Congdon, Joseph Whipple",1953,
Polygonum persicaria,Polygonaceae,Persicaria maculosa,,CCH_synonym,TRUE,,3.dicot,8,3,1911,"Hall, Harvey Monroe",1944,
Persicaria punctata,Polygonaceae,Persicaria punctata,,CCH_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,1,1,2008,"Taylor, Dean William",2008,native
Polygonum arenastrum,Polygonaceae,Polygonum aviculare,,CCH_synonym,TRUE,,3.dicot,3,3,1954,"Rose, Lewis Samuel",1998,
Polygonum aviculare,Polygonaceae,Polygonum aviculare,,CCH_synonym,TRUE,,3.dicot,4,3,1926,"Michael, Enid",2010,
Polygonum aviculare subsp. aviculare,Polygonaceae,Polygonum aviculare,,CCH_synonym,TRUE,,3.dicot,4,2,1907,"Eastwood, Alice",1964,
Polygonum aviculare subsp. buxiforme,Polygonaceae,Polygonum aviculare,,CCH_synonym,TRUE,,3.dicot,1,1,2010,"Taylor, Dean William",2010,
Polygonum aviculare subsp. depressum,Polygonaceae,Polygonum aviculare,,CCH_synonym,TRUE,,3.dicot,5,2,1944,"Sharsmith, Carl W.",2009,
Polygonum bidwelliae,Polygonaceae,Polygonum bidwelliae,,TNRS_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,2,,1890,"Congdon, Joseph Whipple",1890,native
Polygonum californicum,Polygonaceae,Polygonum californicum,,CCH_synonym,TRUE,,3.dicot,3,,1896,"Jepson, Willis L.",2006,
Polygonum douglasii,Polygonaceae,Polygonum douglasii,,CCH_synonym,TRUE,,3.dicot,36,16,1885,"Congdon, Joseph Whipple",2009,
Polygonum douglasii subsp. douglasii,Polygonaceae,Polygonum douglasii,,CCH_synonym,TRUE,,3.dicot,20,18,1860,"Bolander, Henry Nicholas",2009,
Polygonum douglasii var. latifolium,Polygonaceae,Polygonum douglasii,,CCH_synonym,TRUE,,3.dicot,1,,1944,"Howell, John Thomas",1944,
Polygonum minimum,Polygonaceae,Polygonum minimum,,CCH_synonym,TRUE,,3.dicot,18,10,1890,"Congdon, Joseph Whipple",2008,
Polygonum parryi,Polygonaceae,Polygonum parryi,,CCH_synonym,TRUE,,3.dicot,1,,1923,"Munz, Philip Alexander",1923,
Polygonum imbricatum,Polygonaceae,Polygonum polygaloides,,TNRS_synonym,TRUE,,3.dicot,1,,1928,"Wright, George M.",1928,
Polygonum kelloggii,Polygonaceae,Polygonum polygaloides,,CCH_synonym,TRUE,,3.dicot,7,1,1911,"Abrams, Le Roy",1951,
Polygonum polygaloides,Polygonaceae,Polygonum polygaloides,,CCH_synonym,TRUE,,3.dicot,3,3,1999,"Schroeder, Melinda",2005,
Polygonum polygaloides kelloggii,Polygonaceae,Polygonum polygaloides,,TNRS_synonym,TRUE,,3.dicot,1,,1933,"Sharsmith, Carl W.",1933,
Polygonum polygaloides subsp. kelloggii,Polygonaceae,Polygonum polygaloides,,CCH_synonym,TRUE,,3.dicot,21,10,1860,"Bolander, Henry Nicholas",1991,
Polygonum ramosissimum,Polygonaceae,Polygonum ramosissimum,,CCH_synonym,TRUE,,3.dicot,2,,1890,"Congdon, Joseph Whipple",2009,
Polygonum sawatchense,Polygonaceae,Polygonum sawatchense,,CCH_synonym,TRUE,,3.dicot,1,1,1944,"Howell, John Thomas",1944,
Polygonum sawatchense subsp. oblivium,Polygonaceae,Polygonum sawatchense,,CCH_synonym,TRUE,,3.dicot,1,1,1911,"Hall, Harvey Monroe",1911,
Polygonum sawatchense subsp. sawatchense,Polygonaceae,Polygonum sawatchense,,CCH_synonym,TRUE,,3.dicot,1,1,1944,"Howell, John Thomas",1944,
Polygonum shastense,Polygonaceae,Polygonum shastense,,CCH_synonym,TRUE,,3.dicot,12,9,1889,"Chesnut, Drew",2005,
Polygonum tenue,Polygonaceae,Polygonum tenue,,TNRS_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,3,,1888,"Congdon, Joseph Whipple",1895,
Pterostegia drymarioides,Polygonaceae,Pterostegia drymarioides,,CCH_synonym,TRUE,,3.dicot,2,1,1944,"Sharsmith, Carl W.",1959,
Rumex acetosella,Polygonaceae,Rumex acetosella,,CCH_synonym,TRUE,,3.dicot,22,12,1878,"Ford, Henry Chapman",2006,
Rumex angiocarpus,Polygonaceae,Rumex acetosella,,CCH_synonym,TRUE,,3.dicot,1,,1940,"Dunn, David",1940,
Rumex californicus,Polygonaceae,Rumex californicus,,CCH_synonym,TRUE,,3.dicot,4,1,1944,"Howell, John Thomas",2005,
Rumex salicifolius var. denticulatus,Polygonaceae,Rumex californicus,,CCH_synonym,TRUE,,3.dicot,1,1,1936,"Mason, Herbert L.",1936,
Rumex conglomeratus,Polygonaceae,Rumex conglomeratus,,CCH_synonym,TRUE,,3.dicot,1,,1911,"Hall, Harvey Monroe",1911,
Rumex crispus,Polygonaceae,Rumex crispus,,CCH_synonym,TRUE,,3.dicot,7,3,1911,"Hall, Harvey Monroe",1998,
Rumex paucifolius,Polygonaceae,Rumex paucifolius,,CCH_synonym,TRUE,,3.dicot,27,19,1863,"Brewer, William Henry",2006,
Rumex paucifolius subsp. gracilescens,Polygonaceae,Rumex paucifolius,,CCH_synonym,TRUE,,3.dicot,2,1,1935,"Sawyer, Elliot",1979,
Rumex pulcher,Polygonaceae,Rumex pulcher,,CCH_synonym,TRUE,,3.dicot,1,1,2004,"Colwell, Alison",2004,
Rumex salicifolius,Polygonaceae,Rumex salicifolius,,CCH_synonym,TRUE,,3.dicot,5,5,1933,"Purer, Edith A.",2010,
Rumex salicifolius var. salicifolius,Polygonaceae,Rumex salicifolius,,CCH_synonym,TRUE,,3.dicot,1,1,2010,"Taylor, Dean William",2010,
Rumex triangulivalvis,Polygonaceae,Rumex triangulivalvis,,CCH_synonym,TRUE,,3.dicot,2,,1907,"Eastwood, Alice",1944,
Rumex utahensis,Polygonaceae,Rumex utahensis,,CCH_synonym,FALSE,"add, new native",3.dicot,2,2,2012,"Colwell, Alison",2012,
Portulaca oleracea,Portulacaceae,Portulaca oleracea,,CCH_synonym,TRUE,,3.dicot,1,,1944,"Sharsmith, Carl W.",1944,
Androsace septentrionalis,Primulaceae,Androsace septentrionalis,,CCH_synonym,TRUE,,3.dicot,4,2,1907,"Eastwood, Alice",2011,
Androsace septentrionalis subsp. subumbellata,Primulaceae,Androsace septentrionalis,,CCH_synonym,TRUE,,3.dicot,5,5,1909,"Jepson, Willis L.",1942,
Anagallis arvensis,Primulaceae,Lysimachia arvensis,,CCH_synonym,TRUE,,3.dicot,1,1,1998,"Adams, Justin",1998,
Trientalis latifolia,Primulaceae,Lysimachia latifolia,,Symbiotica,,,3.dicot,,,,,,
Dodecatheon hansenii,Primulaceae,Primula hendersonii,,CCH_synonym,TRUE,,3.dicot,3,1,1935,"Augustine, W. B.",1936,
Dodecatheon hendersonii,Primulaceae,Primula hendersonii,,CCH_synonym,TRUE,,3.dicot,2,1,1935,"Augustine, W. B.",1967,
Primula hendersonii,Primulaceae,Primula hendersonii,,CCH_synonym,TRUE,,3.dicot,1,1,1934,"Sharsmith, Carl W.",1934,
Dodecatheon jeffreyanum,Primulaceae,Primula jeffreyi,,via_gbif,,,3.dicot,,,,,,
Dodecatheon jeffreyi,Primulaceae,Primula jeffreyi,,CCH_synonym,TRUE,,3.dicot,84,49,1880,"Brandegee, Katharine",2009,
Dodecatheon jeffreyi subsp. jeffreyi,Primulaceae,Primula jeffreyi,,CCH_synonym,TRUE,,3.dicot,1,1,1965,"Hood, Mary V.",1965,
Dodecatheon jeffreyi subsp. pygmaeum,Primulaceae,Primula jeffreyi,,CCH_synonym,TRUE,,3.dicot,1,1,1965,"Hood, Mary V.",1965,
Dodecatheon jeffreyi var. odoratum,Primulaceae,Primula jeffreyi,,TNRS_synonym,TRUE,,3.dicot,1,,1937,"Michael, Enid",1937,
Primula jeffreyi,Primulaceae,Primula jeffreyi,,CCH_synonym,TRUE,,3.dicot,11,10,1880,"Cleveland, Daniel",1951,
Dodecatheon pulchellum var. macrocarpum,Primulaceae,Primula pauciflora,,TNRS_synonym,TRUE,,3.dicot,2,1,1888,"Congdon, Joseph Whipple",1897,
Dodecatheon hendersonii var. yosemitanum,Primulaceae,Primula subalpina,,CCH_synonym,TRUE,,3.dicot,1,,1922,"Mason, Herbert L.",1922,
Dodecatheon subalpinum,Primulaceae,Primula subalpina,,CCH_synonym,TRUE,,3.dicot,9,5,1922,"Mason, Herbert L.",2009,
Primula subalpina,Primulaceae,Primula subalpina,,Yos_scientific,,,3.dicot,,,,,,
Primula suffrutescens,Primulaceae,Primula suffrutescens,,CCH_synonym,TRUE,,3.dicot,14,11,1887,unknown,1951,
Dodecatheon alpinum,Primulaceae,Primula tetrandra,,CCH_synonym,TRUE,,3.dicot,56,37,1889,"Chesnut, Drew",2005,
Dodecatheon alpinum f. nanum,Primulaceae,Primula tetrandra,,TNRS_synonym,TRUE,,3.dicot,1,1,1902,"Hall, Harvey Monroe",1902,
Dodecatheon alpinum subsp. alpinum,Primulaceae,Primula tetrandra,,CCH_synonym,TRUE,,3.dicot,1,,1951,"Thompson, Henry J.",1951,
Dodecatheon alpinum subsp. majus,Primulaceae,Primula tetrandra,,CCH_synonym,TRUE,,3.dicot,3,1,1927,"Peirson, Frank W.",1972,
Primula tetrandra,Primulaceae,Primula tetrandra,,CCH_synonym,TRUE,,3.dicot,3,3,1949,"Dearing, Hugh & Margaret",1958,
Aconitum columbianum,Ranunculaceae,Aconitum columbianum,,CCH_synonym,TRUE,,3.dicot,23,10,1878,"Ford, Henry Chapman",1977,
Aconitum columbianum subsp. columbianum,Ranunculaceae,Aconitum columbianum,,CCH_synonym,TRUE,,3.dicot,9,,1866,"Bolander, Henry Nicholas",1962,
Aconitum columbianum var. columbianum,Ranunculaceae,Aconitum columbianum,,CCH_synonym,TRUE,,3.dicot,3,1,1923,"Mason, Herbert L.",1930,
Actaea rubra,Ranunculaceae,Actaea rubra,,CCH_synonym,TRUE,,3.dicot,9,4,1902,"Bacon, Mrs. D. G.",2006,
Actaea rubra subsp. arguta,Ranunculaceae,Actaea rubra,,CCH_synonym,TRUE,,3.dicot,2,,1910,Hutchinson,1923,
Actaea rubra var. arguta,Ranunculaceae,Actaea rubra,,TNRS_synonym,TRUE,,3.dicot,3,1,1925,"Michael, Enid",1944,
Actaea spicata var. arguta,Ranunculaceae,Actaea rubra,,TNRS_synonym,TRUE,,3.dicot,1,,1936,"Mason, Herbert L.",1936,
Anemone drummondii,Ranunculaceae,Anemone drummondii,,CCH_synonym,TRUE,,3.dicot,1,1,2005,"Colwell, Alison",2005,
Aquilegia formosa,Ranunculaceae,Aquilegia formosa,,CCH_synonym,TRUE,,3.dicot,39,16,1863,"Brewer, William Henry",2007,
