accepted_name,,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Ribes lacustre,0,Ribes lacustre,current,Grossulariaceae,3.dicot,,N/A,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, untraced taxonomic error",5,5,4,1863,"Brewer, William Henry",1898,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch,"3 Jepson vouchers from 1860s (2 Brewer; 1 Bolander); otherwise just University of Minnesota Bell Museum; Ribes lacustre var molle is a synonym for Ribes montigenum); 3x Congdon, 2x Brewer, 1x-Bolander",,,,,far northern CA and beyond,,,,taxonomic_mismatch-wrong something,,,1863,1898,6
Ribes lasianthum,0,Ribes lasianthum,current,Grossulariaceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,10,9,8,1909,"Jepson, Willis L.",2005,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,"CCH2 observations - most old, but one new from Sky Islands project",,,,,"in the northern and far southern Sierra, but nothing from hwy 108 south through Cedar Grove",,,,,,,,,
Ribes menziesii,0,Ribes menziesii,current,Grossulariaceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",1,1,,1896,"Cummings, Clara E.",1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribes montigenum,0,Ribes montigenum,current,Grossulariaceae,3.dicot,,native,52,26,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,49,47,28,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",2006,lizzywenk,6/18/2014,lesdit,10/11/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Ribes nevadense,0,Ribes nevadense,current,Grossulariaceae,3.dicot,,native,124,37,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,29,29,12,1894,"Dudley, William R.",1963,martine_lapointe,9/16/2008,bioroamer,9/18/2023,2008,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Ribes oxyacanthoides,0,Ribes oxyacanthoides,current,Grossulariaceae,3.dicot,,N/A,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, untraced taxonomic error",1,1,1,1890,"Congdon, Joseph Whipple",1890,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch-1800's_voucher,"single CCH2 voucher from Bell Museum Herbarium, University of Minnesota - looks very much like Ribes montigenum; no mention in Taylor; synonym for some Ribes lacustre",,,,,northern Rockies,https://www.cch2.org/portal/collections/individual/index.php?occid=5284208&clid=0,,,taxonomic_mismatch-1800's_voucher,,,1890,1890,"1-Congdon, Bell"
Ribes roezlii,0,Ribes roezlii,current,Grossulariaceae,3.dicot,,native,199,79,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,46,46,25,1866,State Survey,1963,chriswbrown,7/9/2011,fawnlilyranch,10/10/2023,2011,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Ribes sanguineum,0,Ribes sanguineum,current,Grossulariaceae,3.dicot,,N/A,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, untraced taxonomic error",4,4,4,1883,"Congdon, Joseph Whipple",1897,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch / wrong_ID,"4 from University of Minnesota Bell Museu, all Congdonm; also 1 PlantNet (should be Ribes nevadense); no mention in Taylor",,,,,Coast Range species with no Sierra observations,,,,taxonomic_mismatch-something wrong,,,1883,1897,4-Congdon
Ribes viscosissimum,0,Ribes viscosissimum,current,Grossulariaceae,3.dicot,,native,19,11,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,28,28,17,1866,"Bolander, Henry Nicholas",1965,lizzywenk,6/14/2014,justclick,9/23/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Myriophyllum sibiricum,0,Myriophyllum sibiricum,current,Haloragaceae,3.dicot,,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2008,"Taylor, Dean William",2008,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Tuolumne,pl_1,,,CCH: Taylor voucher from 2008 near Tuolumne,,,,,,,,,vouchers not in database-recent vouchers only,,2008,2008,1
Jamesia americana,0,Jamesia americana,current,Hydrangeaceae,3.dicot,,,,2,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove-fixed,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,maybe legit,1 a Lamiaceae; other Philadelphus lewisii,,,,,,
Philadelphus coronarius,0,Philadelphus coronarius,current,Hydrangeaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove-fixed,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"maybe, but seems likely a different species same genus. Check just in case",Philadelphus lewisii,,,,,,
Philadelphus lewisii,0,Philadelphus lewisii,current,Hydrangeaceae,3.dicot,,native,34,27,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,33,33,17,1884,"Curran, Mary Katherine",1977,chriswbrown,7/9/2011,melisaclarke,8/16/2023,2011,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Hypericum anagalloides,0,Hypericum anagalloides,current,Hypericaceae,3.dicot,,native,23,7,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,29,27,14,1876,"McLean, F. P.",2008,tmessick,6/30/2008,leslie_flint,8/14/2023,2008,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Hypericum androsaemum,0,Hypericum androsaemum,current,Hypericaceae,3.dicot,,out-of-range,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, untraced taxonomic error",7,7,1,1910,Hutchinson,1956,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_1,taxonomic_mismatch,"8 CCH2 vouchers, all in RSA Herbarium, pre-1950; all over the place; assume taxonomy wrong and RSA hasn't updated; Taylor: not mentioned; in Jepson as Bay Area waif - no idea what all the many RSA vouchers (also beyond Yosemite) resolve to",,,,,Coast Range and East Coast; a single needsID observation far north of Tahoe in the Sierra,,,,taxonomic_mismatch-wrong something,,,1910,1956,8-all RSA
Hypericum calycinum,0,Hypericum calycinum,current,Hypericaceae,3.dicot,,introduced,5,1,,1,1,,1,1,,1,1,,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in park",retain exact name,retain exact name,2,,2,2008,"Taylor, Dean William",2010,miscellaneous_obs,6/25/2015,nicetim,7/2/2022,2015,2022,,,,,,agree_with_has_voucher&NOT_on_park_list,,,,,POWO doesn't list as being in North America!,,,,,,,,,,,2008,2010,2
Hypericum perforatum,0,Hypericum perforatum,current,Hypericaceae,3.dicot,,introduced,10,17,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,6,4,3,1964,"Frenkel, R. E.",1998,normaltonomad,6/28/2019,dgrimmphd,7/26/2023,2019,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1964,1998,6
