accepted_name,,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Ericameria parryi,1,Ericameria monocephala,synonym,Asteraceae,3.dicot,Ericameria parryi,native,,,1,,,synonym,synonym,synonym,1,1,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,leef,9/10/2018,leef,9/10/2018,2018,2018,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Ericameria suffruticosa,0,Ericameria suffruticosa,current,Asteraceae,3.dicot,,native,3,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,15,13,8,1878,unknown,2008,paulexcoff,9/22/2019,yerbasanta,7/21/2021,2019,2021,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Ericameria teretifolia,0,Ericameria teretifolia,current,Asteraceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from more than a year ago (species no longer suggested by CV for this observation)",,,,,,,
Erigeron aequifolius,0,Erigeron aequifolius,current,Asteraceae,3.dicot,,N/A,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",identification error,"remove, incorrect identification",1,1,1,1965,"Hood, Mary V.",1965,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_ID,"1 1965 voucher from Barger Pass, Mary Hood, LA Herbarium; species actually occurs in southen Sierra big river valley - South Fork Kings, Kaweah - so clearly wrong ID; Taylor: no mention",,,,,"southen Sierra big river valleys - South Fork Kings, Kaweah",,,,,,,1965,1965,1
Erigeron algidus,0,Erigeron algidus,current,Asteraceae,3.dicot,,native,3,8,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,61,48,43,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",2011,siadawn,7/18/2020,lizzywenk,6/19/2022,2020,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Erigeron algidus,1,Erigeron petiolaris,synonym,Asteraceae,3.dicot,Erigeron algidus,native,,,,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,,,,siadawn,7/18/2020,lizzywenk,6/19/2022,2020,2022,,,,,,synonym_from_GBIF_being_kept [[duplicate names in vouchers]],,v_2,taxonomic mismatch-synonym,"CCH: resolves immediately to Erigeron algidus, which of course has many vouchers",,,,,,,,,taxonomic_mismatch-synonym,,,,,
Erigeron annuus,0,Erigeron annuus,current,Asteraceae,3.dicot,,introduced,,1,1,1,,1,1,,1,,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,4,4,1,1902,"Bacon, Mrs. D. G.",1985,,,,,,,,,in Symbiota,,fix iNat,agree_with_has_voucher&YES_on_park_list,Yosemite Valley,v_3,correct-old_vouchers_only,a handful of old vouchers including 1970s 1980s in Yosemite Valley; interestingly Taylor claims no vouchers in park,,,,,,https://www.inaturalist.org/observations/129007136,,,,,,1902,1985,3
Erigeron aphanactis,0,Erigeron aphanactis,current,Asteraceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove-fixed,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,https://www.inaturalist.org/observations/127591508,"almost 100% certainly a misID, was a CV suggestion from two years ago. Is still one of the CV suggestions but not top one, and leaves don't match",Erigeron compositus,,,,,,
Erigeron barbellulatus,0,Erigeron barbellulatus,current,Asteraceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,2024 RG ID,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,4,2,3,1911,"Jepson, Willis L.",2007,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Erigeron breweri,0,Erigeron breweri,current,Asteraceae,3.dicot,,native,5,25,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,74,64,40,1863,"Brewer, William Henry",2021,lizzywenk,7/2/2014,alternative,8/3/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Erigeron canadensis,0,Erigeron canadensis,current,Asteraceae,3.dicot,Conyza canadensis,native,2,8,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,10,5,7,1895,"Lembert, J. B.",2009,dgrimmphd,9/4/2021,sethtantuico,8/21/2023,2021,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1895,2009,12
Erigeron clokeyi,0,Erigeron clokeyi,current,Asteraceae,3.dicot,,native,,1,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2005,"Colwell, Alison",2005,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,yes; Bond Pass,pl_1,,CCH: 1 recent voucher from Bond Pass (trip I was on),,,,,,,,,,vouchers not in database-recent vouchers only,,2005,2005,1
Erigeron compactus,0,Erigeron compactus,current,Asteraceae,3.dicot,,native,,,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in park",geographic error,"remove, species range far from park",XX-not in graphics,"XX-no voucher, not in park",,,,,,,,,,,,,,,,,,disagree_with_park_list,,pl_1,,,iNat: Great Basin and White Mtns only; not in Taylor,,,,,,,,,wrong range-California far from park,,,,
Erigeron compositus,0,Erigeron compositus,current,Asteraceae,3.dicot,,native,17,12,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,52,49,39,1863,"Brewer, William Henry",2007,lizzywenk,6/17/2015,rfreezin,7/27/2023,2015,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Erigeron coulteri,0,Erigeron coulteri,current,Asteraceae,3.dicot,,native,13,8,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,34,32,20,1885,"Congdon, Joseph Whipple",2006,rfunke,9/2/2017,eagle_eyes_evan,9/12/2023,2017,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Erigeron divergens,0,Erigeron divergens,current,Asteraceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,11,9,7,1878,"Ford, Henry Chapman",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Erigeron eatonii,0,Erigeron eatonii,current,Asteraceae,3.dicot,,native,,2,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",3,1,2,1936,"Haines, A. Lee",2005,,,,,,,,,in Symbiota,,example of recent botanist discovery; iNat needs ID - at least 1 mine,agree_with_park_list&YES_vouchers_exist,yes; Bond Pass,pl_1,,CCH: 2 recent vouchers from Bond Pass (trip I was on) and nearby,,,,,,,,,,vouchers not in database-recent vouchers only,,2005,2005,2
Erigeron elmeri,0,Erigeron elmeri,current,Asteraceae,3.dicot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,16,13,10,1891,"Congdon, Joseph Whipple",2010,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Erigeron foliosus,0,Erigeron foliosus,current,Asteraceae,3.dicot,,native,,20,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,1,3,1936,"Benson, Lyman D.",2007,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,various,pl_1,,"CCH: just a single old voucher, but a diversity of recent vouchers from all over the park; Taylor: oddly describes as no known Yosemite vouchers even thought a voucher from 1993 at Smith Peak is his. (thinking diff Smith Peak)",,,,,,,,,,vouchers not in database-old&recent vouchers,,1936,2007,4
Erigeron glacialis,0,Erigeron glacialis,current,Asteraceae,3.dicot,,native,15,71,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,100,95,49,1878,unknown,2010,trailhapa,7/27/2017,dgrimmphd,7/28/2023,2017,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Erigeron glacialis,1,Erigeron peregrinus,synonym,Asteraceae,3.dicot,,native,,4,1,1,,synonym,synonym,synonym,,,,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,8,4,6,1935,"Thomas, W. D.",2005,,,,,,,,,,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Erigeron inornatus,0,Erigeron inornatus,current,Asteraceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",1,1,,1896,"Congdon, Joseph Whipple",1896,,,,,,,,,in Symbiota,,,,,,,,,,,,,,,,,,,,,
Erigeron linearis,0,Erigeron linearis,current,Asteraceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,5,3,5,1923,"Mason, Herbert L.",2010,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,"multiple CCH2 vouchers, old and new",,,,,"mostly Oregon, Idaho, but into northern CA; and I've seen in far nothern Yosemite",,,,,,,,,
Erigeron lonchophyllus,0,Erigeron lonchophyllus,current,Asteraceae,3.dicot,Trimorpha lonchophylla,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,26,23,13,1874,"Lemmon, John G.",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Erigeron pygmaeus,0,Erigeron pygmaeus,current,Asteraceae,3.dicot,,native,1,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,37,32,29,1895,"Congdon, Joseph Whipple",2011,twillrichardson,7/31/2023,twillrichardson,7/31/2023,2023,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Erigeron radicatus,0,Erigeron radicatus,current,Asteraceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",1,1,1,1898,"Congdon, Joseph Whipple",1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erigeron speciosus,0,Erigeron speciosus,current,Asteraceae,3.dicot,,,,2,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from four and five years ago. Is still one of the CV suggestions but not top one",,,,,,,
Erigeron strigosus,0,Erigeron strigosus,current,Asteraceae,3.dicot,,introduced,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,21,20,12,1902,"Bacon, Mrs. D. G.",1998,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,"Yosemite Valley, Pate Valley",v_1,correct-old&recent_vouchers,"many CCH2 vouchers, old and new",,,,,"occurs mainly in eastern US, with scattered CA observations and only 2 in Sierra",,,,,,,1902,1998,17
Erigeron sumatrensis,0,Erigeron sumatrensis,current,Asteraceae,3.dicot,,,,2,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,possibly new-crappy photos,,,,IGNORE-needsID_possibly_correct_but_no_vouchers_or_RG,,,,,,,,,,,"One seems questionable, one within the realm of possibility, but both observations are a low quality photo from which ID is unlikely to be verifiable",,,,,,,
Erigeron tener,0,Erigeron tener,current,Asteraceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,4,3,2,1890,"Congdon, Joseph Whipple",2007,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,montane,,correct-old&recent_vouchers,,,,,,,,,,,,,1890,2007,3
Erigeron ursinus,0,Erigeron ursinus,current,Asteraceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",2,2,1,1898,"Congdon, Joseph Whipple",1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erigeron vagus,0,Erigeron vagus,current,Asteraceae,3.dicot,,native,1,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,12,9,11,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",2012,aaron_echols,8/22/2020,aaron_echols,8/22/2020,2020,2020,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Eriophyllum confertiflorum,0,Eriophyllum confertiflorum,current,Asteraceae,3.dicot,,native,29,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,30,28,18,1866,"Bolander, Henry Nicholas",2007,lizzywenk,6/13/2014,lnkze,12/22/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Eriophyllum congdonii,0,Eriophyllum congdonii,current,Asteraceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,2,1,1,1911,"Hall, Harvey Monroe",2023,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,"lots of CCH2 vouchers, old and new, appear to generally be just outside the park, but likely some in it",,,,,all 18 observations clustered around western boundary of Yosemite,,,,,,,,,
Eriophyllum lanatum,0,Eriophyllum lanatum,current,Asteraceae,3.dicot,,native,26,2,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,78,69,41,1866,"Bolander, Henry Nicholas",2007,lizzywenk,6/17/2014,dgrimmphd,7/28/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Eriophyllum nubigenum,0,Eriophyllum nubigenum,current,Asteraceae,3.dicot,,native,1,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,16,13,9,1883,"Curran, Mary Katherine",2008,miamouse86,5/23/2021,miamouse86,5/23/2021,2021,2021,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers / coordinates_obscured,"many CCH2 vouchers, old and new",,,,,Yosemite area endemic,,,,,,,,,
Eurybia integrifolia,0,Eurybia integrifolia,current,Asteraceae,3.dicot,,native,8,8,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,29,27,12,1889,"Congdon, Joseph Whipple",2007,david99,9/19/2017,thomastaylor1,8/17/2023,2017,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Eurybia sibirica,0,Eurybia sibirica,current,Asteraceae,3.dicot,,N/A,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, untraced taxonomic error",4,4,1,1921,"Peirson, Frank W.",1964,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch / wrong_ID,"CCH: no vouchers; gbif: 1 voucher from RSA, Roalson  1930 under Erigeron salsuginosus; looking this up, 3 old vouchers in Yosemite, other 2 from small herbaria with lots of name issues; POWO: Eurybia sibirica correct",,,,,northern Rockies into Candada and Eurasia,,,,taxonomic_mismatch-renaming in progress,,,1930,1964,3
Euryops pectinatus,0,Euryops pectinatus,current,Asteraceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,"remove: correct ID, wrong coordinates",,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,https://www.inaturalist.org/observations/74457439,Maybe legit,need to contact person - wouldnâ€™t be a giant individual invasive in the middle of hwy 120 and not kown about,,,,,,
Euthamia occidentalis,0,Euthamia occidentalis,current,Asteraceae,3.dicot,,native,4,21,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,10,7,7,1874,"Lemmon, John G.",2008,raulagrait,9/5/2016,fawnlilyranch,10/9/2023,2016,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,"northern Rockies and Cascades, Canada, Alaska, Siberia",,,,,,,,,
Gaillardia aristata,0,Gaillardia aristata,current,Asteraceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove-fixed,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,https://www.inaturalist.org/observations/127192795,"almost 100% certainly a misID, was a CV suggestion from two years ago (species no longer suggested by CV for this observation)",Helenium bigelovii (Bigelow's sneezeweed)  - fixed ID,,,,,,
Gaillardia pulchella,0,Gaillardia pulchella,current,Asteraceae,3.dicot,,introduced,,,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in park",,,,,,,,,,,,,,,in Symbiota,,,agree_with_park_list-but_NO_voucher_exists,,pl_1,,,"CCH, Taylor: scattered introductions throughout Sierra and California, but no vouchers in Mariposa, Tuolumne Counties",,,,,,,,,correct-probably but no vouchers,,N/A,N/A,0
Gnaphalium palustre,0,Gnaphalium palustre,current,Asteraceae,3.dicot,,native,2,4,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,29,17,17,1866,"Bolander, Henry Nicholas",2008,tmessick,10/16/2017,dgrimmphd,7/26/2023,2017,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Grindelia hirsutula,0,Grindelia hirsutula,current,Asteraceae,3.dicot,"Grindelia camporum var. camporum; Grindelia nana per TNRS but not iNat, Jepson (although G. nana itself misapplied to G. squarrosa per Taylor) ",native,,,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in park",,,,,,,,,,,,,,,,,,disagree_with_park_list,,pl_1,,,"iNat: Coast Range and very low elevation Sierra; Taylor: no vouchers in (or very close to) Yosemite; no CCH vouchers; Grindelia camporum / Grindelia nana / Grindelia squarrosa / Grindelia hirsutula (& ~26 more names) collapsed to 1 species (Grindelia hirsutula) by TNRS (and in Flora of North America), but retained as separate by iNat, Jepson. To make matters worse, no actual vouchers in the park, so it is all hearsay if any are in the park, and if so which one. Botti (1980's Yos botanist, who wrote one flora) and Taylor have rather different lists of possible species in the park, with Taylor suggesting Botti misapplications. But FNA basically says 30 taxa collapsed into 1 because ever thought there are regional differences (hence diff species), there are also intermediates everywhere (hence the likely inability to put firm names on the Yosemite-area taxa).",,,,,,,,,wrong range-west or south of park at much lower elevations; Coast Range,,,,
Grindelia hirsutula,1,Grindelia squarrosa,synonym,Asteraceae,3.dicot,"Grindelia hirsutula per TNRS but not iNat, Jepson",,,2,,,,synonym,synonym,synonym,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"all four from same guy, could be legit",all needsID incorrect,,,,,,
Gutierrezia sarothrae,0,Gutierrezia sarothrae,current,Asteraceae,3.dicot,,,,4,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"seven from same guy (same as the above Grindelia species), could be legit",all 7 are Ericameric bloomeri; desert and valley floor species only,,,,,,
Helenium autumnale,0,Helenium autumnale,current,Asteraceae,3.dicot,,,,4,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove-fixed,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost certainly misID, all 4 obs with 1-3 year old CV suggesitons, different Helenium",all 4 were Helenium bigelovii (Bigelow's sneezeweed) bigelovii - I fixed,,,,,,
Helenium bigelovii,0,Helenium bigelovii,current,Asteraceae,3.dicot,,native,62,43,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,54,53,31,1866,"Bolander, Henry Nicholas",2003,finzelflowers,6/26/2007,plbuttercup,11/24/2023,2007,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Helenium puberulum,0,Helenium puberulum,current,Asteraceae,3.dicot,,out-of-range,,4,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, untraced taxonomic error",1,1,1,1894,"Congdon, Joseph Whipple",1894,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch-1800's_voucher,CCH: only Yosemite voucher 1894 Congdon; other vouchers to west; iNat needs ID all suspicious,,,,,Coast Range and occasional in San Joaquin Valley,,,,taxonomic_mismatch-1800's_voucher,,,1894,1894,"1-Congdon, Bell"
Helianthella californica,0,Helianthella californica,current,Asteraceae,3.dicot,,native,,6,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,2,,1911,"Hall, Harvey Monroe",1924,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,"CCH: 2 Hall vouchers, 1910 and 1924 from Wawona; Taylor mentions a third Wawona specimen as well",,,,"Coast Range, Sierra from north of Tahoe,",,,,,vouchers not in database-old vouchers only,,1911,1924,2
Helianthus annuus,0,Helianthus annuus,current,Asteraceae,3.dicot,,native,,1,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,2,2,1909,"Jepson, Willis L.",1927,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Yosemite Valley, Hetch Hetcy",pl_1,,,CCH: 2 old vouchers: 1910 Jepson at Hetch Hetchy; 1927 Michael in YV; Taylor mentions both vouchers,,,,,,,,,vouchers not in database-old vouchers only,,1909,1927,2
Helianthus bolanderi,0,Helianthus bolanderi,current,Asteraceae,3.dicot,,native,,,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in park",,,,,,,,,,,,,,,in Symbiota,,,disagree_with_park_list,,pl_1,,,"iNat: Coast Range, San Joaquin Valley, very low elevation Sierra; Taylor: no nearby vouchers",,,,,,,,,wrong range-west or south of park at lower elevations,,,,
Helianthus californicus,0,Helianthus californicus,current,Asteraceae,3.dicot,,native,1,5,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,6,5,2,1889,"Congdon, Joseph Whipple",2006,beringerfamily,8/26/2019,beringerfamily,8/26/2019,2019,2019,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
