accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Mentzelia lindleyi,Mentzelia lindleyi,current,Loasaceae,3.dicot,,native,,,1,1,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,retain voucher,1,1,1930,"Homer, M.",1930,,,,,,,,,in Symbiota,,,disagree_with_has_voucher&parks_list,,v_3,no_vouchers (expected in park),"CCH: several vouchers around El Portal; also iNat; but only voucher ""in"" Yosemite is ambiguous, just saying ""Yosemite"" in UNR herbarium",,,,,,,,,,,,N/A,N/A,0
Ammannia coccinea,Ammannia coccinea,current,Lythraceae,3.dicot,,N/A,,,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, taxonomic mismatch",1,1,1893,"Ford, Henry Chapman",1893,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_1,taxonomic_mismatch-1800's_voucher,"1 CCH2 observation, from 1893",,,,,"Central Valley, true flatlands",https://www.cch2.org/portal/collections/individual/index.php?occid=65554&clid=0,,,taxonomic_mismatch-1800's_voucher,,,1893,1893,1
Lythrum hyssopifolia,Lythrum hyssopifolia,current,Lythraceae,3.dicot,,native,,,1,1,,1,1,,,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,1,1,2006,"McGlinchy, Maureen",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,1 gbif wih description that matches much lower elevation site - and specifes 324 m elevation; also 1 recent CCH2 voucher from above Pate Valley,,,,,"mostly Coast Range, but scattered observations throughout low elevation Sierra",https://www.gbif.org/occurrence/3059709414,,,,,,,,
Lythrum portula,Lythrum portula,current,Lythraceae,3.dicot,,introduced,,,,,,,1,,,1,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,2008,"Taylor, Dean William",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum salicaria,Lythrum salicaria,current,Lythraceae,3.dicot,,N/A,,,,,1,,,x,,,,,"remove, 01. wrong ID","XX-not on parks list, not in park","XX-no voucher, not in park",,,,,,,,,,,,,,,,,disagree_with_iNat,,in_1,,,,data error (identification),iNat misID,Will curated before I got started - wrongID,,,,,,,iNat misID,,,
Rotala ramosior,Rotala ramosior,current,Lythraceae,3.dicot,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",4,1,1938,"Mason, Herbert L.",2008,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Yosemite Valley, Hetch Hetchy",pl_1,,,"CCH, Taylor: several vouchers, old and recent, in Hetch Hetchy area",,,,,,,,,vouchers not in database-old&recent vouchers,,1938,2008,4
Eremalche exilis,Eremalche exilis,current,Malvaceae,3.dicot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,,1866,Geological Survey,1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fremontodendron californicum,Fremontodendron californicum,current,Malvaceae,3.dicot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,,1891,"Dodd, Mrs. [initials confusing]",1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus denudatus,Hibiscus denudatus,current,Malvaceae,3.dicot,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_1,wrong_coordinates-Riverside,1 gbif voucher with locality referring to Riverside County,,,,,desert species with all records south of LA latitude,https://www.gbif.org/occurrence/1929753590,,,,,,,,
Malva nicaeensis,Malva nicaeensis,current,Malvaceae,3.dicot,,introduced,,,1,,,1,,,,,1,,"XX-not in iNat, maybe in park","retain, nearby voucher","XX-no voucher, maybe in park",,,,,,,,,,,,,,in Symbiota,,,disagree_with_park_list (El Portal),,pl_1,,,recent El Portal voucher only; Taylor: no regional vouchers,,,,,,,,,wrong range-El Portal vouchers,,N/A,N/A,0
Malva parviflora,Malva parviflora,current,Malvaceae,3.dicot,,introduced,,,1,,,1,1,,,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,2,2010,"Taylor, Dean William",2010,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Yosemite Valley; Merced Lake,pl_1,,,"CCH: 2 recent vouchers (Merced Lake stock corral, Yosemite Valley); Taylor: no vouchers - although the Yos vouchers are his, just post-book",,,,,,,,,vouchers not in database-recent vouchers only,,2010,2010,2
Sidalcea asprella,Sidalcea malviflora,synonym (pro parte),Malvaceae,3.dicot,Sidalcea asprella (in part),native,,2,,1,,synonym,synonym,synonym,1,,,,XX-synonym other list,XX-synonym other list,"remove, duplicate synonym",,,,,,,,,,,,,,,,,synonym_from_GBIF_being_kept [[duplicate names in vouchers]],,v_2,taxonomic_mismatch-synonym,"CCH: many records through several Botti collections in 1980's, then nothing",,,,,"Coast Range species and the scattered Sierra observations are all ""NeedsID""",,,,taxonomic_mismatch-synonym,,,,,
Sidalcea asprella,Sidalcea asprella,current,Malvaceae,3.dicot,Sidalcea malviflora var. asprella,native,,1,1,1,,1,1,,1,,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,4,2,1872,"Redfield, John H.",1944,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,CCH: a few old vouchers along western park boundary; generally lower elevation,,,,,,,,,,,,,,
Sidalcea diploscypha,Sidalcea diploscypha,current,Malvaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"maybe, but seems likely a different species same genus. Check just in case","not sure which species of Sidalcea, but not this one",,,,,,
Sidalcea glaucescens,Sidalcea glaucescens,current,Malvaceae,3.dicot,,native,11,35,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,7,3,1911,"Jepson, Willis L.",1998,dpom,6/30/2014,goflowers,7/30/2022,2014,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Sidalcea multifida,Sidalcea multifida,current,Malvaceae,3.dicot,,N/A,,,,1,,,,,,1,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch-1800's_voucher,CCH: no vouchers; gbif: 1 2022 voucher with wrong coordinates,,,,,,https://www.gbif.org/occurrence/4455993344,,,,,,2022,2022,1-wrong coord
Sidalcea oregana,Sidalcea oregana,current,Malvaceae,3.dicot,,native,,2,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, taxonomic mismatch",2,1,1916,"Smiley, F. J.",1932,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch / wrong_ID,"CCH: 2 vouchers,  1915, 1932, different locations and different elevations; but Taylor writes no Yosemite vouchers",,,,,common on east side and southern Sierra; I've seen at Kennedy Lake,,,,taxonomic_mismatch,,,1915,1932,2
Sidalcea reptans,Sidalcea reptans,current,Malvaceae,3.dicot,,native,1,3,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,7,3,1866,"Bolander, Henry Nicholas",1969,pemoore,8/31/2020,pemoore,8/31/2020,2020,2020,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,CCH: only old vouchers; iNat mostly by Peggy Moore and other good botanists,,,,,,,,,,,,,,
Sphaeralcea ambigua,Sphaeralcea ambigua,current,Malvaceae,3.dicot,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_coordinates-Riverside,"1 gbif voucher references location in Riverside County, but coordinates are below Johnson Lake (South Fork Merced)",,,,,"east side species, extending to 10,000 feet and into southern Sierra; 2 west side low elevation specimens odd - from wildflower mixes??",https://www.gbif.org/occurrence/1929307153,,,,,,,,
Menyanthes trifoliata,Menyanthes trifoliata,current,Menyanthaceae,3.dicot,,native,6,,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,11,7,1889,"Congdon, Joseph Whipple",1963,lizzywenk,6/14/2014,lizzywenk,7/6/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Mollugo verticillata,Mollugo verticillata,current,Molluginaceae,3.dicot,,introduced,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",3,1,1927,"Michael, Enid",2008,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Yosemite Valley, Lake Eleanor",pl_1,,,CCH: Multiple new and old vouchers from several locations in western Yosemite,,,,,,,,,vouchers not in database-old&recent vouchers,,1927,2008,3
Calandrinia breweri,Calandrinia breweri,current,Montiaceae,3.dicot,,native,,,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",1,1,1936,"Yates, H. S.",1936,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_ID,"CCH: small number of low elevation Sierra vouchers, old & recent, and 1 1936 voucher from UCLA herbarium labeled ""Tuolumne, Sierra Nevada; Yosemite National Park; near Tioga Pass, 37.902596 -119.259923, 2987m"" - very unlikely; Taylor: no YNP mentions and < 3500 ft after fire",,,,,,,,,,,,1936,1936,1
Calandrinia menziesii,Calandrinia menziesii,current,Montiaceae,3.dicot,Calandrinia ciliata,native,8,3,,,1,1,1,1,1,1,1,,retain observation,"retain, synonym","retain voucher, synonym",2,,1924,"Howell, John Thomas",2006,,,,,,,,,in Symbiota,,iNat different name to gbif,agree_with_park_list&YES_vouchers_exist,,in_1,correct-old_vouchers_only,,,data error (database issue),accessioning problem,multiple RG observations along Hetch Hetchy,,,,,,,accessioning problem,1924,2006,2
Calandrinia menziesii,Calandrinia ciliata,synonym,Montiaceae,3.dicot,Calandrinia menziesii,native,,,1,1,,synonym,synonym,synonym,1,,,,XX-synonym other list,XX-synonym retained,XX-synonym retained,,,,,,,,,,,,,,,,,synonym_from_iNaturalist_being_kept,,v_1,correct-old_vouchers_only / taxonomic_mismatch,,"CA species now all Calandrinia menziesii, previously Calandrinia ciliata",,,,resolves to Calandrinia menziesii in iNat which is very common in Sierra foothills with multiple RG around Hetch Hetchy,,,,,duplicate name-half implemented,,1924,2006,2
Calyptridium monandrum,Calyptridium monandrum,current,Montiaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from two years ago (species no longer suggested by CV for this observation), and poor photos",,,,,,,
Calyptridium monospermum,Calyptridium monospermum,current,Montiaceae,3.dicot,Cistanthe monosperma,native,343,139,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,54,30,1863,"Brewer, William Henry",2009,charadrius,7/24/2006,wildave,10/13/2023,2006,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Calyptridium monospermum,Cistanthe monosperma,synonym,Montiaceae,3.dicot,Calyptridium monospermum,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,charadrius,7/24/2006,wildave,10/13/2023,2006,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Calyptridium umbellatum,Calyptridium umbellatum,current,Montiaceae,3.dicot,Cistanthe umbellata,native,9,18,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,77,52,1863,"Brewer, William Henry",2011,dawnendico,7/20/2005,melisaclarke,8/18/2023,2005,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Calyptridium umbellatum,Cistanthe umbellata,synonym,Montiaceae,3.dicot,,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,dawnendico,7/20/2005,melisaclarke,8/18/2023,2005,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Claytonia exigua,Claytonia tuberosa,current,Montiaceae,3.dicot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","XX-wrong ID voucher found in CCH download, not in park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claytonia lanceolata,Claytonia lanceolata,current,Montiaceae,3.dicot,,native,5,2,1,,1,1,1,1,1,,1,,retain observation,retain on list,"add, voucher found in CCH download",1,,1940,"Howell, John Thomas",1940,lizzywenk,6/14/2014,rangerwild,5/26/2021,2014,2021,,,in Symbiota,,,agree_with_park_list-but_NO_voucher_exists,,in_1,,,,"historical discovery failure, natural migration",new native record-known-no-voucher,many valid observations in iNat (I have many I've just uploaded and waiting to upload),,,,,,,new native record,,,
Claytonia megarhiza,Claytonia megarhiza,current,Montiaceae,3.dicot,,native,6,1,1,1,obscured,1,1,1,1,1,1,,"add, auto-obscured coordinates",retain on list,retain voucher,10,7,1925,"Michael, Enid",2011,lizzywenk,6/16/2015,eheisey,7/3/2022,2015,2022,,,in Symbiota,geoprivate_by_iNat,,agree_with_has_voucher&YES_on_park_list,,,coordinates_obscured,,,,,,,,,,,,,,,
Claytonia nevadensis,Claytonia nevadensis,current,Montiaceae,3.dicot,,native,1,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,15,12,1923,"Mason, Herbert L.",2010,chloe_and_trevor,9/4/2023,chloe_and_trevor,9/4/2023,2023,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,"CCH: Mount Dana, Granite Lakes, Virginia Canyon",,,,,,,,,,,,,,
Claytonia parviflora,Claytonia parviflora,current,Montiaceae,3.dicot,,native,22,40,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,12,5,1881,"Jones, Marcus E.",2007,faerthen,4/21/2014,nadia-bergeron,5/22/2022,2014,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Claytonia perfoliata,Claytonia perfoliata,current,Montiaceae,3.dicot,,native,38,20,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,18,6,1872,"Redfield, John H.",1960,faerthen,5/5/2013,julienmt,7/5/2023,2013,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Claytonia rubra,Claytonia rubra,current,Montiaceae,3.dicot,,native,12,2,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,6,2,1883,"Congdon, Joseph Whipple",2006,tomhilton,5/9/2015,sofimoralescim2023,6/23/2023,2015,2023,,,,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Lewisia congdonii,Lewisia congdonii,current,Montiaceae,3.dicot,,native,,,1,,,1,,,,,1,,"XX-not in iNat, maybe in park","retain, nearby voucher","XX-no voucher, maybe in park",,,,,,,,,,,,,,in Symbiota,,,disagree_with_park_list (El Portal),,pl_1,,,iNat: only occurs around western boundary of Yosemite; coordinates obscured,,,,,,,,,wrong range-El Portal vouchers,,,,
Lewisia disepala,Lewisia disepala,current,Montiaceae,3.dicot,,native,10,1,1,1,obscured,1,1,1,1,1,1,,"add, auto-obscured coordinates",retain on list,retain voucher,12,6,1894,"Dudley, William R.",1996,pemoore,3/1/2013,chloe_and_trevor,5/13/2022,2013,2022,,,in Symbiota,geoprivate_by_iNat,,agree_with_has_voucher&YES_on_park_list,,,coordinates_obscured,,,,,,,,,,,,,,,
Lewisia glandulosa,Lewisia glandulosa,current,Montiaceae,3.dicot,,native,5,6,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,22,21,1899,"Chesnut, Victor K.; ; Drew, Elmer R.",2011,silverpeakwildman,8/27/2010,silverpeakwildman,7/27/2020,2010,2020,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Lewisia kelloggii,Lewisia kelloggii,current,Montiaceae,3.dicot,,native,12,11,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,15,6,1911,Sierra Club members,2010,dcbroten,6/19/2017,autumndorr,7/17/2023,2017,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Lewisia leeana,Lewisia leeana,current,Montiaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove-fixed,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from last year (species no longer suggested by CV for this observation)",Erigeron breweri,,,,,,
Lewisia nevadensis,Lewisia nevadensis,current,Montiaceae,3.dicot,,native,12,12,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,11,3,1909,"Jepson, Willis L.",1956,lizzywenk,6/21/2014,kyanocitta,8/12/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Lewisia pygmaea,Lewisia pygmaea,current,Montiaceae,3.dicot,,native,5,7,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,36,24,1872,"Muir, John",2005,parke2,6/25/2018,twillrichardson,7/31/2023,2018,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Lewisia triphylla,Lewisia triphylla,current,Montiaceae,3.dicot,Erocallis triphylla,native,15,16,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,29,14,1884,"Curran, Mary Katherine",2007,stevendaniel,6/27/2010,kyanocitta,8/12/2023,2010,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Lewisia triphylla,Erocallis triphylla,synonym,Montiaceae,3.dicot,Lewisia triphylla,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,stevendaniel,6/27/2010,kyanocitta,8/12/2023,2010,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Montia arvensis,Montia arvensis,current,Montiaceae,3.dicot,,introduced,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_coordinates,"CCH: no vouchers; gbif: 1 voucher from location near 120-108 junction: ""Along seepy drainage channel on N side of Highway 108, 3.3 mi. E of Yosemite Junction (Highway 120). "" - and wrong ID, because European species with no North America observations",,,,,northern California,,,,,,,N/A,N/A,0
Montia chamissoi,Montia chamissoi,current,Montiaceae,3.dicot,,native,3,6,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,27,19,1863,"Brewer, William Henry",2005,voleman,6/14/2022,thehyphaemovement,7/5/2022,2022,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Montia fontana,Montia fontana,current,Montiaceae,3.dicot,,native,,,1,1,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,retain voucher,10,6,1897,"Congdon, Joseph Whipple",1967,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,CCH: diversity of vouchers along western side of park through 1967,,,,,,,,,,,,,,
Montia linearis,Montia linearis,current,Montiaceae,3.dicot,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",8,4,1911,"Walker, Miss Harriet A.",2006,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Yosemite Valley, Hetch Hetchy, Mather, Wawona",pl_1,,,Taylor/CCH: old and recent vouchers,,,,,,,,,vouchers not in database-old&recent vouchers,,1911,2006,7
Montia parvifolia,Montia parvifolia,current,Montiaceae,3.dicot,,native,1,1,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,25,12,1866,State Survey,2007,matsonburger,8/5/2010,matsonburger,8/5/2010,2010,2010,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Myrica hartwegii,Myrica hartwegii,current,Myricaceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park (obscurbed iNat not in park)",retain on list,retain voucher,23,13,1866,"Bolander, Henry Nicholas",2010,,,,,,,,,in Symbiota,geoprivate_by_iNat,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers / coordinates_obscured,,,,,,"range should include Yosemite, but all coordinates obscured",,,,,,,,,
Allionia incarnata,Allionia incarnata,current,Nyctaginaceae,3.dicot,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_coordinates-Riverside,"gbif: 1 voucher ""Big Maria Mountains, 12 airline miles north of downtown Blythe.""",,,,,"desert species, closest observation Saline Valley",https://www.gbif.org/occurrence/4073930683,,,,,,,,
Nuphar polysepala,Nuphar polysepala,current,Nymphaeaceae,3.dicot,,native,20,3,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,12,7,1887,unknown,2006,henicorhina,8/27/2009,joeybom,6/7/2023,2009,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Fraxinus dipetala,Fraxinus dipetala,current,Oleaceae,3.dicot,,native,,,1,,,,,,,,,,"XX-not in iNat, not in park","remove, range far from park","XX-no voucher, not in park",,,,,,,,,,,,,,in Symbiota,,,disagree_with_park_list,,pl_1,,,"CCH: no Yosemite vouchers, closest Hite Cove; Taylor: explicitly indicates not in Yosemite",,,,,,,,,wrong range-west or south of park at lower elevations,,,,
Fraxinus latifolia,Fraxinus latifolia,current,Oleaceae,3.dicot,,native,,2,1,,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found in CCH download",1,,1934,"Sharsmith, Carl W.",1934,,,,,,,,,in Symbiota,,,agree_with_park_list-but_NO_voucher_exists,,pl_1,,,CCH: multiple older vouchers from El Portal area; 1 of iNat needsID from Yos Valley possibly correct,,,,,,,,,,,,,
Syringa vulgaris,Syringa vulgaris,current,Oleaceae,3.dicot,,introduced,,,,,,,1,,,1,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,2009,"Taylor, Dean William",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camissonia campestris,Camissonia campestris,current,Onagraceae,3.dicot,,native,,,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, taxonomic mismatch",2,1,1895,"Perkins, Albert J.",1926,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong range-west or south of park at lower elevations,"CCH: 3 vouchers, 1894, 1895, 1926; Taylor: at much lower elevations",,,,,,,,,taxonomic_mismatch-wrong something,,,1894,1926,3
Camissonia contorta,Camissonia contorta,current,Onagraceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,6,5,1934,"Augustine, W. B.",2009,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Camissonia lacustris,Camissonia lacustris,current,Onagraceae,3.dicot,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",5,4,1907,"King, M Alice",2016,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Yosemite Valley, Hetch Hetchy, Mather",pl_1,,,"CCH, Taylor: vouchers from Little Yos Valley, Wawona",,,,,,,,,vouchers not in database-old&recent vouchers,,1907,2016,5
Camissonia sierrae,Camissonia sierrae,current,Onagraceae,3.dicot,,native,4,1,1,1,obscured,1,1,1,1,1,1,,"add, auto-obscured coordinates",retain on list,retain voucher,7,4,1906,"Head, Anna",2020,lizzywenk,6/13/2015,tvl,5/20/2022,2015,2022,,,in Symbiota,geoprivate_by_iNat,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Camissoniopsis hirtella,Camissoniopsis hirtella,current,Onagraceae,3.dicot,,native,,,,,,,,,,1,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,,1991,"Botti, Stephen J.",1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camissoniopsis luciae,Camissoniopsis luciae,current,Onagraceae,3.dicot,,native,,,1,,,,,,,,,,"XX-not in iNat, not in park","remove, range far from park","XX-no voucher, not in park",,,,,,,,,,,,,,in Symbiota,,,disagree_with_park_list,,pl_1,,,Taylor: not in book; no CCH vouchers;,,,,,,,,,wrong name-Coastal California,,,,
Chamaenerion angustifolium,Chamaenerion angustifolium,current,Onagraceae,3.dicot,Epilobium angustifolium,native,186,,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,34,21,1878,"Lemmon, John G.",2010,ramundo,7/17/2013,berkeleyscottandrews,10/29/2023,2013,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Chamaenerion angustifolium,Epilobium angustifolium,current,Onagraceae,3.dicot,Chamaenerion angustifolium,native,,,1,,,synonym,synonym,synonym,1,1,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,ramundo,7/17/2013,berkeleyscottandrews,10/29/2023,2013,2023,,,,,,agree_with_park_list&YES_voucher_under_synonym,,pl_1,,,,,,,,,,,,synonym,,,,
