accepted_name,scientific_name,taxonomic_status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,vouches_from_gbif_only,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,location_notes,notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,first_record-manual,last_record-manual
Phacelia purpusii,Phacelia purpusii,current,Boraginaceae,3.dicot,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,1,2,1860,"Bolander, Henry Nicholas",2009,,,,,,,,,in Symbiota,,,Yosemite Valley,"CCH, Taylor: recent vouchers from near Rainbow Point on Old Big Oak Flat Road; also 1860 YV voucher (Bolander) - unsure",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1860,2009
Phacelia quickii,Phacelia quickii,current,Boraginaceae,3.dicot,,native,24,13,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,29,28,18,1882,"Brandegee, Katharine",2003,ryan_elliott,5/21/2011,thehyphaemovement,7/4/2022,2011,2022,,,in Symbiota,,,,,,,,,,,,,
Phacelia racemosa,Phacelia racemosa,current,Boraginaceae,3.dicot,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",7,6,3,1911,"Hall, Harvey Monroe",1993,,,,,,,,,in Symbiota,,,,"CCH, Taylor: multiple Yosemite vouchers, across many years, most recent 1993",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1911,1993
Phacelia ramosissima,Phacelia ramosissima,current,Boraginaceae,3.dicot,,native,2,2,1,1,iNat-not-gbif,1,1,1,1,1,1,,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,13,11,9,1898,"Congdon, Joseph Whipple",2006,lylawalks,10/6/2021,dgrimmphd,7/26/2023,2021,2023,,,in Symbiota,restricted_license,,,,,,,,,,,,
Phacelia tanacetifolia,Phacelia tanacetifolia,current,Boraginaceae,3.dicot,,native,,1,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",2,2,,1911,"Hall, Harvey Monroe",1948,,,,,,,,,in Symbiota,,,,"CCH: 1 1911 voucher from near Bridalveil; 1 1948 voucher that just reads ""Yosemite""; Taylor believes it is in the park and can get to 5500 feet",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1911,1911
Phacelia vallicola,Phacelia vallicola,current,Boraginaceae,3.dicot,,native,15,5,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,11,10,8,1890,"Bioletti, Frederick Theodore",2006,faerthen,4/21/2014,davidloeb,6/28/2023,2014,2023,,,in Symbiota,,,,,,,,,,,,,
Pholistoma auritum,Pholistoma auritum,current,Boraginaceae,3.dicot,,native,1,,1,1,iNat-not-gbif,1,1,1,1,,1,,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,1,1,1,1939,"Cole, James E.",1939,rangerwild,5/9/2022,rangerwild,5/9/2022,2022,2022,,,in Symbiota,restricted_license,,,"CCH: 1 1939 voucher that simply reads ""Yosemite National Park"" - otherwise at much lower elevations; iNat RG observation valid - just inside park",,,,,,,,,
Plagiobothrys bracteatus,Plagiobothrys bracteatus,current,Boraginaceae,3.dicot,,native,,,,,,,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,1,2,1924,"Jepson, Willis L.",2008,,,,,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",,,,,
Plagiobothrys collinus,Plagiobothrys collinus,current,Boraginaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,,,,,Maybe legit,not in Taylor - southern CA Coast Range species and 6 Sierra observations all needsID - BUT this isn't a species I recognise!,,,
Plagiobothrys myosotoides,Plagiobothrys myosotoides,current,Boraginaceae,3.dicot,,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",9,,5,2005,"Colwell, Alison",2006,,,,,,,,,in Symbiota,,,western boundary,"POWO: The native range of this species is Peru to Bolivia, Central Chile. It is an annual and grows primarily in the temperate biome. ; iNat: all observations South America; 10+ recent vouchers in YM",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,2005,2006
Plagiobothrys nothofulvus,Plagiobothrys nothofulvus,current,Boraginaceae,3.dicot,,native,,3,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,5,4,3,1928,"Michael, Enid",2006,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Plagiobothrys reticulatus,Plagiobothrys reticulatus,current,Boraginaceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",1,1,1,1902,"Hall, Harvey Monroe",1902,,,,,,,,,,,,,,,,,,,,,,
Plagiobothrys scouleri,Plagiobothrys scouleri,current,Boraginaceae,3.dicot,Plagiobothrys hispidulus,native,,3,,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,16,9,11,1897,"Congdon, Joseph Whipple",2021,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Plagiobothrys scouleri,Plagiobothrys hispidulus,synonym,Boraginaceae,3.dicot,Plagiobothrys scouleri,native,,,1,,,synonym,synonym,synonym,1,1,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plagiobothrys stipitatus,Plagiobothrys stipitatus,current,Boraginaceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,6,4,5,1911,"Abrams, Le Roy",2006,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Plagiobothrys tenellus,Plagiobothrys tenellus,current,Boraginaceae,3.dicot,,native,,2,,1,,,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,9,5,6,1878,"Ford, Henry Chapman",2006,,,,,,,,,,,,,"CCH: a few believable vouchers, both old and recent",,,,,,,,1878,2006
Plagiobothrys torreyi,Plagiobothrys torreyi,current,Boraginaceae,3.dicot,,native,1,2,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,43,33,33,1878,"Lemmon, John G.",2021,disco___very,5/16/2023,disco___very,5/16/2023,2023,2023,,,in Symbiota,,,,,,,,,,,,,
Anelsonia eurycarpa,Anelsonia eurycarpa,current,Brassicaceae,3.dicot,,native,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,1,1,1939,"Sharsmith, Carl W.",1939,,,,,,,,,in Symbiota,,,eastern boundary,"I've seen on Excelsior Peak CCH: Excelsior, Koip, Virginia Cyn, but all old",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1931,1939
Arabidopsis lyrata,Arabidopsis lyrata,current,Brassicaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove & fix,,,,,,,,,,"very questionable, but check",not in Jepson; east coast species; all 14 iNat in CA are needsID; probably Boechera davidsonii - need to look closer before Iding,,,
Arabidopsis thaliana,Arabidopsis thaliana,current,Brassicaceae,3.dicot,,introduced,,,1,1,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,2,,2,2009,"Taylor, Dean William",2010,,,,,,,,,in Symbiota,,,mid-elevation backcountry,,,"scattered observations throughout the US, but none in the Sierra except at very low elevations",,,,,,2009,2010
Arabis eschscholtziana,Arabis eschscholtziana,current,Brassicaceae,3.dicot,Arabis hirsuta var. glabrata,native,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1,1,,1907,"King, M Alice",1907,,,,,,,,,in Symbiota,,,Yosemite Valley,Taylor: 1907 voucher in Jepson,,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1998,1998
Arabis pycnocarpa,Arabis pycnocarpa,current,Brassicaceae,3.dicot,Arabis hirsuta var. pycnocarpa,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,1998,"Jelinek, Bradley",1998,,,,,,,,,in Symbiota,,,Yosemite Valley,CCH: 1 1998 voucher; but also problems with name matches so quite possibly more vouchers,,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1998,1998
Athysanus pusillus,Athysanus pusillus,current,Brassicaceae,3.dicot,,native,1,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,8,7,3,1911,"Abrams, Le Roy",2006,tmessick,4/27/2018,tmessick,4/27/2018,2018,2018,,,in Symbiota,,,,,,,,,,,,1911,2006
Barbarea orthoceras,Barbarea orthoceras,current,Brassicaceae,3.dicot,,native,2,10,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,22,16,13,1894,"Lembert, J. B.",2012,lizzywenk,6/15/2014,lizzywenk,6/16/2015,2014,2015,,,in Symbiota,,,,,,,,,,,,,
Barbarea vulgaris,Barbarea vulgaris,current,Brassicaceae,3.dicot,,introduced,,3,,1,,,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,2,1,2,1932,"Purer, Edith A.",2010,,,,,,,,,,,,Yosemite Valley,"CCH: 1 recent voucher from Yosemite Valley, then 2 old ones, 1883 & 1932",,,,,,,,1932,2010
Boechera arcuata,Boechera arcuata,current,Brassicaceae,3.dicot,Arabis sparsiflora var. arcuata,native,28,24,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,25,24,12,1866,"Bolander, Henry Nicholas",2007,miscellaneous_obs,4/21/2007,sara1300,6/29/2023,2007,2023,,,in Symbiota,,,,,,,,,,,,,
Boechera covillei,Boechera covillei,current,Brassicaceae,3.dicot,,native,,,,,,,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2010,"Taylor, Dean William",2010,,,,,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",,,,,
Boechera davidsonii,Boechera davidsonii,current,Brassicaceae,3.dicot,,native,1,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,10,8,3,1902,"Hall, Harvey Monroe",2007,lizzywenk,6/20/2022,lizzywenk,6/20/2022,2022,2022,,,in Symbiota,,,,,,,,,,,,,
Boechera depauperata,Boechera depauperata,current,Brassicaceae,3.dicot,Arabis lemmonii var. depauperata,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,12,9,11,1902,"Hall, Harvey Monroe",2011,,,,,,,,,in Symbiota,,,,"CCH2 - many recent vouchers, no old ones",,"eastern Sierra, especially non-granitic fellfields (Coyote, around Tioga) - so reasonable that it comes across around Mt. Dana",,,,,,,
Boechera divaricarpa,Boechera divaricarpa,current,Brassicaceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,3,2,3,1936,"Mason, Herbert L.",1999,,,,,,,,,in Symbiota,,,,"a few old vouchers - Dana (Sharsmith), Conness (Mason), one from 1999",,"mostly Washington state and northern Rockies, but 2 ""needs id"" in Sierra",,,,,,,
Boechera holboellii,Boechera holboellii,current,Brassicaceae,3.dicot,pre-split name,native,,1,,1,,synonym,synonym,synonym,1,1,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",10,6,5,1911,"Abrams, Le Roy",2021,,,,,,,,,,,,,"CCH: lots of vouchers, but many varieties have been separated off and looking at POWO based species Arabis holboellii now only is in Greenland; indeed all three subspecies in Yosemite now other species",,,,,,,taxonomic_mismatch-split,1923,2021
Boechera howellii,Boechera howellii,current,Brassicaceae,3.dicot,Arabis platysperma var. howellii,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,26,24,11,1890,"Congdon, Joseph Whipple",2011,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Boechera inyoensis,Boechera inyoensis,current,Brassicaceae,3.dicot,,native,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1,1,,1937,"Sharsmith, Carl W.",1937,,,,,,,,,in Symbiota,,,eastern boundary,Taylor: 2 Gaylor Lake vouchers; CCH: Sharsmith voucher from Gibbs,,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1937,1937
Boechera lemmonii,Boechera lemmonii,current,Brassicaceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,40,23,33,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",2021,,,,,,,,,in Symbiota,,,,"lots of CCH2 vouchers, old and recent, clustered around Tioga Pass",,"scattered throughout the Sierra; 1 needs ID from Dana; I have photos from Mount Dana, Virginia Lake, many places to south",,,,,,,
Boechera lemmonii drepanoloba,Boechera drepanoloba,current,Brassicaceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boechera lyallii,Boechera lyallii,current,Brassicaceae,3.dicot,,native,,3,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,19,13,17,1909,"Jepson, Willis L.",2007,,,,,,,,,in Symbiota,,,,CCH2: lots of vouchers,,,,,,,,,
Boechera paupercula,Boechera paupercula,current,Brassicaceae,3.dicot,Arabis lyallii var. nubigena,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,11,5,10,1933,"Sharsmith, Carl W.",2021,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Boechera pendulocarpa,Boechera pendulocarpa,current,Brassicaceae,3.dicot,Arabis holboellii var pendulocarpa,native,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",,,,,,,,,,,,,,,in Symbiota,,,no,"Taylor: vouchers from Mono Pass, Ledge Trail",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,N/A,N/A
Boechera perennans,Boechera perennans,current,Brassicaceae,3.dicot,,native,,3,,,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",7,7,,1883,"Congdon, Joseph Whipple",1936,,,,,,,,remove-unlikely on range,,,,,,,,,"add, found during search of CCH2 by locality name","clearly multiple species among the three observations, so at very least one of them is wrong. Check, but pretty confident all three are wrong",unlikely on range,,,
Boechera pinetorum,Boechera pinetorum,current,Brassicaceae,3.dicot,Arabis holboellii var. pinetorum,native,,1,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",13,11,4,1901,"Grant, George B.",2021,,,,,,,,,in Symbiota,,,various,CCH: many older vouchers and one from Taylor 2010 Sentinel Dome,,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1901,2021
Boechera platysperma,Boechera platysperma,current,Brassicaceae,3.dicot,Arabis platysperma var. platysperma,native,1,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,32,30,11,1860,"Bolander, Henry Nicholas",2007,tmessick,7/17/2018,tmessick,7/17/2018,2018,2018,,,in Symbiota,,,,CCH: lots old vouchers (possibly not all correct name) + 1 recent one from Marble Dome near Hoffmass,,,,,,,,,
Boechera pratincola,Boechera pratincola,current,Brassicaceae,3.dicot,,native,,,,,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,2,1,1911,"Jepson, Willis L.",1944,,,,,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",,,,,
Boechera rectissima,Boechera rectissima,current,Brassicaceae,3.dicot,Arabis rectissima var. rectissima,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,20,18,10,1860,"Bolander, Henry Nicholas",2007,,,,,,,,,in Symbiota,,,,"CCH: lots old vouchers (possibly not all correct name) +2 recent ones (Benson Lake metamorphics, above Foresta)",,,,,,,,,
Boechera retrofracta,Boechera retrofracta,current,Brassicaceae,3.dicot,Arabis holboellii var. retrofracta,native,,5,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,12,10,4,1888,"Congdon, Joseph Whipple",2021,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Boechera sparsiflora,Boechera sparsiflora,current,Brassicaceae,3.dicot,,native,2,1,,1,1,,1,1,1,1,1,,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,11,6,10,1895,"Blasdale, W. C.",2007,lizzywenk,6/11/2015,lizzywenk,4/20/2022,2015,2022,,,,,,,"species split by subspeies, although only other subspecies listedâ€¦",,,,,,,,,
Boechera stricta,Boechera stricta,current,Brassicaceae,3.dicot,Arabis drummondii,native,,4,1,1,,1,1,,1,1,1,valid needsID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,17,12,13,1929,"Michael, Enid",2021,,,,,,,,,in Symbiota,,,,"CCH: lots of old & recent vouchers from Gaylor Lakes, Dana, Virginia Cyn",,,,,,,,,
Boechera subpinnatifida,Boechera subpinnatifida,current,Brassicaceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",1,1,,1896,"Congdon, Joseph Whipple",1896,,,,,,,,,,,,,,,,,,,,,,
Boechera tularensis,Boechera tularensis,current,Brassicaceae,3.dicot,,native,,,,,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",2,2,,1915,"Abrams, Le Roy",1939,,,,,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",,,,,
Brassica nigra,Brassica nigra,current,Brassicaceae,3.dicot,,introduced,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2002,"Taylor, Dean William",2002,,,,,,,,,in Symbiota,,,Arch Rock,Taylor: voucher from El Portal,,wrong range-El Portal vouchers,,"add, found during search of CCH2 by locality name",,,,2002,2002
Brassica rapa,Brassica rapa,current,Brassicaceae,3.dicot,,introduced,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,1,2,1927,"Michael, Enid",2007,,,,,,,,,in Symbiota,,,"Yosemite Valley, Benson Lake",Taylor: 1927 voucher in YM; indicates species might now be absent; Benson Lake from Sky Island,,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1927,2007
Capsella bursa-pastoris,Capsella bursa-pastoris,current,Brassicaceae,3.dicot,,introduced,4,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,11,9,7,1900,"Bioletti, Frederick Theodore",2010,rangerwild,4/21/2020,joquigle,5/20/2023,2020,2023,,,in Symbiota,,,"Yosemite Valley, Merced Lake, Crane Flat, White Wolf",,,,,,,,,1900,2010
Cardamine breweri,Cardamine breweri,current,Brassicaceae,3.dicot,,native,,3,1,1,,1,1,,1,,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,3,3,1,1928,"Michael, Enid",1944,,,,,,,,,in Symbiota,,,,"CCH: 3 old Yosemite vouchers, Sharsmith and Michael from different locations",,,,,,,,,
Cardamine californica,Cardamine californica,current,Brassicaceae,3.dicot,,native,2,2,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,4,2,3,1924,"Howell, John Thomas",1998,debaraj,4/11/2017,tamjam,4/2/2022,2017,2022,,,in Symbiota,,,,,,,,,,,,,
Cardamine hirsuta,Cardamine hirsuta,current,Brassicaceae,3.dicot,,introduced,1,3,,,iNat-not-gbif,,,1,,,1,,"retain, restricted license","retain, but restricted license (new weed record)",XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,,restricted_license,,,CCH: 2 vouchers at much lower elevations; gbif: not a valid name; not in Taylor,valid weed records from Yosemite Valley,"Coast Range, San Joaquin Valley amd low elevation Sierra",,,,,taxonomic_mismatch-synonym,N/A,N/A
Cardamine nuttallii,Cardamine nuttallii,current,Brassicaceae,3.dicot,,native,,,,1,,,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,4,3,4,1903,"Congdon, Joseph Whipple",2009,,,,,,,,,,,"example of species I would have dismissed as ""taxonomic mismatch"" based on iNat range and age of vouchers, except that 1 recent voucher in the park.",Wawona,CCH: 3 Congdon vouchers from 1800's + 1 recent voucher from Taylor & Colwell,northern Coast Range into the Pacific Northwest,,,,,,,1903,2009
Cardamine nuttallii,Cardamine pachystigma,misapplied,Brassicaceae,3.dicot,misapplied to Cardamine nuttallii,native,,,1,,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",taxonomic or nomenclatural error,"remove, misapplied name",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,in Symbiota,,,,Taylor: misapplied to Cardamine nuttallii; iNat: north of Tahoe and generally at lower elevations; and some observations in low elevation SEKI that are all needsID,,,,,,,,,
Cardamine oligosperma,Cardamine oligosperma,current,Brassicaceae,3.dicot,,native,,1,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,1,3,1972,"Howell, John Thomas",2010,,,,,,,,,in Symbiota,,,"Yosemite Valley, Hetch Hetchy","CCH: only old voucher from 1972, but quite a few recent vouchers around Yosemite Valley and Poopenaut",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1972,2010
Caulanthus amplexicaulis,Caulanthus amplexicaulis,current,Brassicaceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,,1979,"Martinez, L.",1979,,,,,,,,,,,,,,,,,,,,,,
Descurainia californica,Descurainia californica,current,Brassicaceae,3.dicot,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",3,1,3,1901,"Evans, Herbert McLean",2010,,,,,,,,,in Symbiota,,,eastern boundary,Taylor: multiple Dana vouchers,,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1901,2010
Descurainia incana,Descurainia incana,current,Brassicaceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,7,4,5,1890,"Congdon, Joseph Whipple",2010,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Descurainia incisa,Descurainia incisa,current,Brassicaceae,3.dicot,,native,1,1,,1,1,,1,1,1,1,1,,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,9,6,6,1883,"Congdon, Joseph Whipple",2010,lizzywenk,7/10/2014,lizzywenk,7/10/2014,2014,2014,,,in Symbiota,,,,CCH: selection of old and recent vouchers scattered across the park,,all iNat are in the eastern high Sierra or the southern Sierra - not elsewhereâ€¦,,,,,,,
