accepted_name,scientific_name,taxonomic_status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,vouches_from_gbif_only,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,location_notes,notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,first_record-manual,last_record-manual
Asparagus officinalis,Asparagus officinalis,current,Asparagaceae,5.monocot-colorful,,introduced,1,,,,iNat-not-gbif,,,1,,,1,,"retain, restricted license","retain, but restricted license (new weed record)",XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,,restricted_license,,,CCH: no vouchers; not in Taylor; gbif: no vouchers; but valid 2022 observation in Yosemite Valley,valid 2022 observation in Yosemite Valley,,,,,,,N/A,N/A
Bloomeria crocea,Bloomeria crocea,current,Asparagaceae,5.monocot-colorful,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,,,https://www.inaturalist.org/observations/177833456,,pretty sure wrong ID,Triteleia montana,,,
Brodiaea elegans,Brodiaea elegans,current,Asparagaceae,5.monocot-colorful,Brodiaea coronaria var. mundula,native,93,63,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,33,32,11,1880,"Cleveland, Daniel",2007,angelpoe,5/28/2013,eamonn_mazur,8/31/2023,2013,2023,,,in Symbiota,,,,,,,,,,,,,
Brodiaea elegans,Brodiaea coronaria,synonym (pro parte),Asparagaceae,5.monocot-colorful,Brodiaea elegans (in part) - MARKED AS MISMATCH,native,1,9,,1,iNat-not-gbif,synonym,synonym,x,1,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,,,,angelpoe,5/28/2013,eamonn_mazur,8/31/2023,2013,2023,,,,restricted_license,,,"CCH: old vouchers only, but many; Taylor var. coronaria exists to north of area; presume here a taxonomic mismatch",,,,,,,taxonomic_mismatch,1891,1944
Camassia leichtlinii,Camassia leichtlinii,current,Asparagaceae,5.monocot-colorful,,native,1,2,,1,iNat-not-gbif,,1,1,1,,1,,"retain, restricted license","retain, but restricted license",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,18,18,7,1890,"Congdon, Joseph Whipple",1969,tgosliner,6/14/2013,tgosliner,6/14/2013,2013,2013,,,,restricted_license,,,"CCH: lots of Yosemite vouchers through 1969, then none; Taylor: not in Yosemite - southern limit of species in Mono Basin",,,,,,,,,
Camassia quamash,Camassia quamash,current,Asparagaceae,5.monocot-colorful,,native,11,1,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,19,19,9,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",1965,dawnendico,8/9/2005,thomastaylor1,8/17/2023,2005,2023,,,in Symbiota,,,,,,,,,,,,,
Chlorogalum pomeridianum,Chlorogalum pomeridianum,current,Asparagaceae,5.monocot-colorful,,native,44,9,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,7,7,3,1900,Cook; Reynolds,1944,alainakrakowiak,6/2/2015,julien9uwr,8/1/2023,2015,2023,,,in Symbiota,,,,,,,,,,,,,
Dichelostemma congestum,Dichelostemma congestum,current,Asparagaceae,5.monocot-colorful,,native,,,,1,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1,1,1,1924,"Lehenbauer, P.A.",1924,,,,,,,,,,,,,"several CCH2 vouchers, including a very recent one just outside park, but old vouchers all in small herbaria and these seem suspicious; not in Taylor",,,,,,,taxonomic_mismatch-suspect mismatch,,
Dichelostemma multiflorum,Dichelostemma multiflorum,current,Asparagaceae,5.monocot-colorful,,native,8,4,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,7,7,,1902,"Hall, Harvey Monroe",1982,tgosliner,6/13/2013,jerry171,6/24/2020,2013,2020,,,in Symbiota,,,,,,,,,,,,,
Dichelostemma volubile,Dichelostemma volubile,current,Asparagaceae,5.monocot-colorful,,native,13,1,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,9,9,5,1901,"Grant, George B.",1967,lizzywenk,6/15/2014,dgrimmphd,7/26/2023,2014,2023,,,in Symbiota,,,,,,,,,,,,,
Dipterostemon capitatus,Dipterostemon capitatus,current,Asparagaceae,5.monocot-colorful,Dichelostemma capitatum,native,51,35,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,7,6,2,1894,"Dudley, William R.",2006,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Dipterostemon capitatus,Dichelostemma capitatum,synonym,Asparagaceae,5.monocot-colorful,Dipterostemon capitatus,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maianthemum racemosum,Maianthemum racemosum,current,Asparagaceae,5.monocot-colorful,,native,122,6,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,30,30,10,1901,"Grant, George B.",1967,jonathanwitkop,6/7/2013,bjlmt,10/27/2023,2013,2023,,,in Symbiota,,,"Yosemite Valley, montane",,,,,,,,,1901,1967
Maianthemum stellatum,Maianthemum stellatum,current,Asparagaceae,5.monocot-colorful,,native,3,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,6,5,2,1902,"Bacon, Mrs. D. G.",2003,bbell,7/5/2019,garybill,6/9/2022,2019,2022,2003 in gbif,,in Symbiota,,,,,,,,,,,,1902,2003
Muscari armeniacum,Muscari armeniacum,current,Asparagaceae,5.monocot-colorful,,introduced,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,"add, needsID observation that likely correct",XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,new invasive,,,,,,,,,,"most likely wrong ID, but check",,,,
Triteleia crocea,Triteleia crocea,current,Asparagaceae,5.monocot-colorful,,out-of-range,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",,,,,,,,,,,,,,,,,,,"Single gbif observation, recent, but no photo, voucher, small herbarium (Boise State University, Snake River Plains Herbarium )",,far northern California species,https://www.gbif.org/occurrence/4068900149,,,,mis-identification,2006,2006
Triteleia dudleyi,Triteleia dudleyi,current,Asparagaceae,5.monocot-colorful,,native,1,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,4,3,4,1911,"Jepson, Willis L.",2009,aaron_echols,8/27/2019,aaron_echols,8/27/2019,2019,2019,,,in Symbiota,,,montane in southwest,,,,,,,,,1911,2009
Triteleia hyacinthina,Triteleia hyacinthina,current,Asparagaceae,5.monocot-colorful,,native,31,10,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,10,10,2,1902,"Hall, Harvey Monroe",1958,lizzywenk,6/17/2014,lizzywenk,7/4/2023,2014,2023,,,in Symbiota,,,"Mather, Achkerson, Wawona",,,,,,,,,1902,1958
