ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,
25,Anthriscus caucalis,1,531804,Anthriscus caucalis,1,species,,,NA,M.Bieb.,Apiaceae,Anthriscus,Anthriscus,1,caucalis,caucalis,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000538624,,Y,Accepted,Anthriscus caucalis,Anthriscus caucalis,M.Bieb.,531804,species,http://www.worldfloraonline.org/taxon/wfo-0000538624,,Apiaceae,1,1,wfo,0,
26,Cicuta douglasii,1,597180,Cicuta douglasii,1,species,,,NA,J.M.Coult. & Rose,Apiaceae,Cicuta,Cicuta,1,douglasii,douglasii,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000604479,,Y,Accepted,Cicuta douglasii,Anthriscus caucalis,J.M.Coult. & Rose,597180,species,http://www.worldfloraonline.org/taxon/wfo-0000604479,,Apiaceae,1,1,wfo,0,
27,Cymopterus cinerarius,1,625212,Cymopterus cinerarius,1,species,,,NA,A.Gray,Apiaceae,Cymopterus,Cymopterus,1,cinerarius,cinerarius,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000632628,,Y,Accepted,Cymopterus cinerarius,Cymopterus cinerarius,A.Gray,625212,species,http://www.worldfloraonline.org/taxon/wfo-0000632628,,Apiaceae,1,1,wfo,0,
28,Cymopterus terebinthinus var. californicus,1,625304,Cymopterus terebinthinus var. californicus,1,variety,,,NA,(J.M.Coult. & Rose) Jeps.,Apiaceae,Cymopterus,Cymopterus,1,terebinthinus,terebinthinus,1,,,NA,var.,californicus,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000632721,,Y,Synonym,Cymopterus terebinthinus var. albiflorus,Cymopterus terebinthinus,(Nutt.) M.E.Jones,625302,variety,http://www.worldfloraonline.org/taxon/wfo-0000632719,,Apiaceae,1,1,wfo,0,
29,Daucus pusillus,1,631179,Daucus pusillus,1,species,,,NA,Michx.,Apiaceae,Daucus,Daucus,1,pusillus,pusillus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000638630,,Y,Accepted,Daucus pusillus,Daucus pusillus,Michx.,631179,species,http://www.worldfloraonline.org/taxon/wfo-0000638630,,Apiaceae,1,1,wfo,0,
30,Foeniculum vulgare,1,683587,Foeniculum vulgare,1,species,,,NA,Mill.,Apiaceae,Foeniculum,Foeniculum,1,vulgare,vulgare,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000691487,,Y,Accepted,Foeniculum vulgare,Foeniculum vulgare,Mill.,683587,species,http://www.worldfloraonline.org/taxon/wfo-0000691487,,Apiaceae,1,1,wfo,0,
31,Heracleum lanatum,1,1053458,Heracleum lanatum,1,species,,,NA,( ex Michx.) Michx.,Apiaceae,Heracleum,Heracleum,1,lanatum,lanatum,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067676,,Y,Accepted,Heracleum lanatum,Heracleum lanatum,( ex Michx.) Michx.,1053458,species,http://www.worldfloraonline.org/taxon/wfo-0001067676,,Apiaceae,1,1,wfo,0,
32,Ligusticum grayi,1,1053614,Ligusticum grayi,1,species,,,NA,J.M.Coult. & Rose,Apiaceae,Ligusticum,Ligusticum,1,grayi,grayi,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067835,,Y,Accepted,Ligusticum grayi,Ligusticum grayi,J.M.Coult. & Rose,1053614,species,http://www.worldfloraonline.org/taxon/wfo-0001067835,,Apiaceae,1,1,wfo,0,
33,Lomatium congdonii,1,1053631,Lomatium congdonii,1,species,,,NA,J.M.Coult. & Rose,Apiaceae,Lomatium,Lomatium,1,congdonii,congdonii,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067852,,Y,Accepted,Lomatium congdonii,Lomatium congdonii,J.M.Coult. & Rose,1053631,species,http://www.worldfloraonline.org/taxon/wfo-0001067852,,Apiaceae,1,1,wfo,0,
34,Lomatium dissectum var. dissectum,1,1054092,Lomatium dissectum var. dissectum,1,variety,,,NA,,Apiaceae,Lomatium,Lomatium,1,dissectum,dissectum,1,,,NA,var.,dissectum,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001068323,,Y,Synonym,Lomatium dissectum,Lomatium dissectum,(Nutt.) Mathias & Constance,356866,species,http://www.worldfloraonline.org/taxon/wfo-0000362187,,Apiaceae,1,1,wfo,0,
