ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,
984,Verbena hastata,1,326752,Verbena hastata,1,species,,,NA,L.,Verbenaceae,Verbena,Verbena,1,hastata,hastata,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000331939,,Y,Accepted,Verbena hastata,Verbena hastata,L.,326752,species,http://www.worldfloraonline.org/taxon/wfo-0000331939,,Verbenaceae,1,1,wfo,0,
985,Verbena lasiostachys var. lasiostachys,1,1128487,Verbena lasiostachys var. lasiostachys,1,variety,,,NA,,Verbenaceae,Verbena,Verbena,1,lasiostachys,lasiostachys,1,,,NA,var.,lasiostachys,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001144347,,Y,Synonym,Verbena lasiostachys,Verbena lasiostachys,Link,326833,species,http://www.worldfloraonline.org/taxon/wfo-0000332020,,Verbenaceae,1,1,wfo,0,
986,Calycanthus occidentalis,1,574679,Calycanthus occidentalis,1,species,,,NA,Hook. & Arn.,Calycanthaceae,Calycanthus,Calycanthus,1,occidentalis,occidentalis,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000581824,,Y,Accepted,Calycanthus occidentalis,Calycanthus occidentalis,Hook. & Arn.,574679,species,http://www.worldfloraonline.org/taxon/wfo-0000581824,,Calycanthaceae,1,1,wfo,0,
987,Umbellularia californica,1,1056937,Umbellularia californica,1,species,,,NA,(Hook. & Arn.) Nutt.,Lauraceae,Umbellularia,Umbellularia,1,californica,californica,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001071259,,Y,Accepted,Umbellularia californica,Umbellularia californica,(Hook. & Arn.) Nutt.,1056937,species,http://www.worldfloraonline.org/taxon/wfo-0001071259,,Lauraceae,1,1,wfo,0,
988,Calochortus albus,1,754147,Calochortus albus,1,species,,,NA,Douglas ex Benth.,Liliaceae,Calochortus,Calochortus,1,albus,albus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000762656,,Y,Accepted,Calochortus albus,Calochortus albus,Douglas ex Benth.,754147,species,http://www.worldfloraonline.org/taxon/wfo-0000762656,,Liliaceae,1,1,wfo,0,
989,Calochortus invenustus,1,754228,Calochortus invenustus,1,species,,,NA,Greene,Liliaceae,Calochortus,Calochortus,1,invenustus,invenustus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000762738,,Y,Accepted,Calochortus invenustus,Calochortus invenustus,Greene,754228,species,http://www.worldfloraonline.org/taxon/wfo-0000762738,,Liliaceae,1,1,wfo,0,
990,Calochortus leichtlinii,1,754232,Calochortus leichtlinii,1,species,,,NA,Hook.f.,Liliaceae,Calochortus,Calochortus,1,leichtlinii,leichtlinii,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000762742,,Y,Accepted,Calochortus leichtlinii,Calochortus leichtlinii,Hook.f.,754232,species,http://www.worldfloraonline.org/taxon/wfo-0000762742,,Liliaceae,1,1,wfo,0,
991,Calochortus luteus,1,754237,Calochortus luteus,1,species,,,NA,Douglas ex Lindl.,Liliaceae,Calochortus,Calochortus,1,luteus,luteus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000762747,,Y,Accepted,Calochortus luteus,Calochortus luteus,Douglas ex Lindl.,754237,species,http://www.worldfloraonline.org/taxon/wfo-0000762747,,Liliaceae,1,1,wfo,0,
992,Calochortus minimus,1,754256,Calochortus minimus,1,species,,,NA,Ownbey,Liliaceae,Calochortus,Calochortus,1,minimus,minimus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000762766,,Y,Accepted,Calochortus minimus,Calochortus minimus,Ownbey,754256,species,http://www.worldfloraonline.org/taxon/wfo-0000762766,,Liliaceae,1,1,wfo,0,
993,Calochortus nudus,1,754267,Calochortus nudus,1,species,,,NA,S.Watson,Liliaceae,Calochortus,Calochortus,1,nudus,nudus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000762777,,Y,Accepted,Calochortus nudus,Calochortus nudus,S.Watson,754267,species,http://www.worldfloraonline.org/taxon/wfo-0000762777,,Liliaceae,1,1,wfo,0,
994,Calochortus superbus,1,754309,Calochortus superbus,1,species,,,NA,Purdy ex J.T.Howell,Liliaceae,Calochortus,Calochortus,1,superbus,superbus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000762819,,Y,Accepted,Calochortus superbus,Calochortus superbus,Purdy ex J.T.Howell,754309,species,http://www.worldfloraonline.org/taxon/wfo-0000762819,,Liliaceae,1,1,wfo,0,
995,Calochortus venustus,1,754322,Calochortus venustus,1,species,,,NA,Douglas ex Benth.,Liliaceae,Calochortus,Calochortus,1,venustus,venustus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000762832,,Y,Accepted,Calochortus venustus,Calochortus venustus,Douglas ex Benth.,754322,species,http://www.worldfloraonline.org/taxon/wfo-0000762832,,Liliaceae,1,1,wfo,0,
996,Calochortus vestae,1,754334,Calochortus vestae,1,species,,,NA,(Purdy) Wallace,Liliaceae,Calochortus,Calochortus,1,vestae,vestae,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000762844,,Y,Accepted,Calochortus vestae,Calochortus vestae,(Purdy) Wallace,754334,species,http://www.worldfloraonline.org/taxon/wfo-0000762844,,Liliaceae,1,1,wfo,0,
997,Clintonia uniflora,1,755241,Clintonia uniflora,1,species,,,NA,(Menzies ex Schult. & Schult.f.) Kunth,Liliaceae,Clintonia,Clintonia,1,uniflora,uniflora,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000763756,,Y,Accepted,Clintonia uniflora,Clintonia uniflora,(Menzies ex Schult. & Schult.f.) Kunth,755241,species,http://www.worldfloraonline.org/taxon/wfo-0000763756,,Liliaceae,1,1,wfo,0,
998,Disporum hookeri,1,757041,Disporum hookeri,1,species,,,NA,(Torr.) G.Nicholson,Liliaceae,Disporum,Disporum,1,hookeri,hookeri,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000765563,,Y,Synonym,Prosartes hookeri,Prosartes hookeri,Torr.,708634,species,http://www.worldfloraonline.org/taxon/wfo-0000716673,,Liliaceae,1,1,wfo,0,
999,Erythronium purpurascens,1,758430,Erythronium purpurascens,1,species,,,NA,S.Watson,Liliaceae,Erythronium,Erythronium,1,purpurascens,purpurascens,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000766967,,Y,Accepted,Erythronium purpurascens,Erythronium purpurascens,S.Watson,758430,species,http://www.worldfloraonline.org/taxon/wfo-0000766967,,Liliaceae,1,1,wfo,0,
1000,Fritillaria atropurpurea,1,759145,Fritillaria atropurpurea,1,species,,,NA,Nutt.,Liliaceae,Fritillaria,Fritillaria,1,atropurpurea,atropurpurea,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000767686,,Y,Accepted,Fritillaria atropurpurea,Fritillaria atropurpurea,Nutt.,759145,species,http://www.worldfloraonline.org/taxon/wfo-0000767686,,Liliaceae,1,1,wfo,0,
1001,Fritillaria micrantha,1,759412,Fritillaria micrantha,1,species,,,NA,A.Heller,Liliaceae,Fritillaria,Fritillaria,1,micrantha,micrantha,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000767956,,Y,Accepted,Fritillaria micrantha,Fritillaria micrantha,A.Heller,759412,species,http://www.worldfloraonline.org/taxon/wfo-0000767956,,Liliaceae,1,1,wfo,0,
1002,Fritillaria pinetorum,1,759470,Fritillaria pinetorum,1,species,,,NA,Davidson,Liliaceae,Fritillaria,Fritillaria,1,pinetorum,pinetorum,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000768014,,Y,Accepted,Fritillaria pinetorum,Fritillaria pinetorum,Davidson,759470,species,http://www.worldfloraonline.org/taxon/wfo-0000768014,,Liliaceae,1,1,wfo,0,
1003,Lilium parvum,1,669765,Lilium parvum,1,species,,,NA,Kellogg,Liliaceae,Lilium,Lilium,1,parvum,parvum,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000677563,,Y,Accepted,Lilium parvum,Lilium parvum,Kellogg,669765,species,http://www.worldfloraonline.org/taxon/wfo-0000677563,,Liliaceae,1,1,wfo,0,
1004,Lilium washingtonianum ssp. washingtonianum,1,764717,Lilium washingtonianum subsp. washingtonianum,1,subspecies,,,NA,,Liliaceae,Lilium,Lilium,1,washingtonianum,washingtonianum,1,,,NA,subsp.,washingtonianum,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000773286,,Y,Accepted,Lilium washingtonianum subsp. washingtonianum,Lilium washingtonianum,,764717,subspecies,http://www.worldfloraonline.org/taxon/wfo-0000773286,,Liliaceae,1,1,wfo,0,
1005,Trillium angustipetalum,1,742030,Trillium angustipetalum,1,species,,,NA,(Torr.) J.D.Freeman,Melanthiaceae,Trillium,Trillium,1,angustipetalum,angustipetalum,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000750367,,Y,Accepted,Trillium angustipetalum,Trillium angustipetalum,(Torr.) J.D.Freeman,742030,species,http://www.worldfloraonline.org/taxon/wfo-0000750367,,Melanthiaceae,1,1,wfo,0,
1006,Veratrum californicum var. californicum,1,764807,Veratrum californicum var. californicum,1,variety,,,NA,,Melanthiaceae,Veratrum,Veratrum,1,californicum,californicum,1,,,NA,var.,californicum,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000773376,,Y,Accepted,Veratrum californicum var. californicum,Veratrum californicum,,764807,variety,http://www.worldfloraonline.org/taxon/wfo-0000773376,,Melanthiaceae,1,1,wfo,0,
1007,Zigadenus exaltatus,1,744029,Zigadenus exaltatus,1,species,,,NA,Eastw.,Melanthiaceae,Zigadenus,Zigadenus,1,exaltatus,exaltatus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000752372,,Y,Synonym,Toxicoscordion exaltatum,Toxicoscordion exaltatum,(Eastw.) A.Heller,739195,species,http://www.worldfloraonline.org/taxon/wfo-0000747514,,Melanthiaceae,1,1,wfo,0,
1008,Zigadenus paniculatus,1,744005,Zigadenus paniculatus,1,species,,,NA,S.Watson,Melanthiaceae,Zigadenus,Zigadenus,1,paniculatus,paniculatus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000752348,,Y,Synonym,Toxicoscordion paniculatum,Toxicoscordion paniculatum,Rydb.,737835,species,http://www.worldfloraonline.org/taxon/wfo-0000746145,,Melanthiaceae,1,1,wfo,0,
1009,Zigadenus venenosus var. venenosus,0.599573844,745361,Zigadenus venenosus,0.599573844,species,,,NA,S.Watson,Melanthiaceae,Zigadenus,Zigadenus,1,venenosus,venenosus,1,,,NA,,,NA,,,NA,,var. venenosus,http://www.worldfloraonline.org/taxon/wfo-0000753708,,Y,Synonym,Toxicoscordion venenosum,Toxicoscordion venenosum,(S.Watson) Rydb.,737524,species,http://www.worldfloraonline.org/taxon/wfo-0000745833,,Melanthiaceae,1,1,wfo,1,
1010,Chamaesyce serpyllifolia,0.988505101,831612,Chamaesyce serpillifolia,0.988505101,species,,,NA,(Pers.) Small,Euphorbiaceae,Chamaesyce,Chamaesyce,1,serpyllifolia,serpillifolia,0.923076923,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000840428,,Y,Synonym,Euphorbia serpyllifolia,Euphorbia serpyllifolia,Pers.,955372,species,http://www.worldfloraonline.org/taxon/wfo-0000964713,,Euphorbiaceae,1,1,wfo,0,
1011,Chamaesyce serpyllifolia ssp. serpyllifolia,0.561396372,831612,Chamaesyce serpillifolia,0.561396372,species,,,NA,(Pers.) Small,Euphorbiaceae,Chamaesyce,Chamaesyce,1,serpyllifolia,serpillifolia,0.923076923,,,NA,,,NA,,,NA,,ssp. serpyllifolia,http://www.worldfloraonline.org/taxon/wfo-0000840428,,Y,Synonym,Euphorbia serpyllifolia,Euphorbia serpyllifolia,Pers.,955372,species,http://www.worldfloraonline.org/taxon/wfo-0000964713,,Euphorbiaceae,1,1,wfo,1,
1012,Eremocarpus setigerus,1,943222,Eremocarpus setigerus,1,species,,,NA,Benth.,Euphorbiaceae,Eremocarpus,Eremocarpus,1,setigerus,setigerus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000952552,,Y,Synonym,Croton setiger,Croton setiger,Hook.,1035720,species,http://www.worldfloraonline.org/taxon/wfo-0001049328,,Euphorbiaceae,1,1,wfo,0,
1013,Euphorbia crenulata,1,952208,Euphorbia crenulata,1,species,,,NA,Engelm.,Euphorbiaceae,Euphorbia,Euphorbia,1,crenulata,crenulata,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000961548,,Y,Accepted,Euphorbia crenulata,Euphorbia crenulata,Engelm.,952208,species,http://www.worldfloraonline.org/taxon/wfo-0000961548,,Euphorbiaceae,1,1,wfo,0,
1014,Hypericum anagalloides,1,1277581,Hypericum anagalloides,1,species,,,NA,Cham. & Schltdl.,Hypericaceae,Hypericum,Hypericum,1,anagalloides,anagalloides,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001295895,,Y,Accepted,Hypericum anagalloides,Hypericum anagalloides,Cham. & Schltdl.,1277581,species,http://www.worldfloraonline.org/taxon/wfo-0001295895,,Hypericaceae,1,1,wfo,0,
1015,Hypericum formosum var. scouleri,1,719543,Hypericum formosum var. scouleri,1,variety,,,NA,(Hook.) J.M.Coult.,Hypericaceae,Hypericum,Hypericum,1,formosum,formosum,1,,,NA,var.,scouleri,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000727647,,Y,Synonym,Hypericum scouleri,Hypericum scouleri,Hook.,720180,species,http://www.worldfloraonline.org/taxon/wfo-0000728288,,Hypericaceae,1,1,wfo,0,
1016,Hypericum perforatum,1,719987,Hypericum perforatum,1,species,,,NA,L.,Hypericaceae,Hypericum,Hypericum,1,perforatum,perforatum,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000728093,,Y,Accepted,Hypericum perforatum,Hypericum perforatum,L.,719987,species,http://www.worldfloraonline.org/taxon/wfo-0000728093,,Hypericaceae,1,1,wfo,0,
1017,Linum lewisii var. alpicola,1,1058986,Linum lewisii var. alpicola,1,variety,,,NA,Jeps.,Linaceae,Linum,Linum,1,lewisii,lewisii,1,,,NA,var.,alpicola,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001073470,,Y,Accepted,Linum lewisii var. alpicola,Linum lewisii,Jeps.,1058986,variety,http://www.worldfloraonline.org/taxon/wfo-0001073470,,Linaceae,1,1,wfo,0,
1018,Linum lewisii var. lewisii,1,1222482,Linum lewisii var. lewisii,1,variety,,,NA,,Linaceae,Linum,Linum,1,lewisii,lewisii,1,,,NA,var.,lewisii,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001239270,,Y,Synonym,Linum lewisii,Linum lewisii,Pursh,1058935,species,http://www.worldfloraonline.org/taxon/wfo-0001073419,,Linaceae,1,1,wfo,0,
1019,Sclerolinon digynum,1,1059001,Sclerolinon digynum,1,species,,,NA,(A.Gray) C.M.Rogers,Linaceae,Sclerolinon,Sclerolinon,1,digynum,digynum,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001073485,,Y,Synonym,Linum digynum,Linum digynum,A.Gray,1059016,species,http://www.worldfloraonline.org/taxon/wfo-0001073500,,Linaceae,1,1,wfo,0,
1020,Populus balsamifera ssp. trichocarpa,1,921401,Populus balsamifera subsp. trichocarpa,1,subspecies,,,NA,(Torr. & A.Gray) Brayshaw,Salicaceae,Populus,Populus,1,balsamifera,balsamifera,1,,,NA,subsp.,trichocarpa,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000930514,,Y,Synonym,Populus trichocarpa,Populus trichocarpa,Torr. & A.Gray ex Hook.,919149,species,http://www.worldfloraonline.org/taxon/wfo-0000928244,,Salicaceae,1,1,wfo,0,
1021,Populus fremontii ssp. fremontii,1,1204693,Populus fremontii subsp. fremontii,1,subspecies,,,NA,,Salicaceae,Populus,Populus,1,fremontii,fremontii,1,,,NA,subsp.,fremontii,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001221048,,Y,Synonym,Populus fremontii,Populus fremontii,S.Watson,919047,species,http://www.worldfloraonline.org/taxon/wfo-0000928140,,Salicaceae,1,1,wfo,0,
1022,Populus tremuloides,1,919165,Populus tremuloides,1,species,,,NA,Michx.,Salicaceae,Populus,Populus,1,tremuloides,tremuloides,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000928260,,Y,Accepted,Populus tremuloides,Populus tremuloides,Michx.,919165,species,http://www.worldfloraonline.org/taxon/wfo-0000928260,,Salicaceae,1,1,wfo,0,
1023,Salix arctica,1,919901,Salix arctica,1,species,,,NA,Pall.,Salicaceae,Salix,Salix,1,arctica,arctica,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000929004,,Y,Accepted,Salix arctica,Salix arctica,Pall.,919901,species,http://www.worldfloraonline.org/taxon/wfo-0000929004,,Salicaceae,1,1,wfo,0,
1024,Salix boothii,1,920120,Salix boothii,1,species,,,NA,Dorn,Salicaceae,Salix,Salix,1,boothii,boothii,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000929225,,Y,Accepted,Salix boothii,Salix boothii,Dorn,920120,species,http://www.worldfloraonline.org/taxon/wfo-0000929225,,Salicaceae,1,1,wfo,0,
1025,Salix brachycarpa ssp. brachycarpa,1,1117846,Salix brachycarpa subsp. brachycarpa,1,subspecies,,,NA,,Salicaceae,Salix,Salix,1,brachycarpa,brachycarpa,1,,,NA,subsp.,brachycarpa,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001133530,,Y,Synonym,Salix brachycarpa,Salix brachycarpa,Nutt.,920109,species,http://www.worldfloraonline.org/taxon/wfo-0000929214,,Salicaceae,1,1,wfo,0,
1026,Salix eastwoodiae,1,921442,Salix eastwoodiae,1,species,,,NA,Cockerell ex A.Heller,Salicaceae,Salix,Salix,1,eastwoodiae,eastwoodiae,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000930555,,Y,Accepted,Salix eastwoodiae,Salix eastwoodiae,Cockerell ex A.Heller,921442,species,http://www.worldfloraonline.org/taxon/wfo-0000930555,,Salicaceae,1,1,wfo,0,
1027,Salix exigua,1,919557,Salix exigua,1,species,,,NA,Nutt.,Salicaceae,Salix,Salix,1,exigua,exigua,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000928657,,Y,Accepted,Salix exigua,Salix exigua,Nutt.,919557,species,http://www.worldfloraonline.org/taxon/wfo-0000928657,,Salicaceae,1,1,wfo,0,
1028,Salix geyeriana,1,919330,Salix geyeriana,1,species,,,NA,Andersson,Salicaceae,Salix,Salix,1,geyeriana,geyeriana,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000928427,,Y,Accepted,Salix geyeriana,Salix geyeriana,Andersson,919330,species,http://www.worldfloraonline.org/taxon/wfo-0000928427,,Salicaceae,1,1,wfo,0,
1029,Salix jepsonii,1,919748,Salix jepsonii,1,species,,,NA,C.K.Schneid.,Salicaceae,Salix,Salix,1,jepsonii,jepsonii,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000928848,,Y,Accepted,Salix jepsonii,Salix jepsonii,C.K.Schneid.,919748,species,http://www.worldfloraonline.org/taxon/wfo-0000928848,,Salicaceae,1,1,wfo,0,
1030,Salix laevigata,1,919651,Salix laevigata,1,species,,,NA,Bebb,Salicaceae,Salix,Salix,1,laevigata,laevigata,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000928751,,Y,Accepted,Salix laevigata,Salix laevigata,Bebb,919651,species,http://www.worldfloraonline.org/taxon/wfo-0000928751,,Salicaceae,1,1,wfo,0,
1031,Salix lasiolepis,1,919642,Salix lasiolepis,1,species,,,NA,Benth.,Salicaceae,Salix,Salix,1,lasiolepis,lasiolepis,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000928742,,Y,Accepted,Salix lasiolepis,Salix lasiolepis,Benth.,919642,species,http://www.worldfloraonline.org/taxon/wfo-0000928742,,Salicaceae,1,1,wfo,0,
1032,Salix lemmonii,1,919661,Salix lemmonii,1,species,,,NA,Bebb,Salicaceae,Salix,Salix,1,lemmonii,lemmonii,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000928761,,Y,Accepted,Salix lemmonii,Salix lemmonii,Bebb,919661,species,http://www.worldfloraonline.org/taxon/wfo-0000928761,,Salicaceae,1,1,wfo,0,
1033,Salix ligulifolia,1,919613,Salix ligulifolia,1,species,,,NA,C.R.Ball ex C.K.Schneid.,Salicaceae,Salix,Salix,1,ligulifolia,ligulifolia,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000928713,,Y,Accepted,Salix ligulifolia,Salix ligulifolia,C.R.Ball ex C.K.Schneid.,919613,species,http://www.worldfloraonline.org/taxon/wfo-0000928713,,Salicaceae,1,1,wfo,0,
1034,Salix lucida ssp. lasiandra,1,920709,Salix lucida subsp. lasiandra,1,subspecies,,,NA,(Benth.) A.E.Murray,Salicaceae,Salix,Salix,1,lucida,lucida,1,,,NA,subsp.,lasiandra,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000929815,,Y,Synonym,Salix lasiandra,Salix lasiandra,Benth.,919639,species,http://www.worldfloraonline.org/taxon/wfo-0000928739,,Salicaceae,1,1,wfo,0,
1035,Salix lutea,1,921013,Salix lutea,1,species,,,NA,Nutt.,Salicaceae,Salix,Salix,1,lutea,lutea,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000930120,,Y,Accepted,Salix lutea,Salix lutea,Nutt.,921013,species,http://www.worldfloraonline.org/taxon/wfo-0000930120,,Salicaceae,1,1,wfo,0,
1036,Salix melanopsis,1,920960,Salix melanopsis,1,species,,,NA,Nutt.,Salicaceae,Salix,Salix,1,melanopsis,melanopsis,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000930067,,Y,Accepted,Salix melanopsis,Salix melanopsis,Nutt.,920960,species,http://www.worldfloraonline.org/taxon/wfo-0000930067,,Salicaceae,1,1,wfo,0,
1037,Salix orestera,1,920864,Salix orestera,1,species,,,NA,C.K.Schneid.,Salicaceae,Salix,Salix,1,orestera,orestera,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000929970,,Y,Accepted,Salix orestera,Salix orestera,C.K.Schneid.,920864,species,http://www.worldfloraonline.org/taxon/wfo-0000929970,,Salicaceae,1,1,wfo,0,
1038,Salix planifolia ssp. planifolia,1,1117849,Salix planifolia subsp. planifolia,1,subspecies,,,NA,,Salicaceae,Salix,Salix,1,planifolia,planifolia,1,,,NA,subsp.,planifolia,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001133533,,Y,Synonym,Salix planifolia,Salix planifolia,Pursh,920953,species,http://www.worldfloraonline.org/taxon/wfo-0000930060,,Salicaceae,1,1,wfo,0,
1039,Salix prolixa,1,921266,Salix prolixa,1,species,,,NA,Andersson,Salicaceae,Salix,Salix,1,prolixa,prolixa,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000930377,,Y,Accepted,Salix prolixa,Salix prolixa,Andersson,921266,species,http://www.worldfloraonline.org/taxon/wfo-0000930377,,Salicaceae,1,1,wfo,0,
1040,Salix reticulata ssp. nivalis,1,920303,Salix reticulata subsp. nivalis,1,subspecies,,,NA,"(Hook.) Ã.LÃ¶ve, D.LÃ¶ve & B.M.Kapoor",Salicaceae,Salix,Salix,1,reticulata,reticulata,1,,,NA,subsp.,nivalis,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000929409,,Y,Synonym,Salix nivalis,Salix nivalis,Hook.,920740,species,http://www.worldfloraonline.org/taxon/wfo-0000929846,,Salicaceae,1,1,wfo,0,
1041,Salix scouleriana,1,921178,Salix scouleriana,1,species,,,NA,Barratt,Salicaceae,Salix,Salix,1,scouleriana,scouleriana,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000930287,,Y,Accepted,Salix scouleriana,Salix scouleriana,Barratt,921178,species,http://www.worldfloraonline.org/taxon/wfo-0000930287,,Salicaceae,1,1,wfo,0,
1042,Viola adunca,1,1128553,Viola adunca,1,species,,,NA,Sm.,Violaceae,Viola,Viola,1,adunca,adunca,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001144419,,Y,Accepted,Viola adunca,Viola adunca,Sm.,1128553,species,http://www.worldfloraonline.org/taxon/wfo-0001144419,,Violaceae,1,1,wfo,0,
1043,Viola arvensis,1,420698,Viola arvensis,1,species,,,NA,Murray,Violaceae,Viola,Viola,1,arvensis,arvensis,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000426676,,Y,Accepted,Viola arvensis,Viola arvensis,Murray,420698,species,http://www.worldfloraonline.org/taxon/wfo-0000426676,,Violaceae,1,1,wfo,0,
1044,Viola bakeri,1,1128731,Viola bakeri,1,species,,,NA,Greene,Violaceae,Viola,Viola,1,bakeri,bakeri,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001144598,,Y,Accepted,Viola bakeri,Viola bakeri,Greene,1128731,species,http://www.worldfloraonline.org/taxon/wfo-0001144598,,Violaceae,1,1,wfo,0,
1045,Viola glabella,1,1128766,Viola glabella,1,species,,,NA,Nutt.,Violaceae,Viola,Viola,1,glabella,glabella,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001144633,,Y,Accepted,Viola glabella,Viola glabella,Nutt.,1128766,species,http://www.worldfloraonline.org/taxon/wfo-0001144633,,Violaceae,1,1,wfo,0,
1046,Viola lobata ssp. integrifolia,1,1332589,Viola lobata subsp. integrifolia,1,subspecies,,,NA,(S.Watson) R.J.Little,Violaceae,Viola,Viola,1,lobata,lobata,1,,,NA,subsp.,integrifolia,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001366286,,Y,Synonym,Viola lobata var. integrifolia,Viola lobata,S.Watson,1345776,variety,http://www.worldfloraonline.org/taxon/wfo-0001380097,,Violaceae,1,1,wfo,0,
