accepted_name,establishment_means,final_list,iNat_RG_END,voucher_END,old_voucher,recent_voucher,first_iNat,last_iNat,first_voucher,last_voucher,first_iNat_manual,last_iNat_manual,first_voucher_manual,last_voucher_manual,notes,count
Amaranthus albus,introduced,1,NA,1,NA,1,NA,NA,1998,2010,NA,NA,NA,NA,NA,NA
Amaranthus blitoides,native,1,NA,1,1,1,NA,NA,1911,1997,NA,NA,NA,NA,NA,NA
Amaranthus retroflexus,introduced,1,1,NA,NA,NA,2023,2023,NA,NA,NA,NA,NA,NA,NA,NA
Blitum nuttallianum,native,1,NA,1,1,1,NA,NA,1924,2010,NA,NA,NA,NA,NA,NA
Chenopodium album,introduced,1,NA,1,1,1,NA,NA,1926,2009,NA,NA,NA,NA,NA,NA
Chenopodium atrovirens,native,1,NA,1,1,1,NA,NA,1944,2010,NA,NA,NA,NA,NA,NA
Chenopodium desiccatum,native,1,NA,1,NA,1,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA
Chenopodium pratericola,native,1,NA,1,NA,1,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA
Dysphania botrys,introduced,1,1,1,1,1,2021,2022,1911,2009,NA,NA,NA,NA,NA,NA
Neomonolepis spathulata,native,1,NA,1,1,NA,NA,NA,1944,1944,NA,NA,NA,NA,NA,NA
Rhus aromatica,native,1,1,1,1,NA,2020,2022,1933,1944,NA,NA,NA,NA,NA,NA
Toxicodendron diversilobum,native,1,1,1,1,1,2015,2023,1939,2006,NA,NA,NA,NA,NA,NA
Angelica breweri,native,1,1,1,1,1,2020,2020,1909,2010,NA,NA,NA,NA,NA,NA
Angelica capitellata,native,1,1,1,1,NA,2012,2023,1889,1970,NA,NA,NA,NA,NA,NA
Angelica lineariloba,native,1,1,NA,NA,NA,2020,2020,NA,NA,NA,NA,NA,NA,NA,NA
Anthriscus caucalis,introduced,1,1,1,NA,1,2014,2022,1998,2009,NA,NA,NA,NA,NA,NA
Cicuta douglasii,native,1,NA,1,1,NA,NA,NA,1940,1940,NA,NA,NA,NA,NA,NA
Cymopterus terebinthinus,native,1,1,1,1,1,2014,2022,1909,2007,NA,NA,NA,NA,NA,NA
Daucus pusillus,native,1,NA,1,1,1,NA,NA,1911,2009,NA,NA,NA,NA,NA,NA
Foeniculum vulgare,introduced,1,NA,1,NA,1,NA,NA,1998,1998,NA,NA,NA,NA,NA,NA
Heracleum maximum,native,1,1,1,1,1,2010,2023,1911,2007,NA,NA,NA,NA,NA,NA
Ligusticum grayi,native,1,1,1,1,1,2012,2023,1866,2021,NA,NA,NA,NA,NA,NA
Lomatium dissectum,native,1,1,1,1,1,2019,2019,1866,2007,NA,NA,NA,NA,NA,NA
Lomatium macrocarpum,native,1,NA,1,1,NA,NA,NA,1911,1911,NA,NA,NA,NA,NA,NA
Lomatium nevadense,native,1,NA,1,1,NA,NA,NA,1897,1941,NA,NA,NA,NA,NA,NA
Lomatium torreyi,native,1,1,1,1,1,2019,2019,1896,2011,NA,NA,NA,NA,NA,NA
Lomatium utriculatum,native,1,1,1,1,NA,2018,2021,1911,1938,NA,NA,NA,NA,NA,NA
Osmorhiza berteroi,native,1,1,1,1,1,2020,2022,1910,2007,NA,NA,NA,NA,NA,NA
Osmorhiza brachypoda,native,1,1,1,1,NA,2016,2023,1902,1944,NA,NA,NA,NA,NA,NA
Osmorhiza occidentalis,native,1,1,1,1,1,2014,2014,1911,1993,NA,NA,NA,NA,NA,NA
Oxypolis occidentalis,native,1,NA,1,1,1,NA,NA,1895,2004,NA,NA,NA,NA,NA,NA
Perideridia bolanderi,native,1,1,1,1,1,2016,2016,1890,2009,NA,NA,NA,NA,NA,NA
Perideridia howellii,native,1,NA,1,1,NA,NA,NA,1896,1896,NA,NA,NA,NA,NA,NA
Perideridia lemmonii,native,1,NA,1,1,1,NA,NA,1911,2007,NA,NA,NA,NA,NA,NA
Perideridia parishii,native,1,1,1,1,1,2019,2022,1900,2021,NA,NA,NA,NA,NA,NA
Podistera nevadensis,native,1,1,1,1,1,2014,2023,1863,2016,NA,NA,NA,NA,NA,NA
Sanicula bipinnata,native,1,1,NA,NA,NA,2021,2021,NA,NA,NA,NA,NA,NA,NA,NA
Sanicula bipinnatifida,native,1,NA,1,1,NA,NA,NA,1924,1924,NA,NA,NA,NA,NA,NA
Sanicula graveolens,native,1,NA,1,1,1,NA,NA,1888,2005,NA,NA,NA,NA,NA,NA
Sanicula tuberosa,native,1,1,1,1,1,2015,2016,1924,2006,NA,NA,NA,NA,NA,NA
Torilis arvensis,introduced,1,1,1,NA,1,2016,2016,2009,2009,NA,NA,NA,NA,NA,NA
Torilis nodosa,introduced,1,NA,1,NA,1,NA,NA,2003,2005,NA,NA,NA,NA,NA,NA
