accepted_name,family,broader,establishment_means,taxonID,park_list,voucher_exists,iNat_RG_record_exists
Angelica capitellata,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/704166,1,1,1
Angelica lineariloba,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/75452,1,,1
Anthriscus caucalis,Apiaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/52846,1,1,1
Cicuta douglasii,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/76338,1,1,
Cymopterus cinerarius,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/76571,1,,
Cymopterus terebinthinus,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/76579,1,1,1
Daucus pusillus,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/56726,1,1,
Foeniculum vulgare,Apiaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/53052,1,1,
Heracleum maximum,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/53094,1,1,1
Ligusticum grayi,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/77738,1,1,1
Lomatium dissectum,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/77805,1,1,1
Lomatium macrocarpum,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/56826,1,1,
Lomatium nevadense,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/77817,1,1,
Lomatium torreyi,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/77828,1,1,1
Lomatium utriculatum,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/56827,1,1,1
Osmorhiza berteroi,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/53166,1,1,1
Osmorhiza brachypoda,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/58793,1,1,1
Osmorhiza occidentalis,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/78295,1,1,1
Oxypolis occidentalis,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/78304,1,1,
Perideridia bolanderi,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/78433,1,1,1
Perideridia howellii,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/78435,1,1,
Perideridia lemmonii,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/78436,1,1,
