accepted_name,scientific_name,taxonomic_status,family,broader,synonymy_notes,establishment_means,taxonID,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,iNat_needsID_only,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,first_voucher_collector,first_iNat_observer,last_iNat_observer,year_first_iNat,year_last_iNat,vouchers_from_gbif_only,iNat_needs_ID_only_verdict,Symbiota,iNat_missing_in_gbif,use_as_example,voucher_parklist_notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needsID_only_notes,iNat_needsID_only_notes2,taxonomic_concerns,synonyms_from_CCH
Navarretia divaricata,Navarretia divaricata,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/52941,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,13,12,11,1866,2009,,,"Bolander, Henry Nicholas",,,,,,,in Symbiota,,,scattered old vouchers from Yosemite; several new ones from just outside the park; but no recent vouchers in the park,,"many Sierra observations just north of Yosemite, but also observations to south",,,,,,Navarretia divaricata ssp. divaricata; Navarretia divaricata subsp. divaricata; Navarretia divaricata subsp. vividior
Navarretia intertexta,Navarretia intertexta,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/60225,,,1,,,1,1,1,1,,1,,databasing discrepancy,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,2,1,1943,1961,,,"Sharsmith, Carl W.",,,2017,2019,,,in Symbiota,,,iNat: many RG just west of park near Ackerson Mdw; Taylor: no vouchers in park,,Ackerson Meadow,,"add, found during search of CCH2 for species in iNat, parks list",,,,Navarretia intertexta ssp. intertexta; Navarretia intertexta subsp. intertexta
Navarretia leptalea,Navarretia leptalea,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/78183,28,32,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,60,60,37,1866,1972,7/15/2009,8/3/2023,"Bolander, Henry Nicholas",johnnysap,disco___very,2009,2023,,,in Symbiota,,,,,,,,,,,Collomia leptalea; Gilia leptalea; Gilia leptalea ssp. bicolor; Gilia leptalea ssp. leptalea; Gilia leptalea subsp. bicolor; Gilia leptalea subsp. leptalea; Navarretia leptalea bicolor; Navarretia leptalea subsp. bicolor; Navarretia leptalea subsp. leptalea; Navarretia leptalea var. leptalea
Navarretia linearifolia,Navarretia linearifolia,accepted,Polemoniaceae,3.dicot,Navarretia sinistra subsp. pinnatisecta,native,https://www.inaturalist.org/taxa/843637,,,,1,,,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1,,1,2009,2009,,,"Taylor, Dean William",,,,,,,,,,CCH: no vouchers; gbif: 1 voucher from Colwell & Taylor near Johnson Lake,,,https://www.gbif.org/occurrence/2430219580,,,,,Navarretia sinistra subsp. pinnatisecta
Navarretia modocensis,Navarretia modocensis,accepted,Polemoniaceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/843642,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,1,,,,,"Mason, Herbert L.",,,,,,,,,,,,,,,,,,
Navarretia viscidula,Navarretia viscidula,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/78195,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,1,1,1901,1901,,,"Grant, George B.",,,,,,,,,questionable,"iNat: Coast Range and lower elevation foothills; Taylor: multiple Yosemite vouchers; something wrong, because 1 unlikely old voucher in CCH with no coord, nothing in gbif",,Yosemite Valley,,"add, found during search of CCH2 for species in iNat, parks list",,,,
Navarretia vividior,Navarretia vividior,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/843628,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1,1,1,1941,1941,,,"Mason, Herbert L.",,,,,,,,,,"1 CCH2 voucher from Miguel Mdw 1940's, but ID determined in 2016",,"most observations from NW California, with one observation from near Grass Valley",https://www.cch2.org/portal/collections/individual/index.php?occid=1310613&clid=0,,,,,Navarretia divaricata ssp. vividior
Phlox condensata,Phlox condensata,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/52151,6,9,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,12,8,10,1902,2012,7/12/2020,9/14/2023,"Hall, Harvey Monroe",jennfields,rdwoodruff,2020,2023,,,in Symbiota,,,,,,,,,,,Phlox covillei
Phlox condensata,Phlox caespitosa,synonym,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/52151,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,6,6,5,1902,2012,7/12/2020,9/14/2023,"Congdon, Joseph Whipple",jennfields,rdwoodruff,2020,2023,,,in Symbiota,,,"iNat: Washington, Idaho, into Canada; Taylor: no mention",,,,,,,,
Phlox diffusa,Phlox diffusa,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/78544,165,97,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,45,40,28,1872,2011,6/11/2008,9/7/2023,"Gray, Asa",charadrius,okisutch99,2008,2023,,,in Symbiota,,,,,,,,,,,Phlox diffusa subsp. diffusa; Phlox douglasii; Phlox douglasii subsp. rigida
Phlox diffusa,Phlox douglasii,misapplied,Polemoniaceae,3.dicot,misapplied to Phlox diffusa,N/A,https://www.inaturalist.org/taxa/78544,,,,1,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, misapplied name",,,,1872,2011,6/11/2008,9/7/2023,,charadrius,okisutch99,2008,2023,,,,,,,,,,,,,,
Phlox hoodii,Phlox hoodii,accepted,Polemoniaceae,3.dicot,,out-of-range,https://www.inaturalist.org/taxa/78548,,1,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",2,2,2,,,,,"Roos, John C.",,,,,,,,,,"2 CCH vouchers, 1975 Tuolumne; 1942 top of Half Dome; Taylor: species present in Mono Basin in specialised habitats (dry, travertine); vouchers are both very unlikely locations",,,,,,,,Phlox hoodii subsp. canescens
Phlox pulvinata,Phlox pulvinata,accepted,Polemoniaceae,3.dicot,maybe all misapplied,native,https://www.inaturalist.org/taxa/78550,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,2,2,1935,2012,,,"Keck, David D.",,,,,,,in Symbiota,,,"iNat: Great Basin and northern Rockies; a few observations around Yosemite, but these are being relabeled with other names slowly",,only recent,,"add, found during search of CCH2 for species in iNat, parks list",,,,
Phlox speciosa,Phlox speciosa,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/78551,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,2,2,1,1880,1897,,,"Cleveland, Daniel",,,,,,,,,,"1 gbif voucher odd - from Tuolumne Grove, but that is plausible given recent photos",,"Sierra foothills species, with iNat observations just outside Hodgdon Meadow entrance",https://www.gbif.org/occurrence/3125085406,,,,,Phlox speciosa ssp. occidentalis
Polemonium californicum,Polemonium californicum,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/67525,40,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,28,27,16,1863,2007,8/19/2011,9/2/2023,"Brewer, William Henry",lizzywenk,lolaguthrie,2011,2023,,,in Symbiota,,,,,,,,,,,
Polemonium eximium,Polemonium eximium,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/48931,50,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,37,35,30,1863,2012,8/4/2015,9/4/2023,"Brewer, William Henry",leef,chloe_and_trevor,2015,2023,,,in Symbiota,,,,,,,,,,,
Polemonium occidentale,Polemonium occidentale,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/78667,1,,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,5,5,3,1891,1972,9/11/2023,9/11/2023,"Dodd, Mrs. [initials confusing]",ljfilgas,ljfilgas,2023,2023,,,in Symbiota,,,"CCH: Tuolumne Meadows voucher, same location as 1 iNat",,,,,,,,Polemonium occidentale subsp. occidentale
Polemonium pulcherrimum,Polemonium pulcherrimum,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/78668,9,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,21,20,12,1889,2005,7/14/2014,7/3/2022,"Chesnut, Victor K.; ; Drew, Elmer R.",twillrichardson,lizzywenk,2014,2022,,,in Symbiota,,,,,,,,,,,Polemonium caeruleum; Polemonium pulcherimum; Polemonium pulcherrimum subsp. pulcherrimum; Polemonium pulcherrimum var. pulcherrimum
Polemonium pulcherrimum,Polemonium caeruleum,synonym,Polemoniaceae,3.dicot,Polemonium caeruleum var. pulcherrimum,out-of-range,https://www.inaturalist.org/taxa/78668,,,,1,,synonym,synonym,synonym,1,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,1889,2005,7/14/2014,7/3/2022,,twillrichardson,lizzywenk,2014,2022,,,,,,"iNat: northern species, scattered around the Canadian border; not in Taylor; 1 CCH voucher: Shevock, 1972, San Diego Natural History Museum (SD), Tuolumne campground; probably: ""Polemonium caeruleum var. pulcherrimum"" which was synonym for ""Polemonium pulcherrimum1 gbif voucher odd - from Tuolumne Grove, but that is plausible given recent photos - and that species is known from Cockscomb area",,,,,,,taxonomic_mismatch-synonym,
Polemonium viscosum,Polemonium viscosum,accepted,Polemoniaceae,3.dicot,,out-of-range,https://www.inaturalist.org/taxa/126220,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, untraced taxonomic error",,,,,,,,,,,,,gbif_vouchers_only,,,,,"iNat: Rocky Mtn species; one 1800's voucher from Tuolumne, initially as Polemonium confertum; collector = Chestnut",,,https://www.gbif.org/occurrence/4507464349,,,,taxonomic_mismatch-1800's_voucher,
Rhinotropis cornuta,Rhinotropis cornuta,accepted,Polygalaceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/877109,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",1,1,,,,,,"Eastwood, Alice",,,,,,,,,,,,,,,,,,Polygala cornuta var. cornuta
Aconogonon alaskanum,Aconogonon alaskanum,accepted,Polygonaceae,3.dicot,,N/A,,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",3,3,,,,,,"Eastwood, Alice",,,,,,,,,,,,,,,,,,
Bistorta bistortoides,Bistorta bistortoides,accepted,Polygonaceae,3.dicot,Polygonum bistortoides,native,https://www.inaturalist.org/taxa/75770,79,30,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,60,57,24,1863,2007,7/20/2005,9/28/2023,"Brewer, William Henry",dawnendico,charlescrussell,2005,2023,,,in Symbiota,,,,,,,,,,,Polygonum bistortoides
Bistorta bistortoides,Polygonum bistortoides,synonym,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/75770,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,1863,2007,7/20/2005,9/28/2023,,dawnendico,charlescrussell,2005,2023,,,,,,,,,,,,,,
Chorizanthe membranacea,Chorizanthe membranacea,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/58260,5,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,5,4,4,1883,2005,5/25/2015,6/4/2022,"Congdon, Joseph Whipple",adamschneider,rangerwild,2015,2022,,,in Symbiota,,,,,,,,,,,
Eriogonum caespitosum,Eriogonum caespitosum,accepted,Polygonaceae,3.dicot,,,https://www.inaturalist.org/taxa/76970,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove-fixed,,,,,,eastern Sierra in select locations,https://www.inaturalist.org/observations/124350078,,"almost 100% certainly a misID, was a CV suggestion from two years ago. Is still one of the CV suggestions but not top one",Eriogonum incanum,,
Eriogonum deflexum,Eriogonum deflexum,accepted,Polygonaceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/76981,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,gbif_vouchers_only,,,,,"no CCH2, 1 gbif referencing ""Big Maria Mountains, 12 airline miles north of downtown Blythe. """,,"throughout southeastern California, but also southern Sierra, Owens Valley, and the eastern Sierra",https://www.gbif.org/occurrence/1927839219,,,,,
Eriogonum elatum,Eriogonum elatum,accepted,Polygonaceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/76986,1,,,,1,,,x,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,,,,"1 RG observation near Hetch Hetchy, should be Eriogonum nudum; Erogonum elatum is an eastside species; haven't yet correct (Eriogonum elatum ; https://www.inaturalist.org/observations/117398081)",,,,,,,
Eriogonum elongatum,Eriogonum elongatum,accepted,Polygonaceae,3.dicot,,,https://www.inaturalist.org/taxa/58271,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,Coast Range,,,wrong ID,"wrong, but not sure which species",,
Eriogonum gracile,Eriogonum gracile,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/59238,,4,,,,,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2009,2009,,,"Smith, Sierra",,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",maybe,"almost certainly a different Eriogonum, but can't ID",,
Eriogonum hirtiflorum,Eriogonum hirtiflorum,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/76996,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",2,2,,1907,1923,,,"Eastwood, Alice",,,,,,,in Symbiota,,,"CCH, Taylor: 1 1907 voucher",,"Hetch Hetchy, South Fork Tuolumne",,"add, found during search of CCH2 for species in iNat, parks list",,,,
Eriogonum incanum,Eriogonum incanum,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/62680,61,72,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,78,77,48,1863,2009,8/6/2010,9/24/2023,"Brewer, William Henry",matsonburger,tombomb,2010,2023,,,in Symbiota,,,,,,,,,,,Eriogonum incanuum
Eriogonum kennedyi,Eriogonum kennedyi,accepted,Polygonaceae,3.dicot,,,https://www.inaturalist.org/taxa/77002,,6,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,,,,"maybe, but seems likely a different species same genus. Check just in case",almost certainly all Eriogonum wrightii,,
Eriogonum lobbii,Eriogonum lobbii,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/77005,25,27,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,35,34,18,1887,2011,7/27/2012,8/26/2023,"Drew, Elmer R.",lizzywenk,bfeuss,2012,2023,,,in Symbiota,,,,,,,,,,,Eriogonum lobbii var. lobbii
Eriogonum luteolum,Eriogonum luteolum,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/64270,,2,,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,XX-iNat needs ID only,1,1,,,,,,"Reveal, James L.",,,,,,remove,,,,,,,,,"maybe legit, maybe different species same genus","changed 1 to Eriogonum wrightii; another is almost certainly Eriogonum nudum, but no flowers",,Eriogonum luteolum var. luteolum
Eriogonum marifolium,Eriogonum marifolium,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/62679,,3,1,1,,1,1,,1,,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,6,6,4,1911,1987,,,"Jepson, Willis L.",,,,,,,in Symbiota,,,"CCH: a number of vouchers from NW Yosemite. Don't think any iNat in Yosemite correct, but 2 good ones in SW Emigrant near border",,,,,,,,
Eriogonum microtheca,Eriogonum microtheca,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/1286621,1,2,,,1,,,1,,,1,,retain exact name,retain exact name (new native record),XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,2021,2021,,,,,,"CCH: collection of vouchers right at Sonora Pass, but nothing closer; gbif: lots of eastern Sierra vouchers right to the crest; 1 1929 voucher from Tioga Pass, at crest",,,,,,,,
Eriogonum nudum,Eriogonum nudum,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/53046,104,99,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,82,67,47,1863,1863,7/7/2015,11/24/2023,"Brewer, William Henry",charlie,plbuttercup,2015,2023,,,in Symbiota,,,,,,,,,,,Eriogonum latifolium subsp. nudum; Eriogonum nudum var. deductum; Eriogonum nudum var. nudum; Eriogonum nudum var. pauciflorum; Eriogonum nudum var. pubiflorum; Eriogonum nudum var. scapigerum
Eriogonum ovalifolium,Eriogonum ovalifolium,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/48938,32,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,45,41,33,1875,2011,8/13/2011,10/7/2023,"McLean, F. P.",cypseloides,bugsoundsjc,2011,2023,,,in Symbiota,,,,,,,,,,,Eriogonum ovalifolium var. caelestinum; Eriogonum ovalifolium var. nivale
Eriogonum prattenianum,Eriogonum prattenianum,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/77023,,1,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,2,3,1909,2010,,,"Jepson, Willis L.",,,,,,,in Symbiota,,,"CCH: 1 Taylor, 1 Jepson voucher from Merced River Canyon upstream of LYV-Merced Lake",,remote montane,,"add, found during search of CCH2 for species in iNat, parks list",,,,Eriogonum prattenianum var. avium; Eriogonum prattenianum var. prattenianum
Eriogonum rosense,Eriogonum rosense,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/77028,1,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,6,2,6,1937,2012,7/30/2021,7/30/2021,"Sharsmith, Carl W.",annienzelll,annienzelll,2021,2021,,,in Symbiota,,,,,,,,,,,Eriogonum rosense var. rosense
Eriogonum roseum,Eriogonum roseum,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/58280,1,1,1,1,iNat-not-gbif,1,1,1,1,,1,,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,34,34,18,1866,1982,9/6/2021,9/6/2021,"Bolander, Henry Nicholas",rangerwild,rangerwild,2021,2021,,,in Symbiota,restricted_license,,CCH: many old vouchers; + 1 reliable iNat observation,,,,,,,,
Eriogonum spergulinum,Eriogonum spergulinum,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/60512,4,8,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,57,54,27,1866,2021,7/18/2009,7/29/2023,"Bolander, Henry Nicholas",tomhilton,naturesarchive,2009,2023,,,in Symbiota,,,,,,,,,,,Eriogonum spergulinum subsp. reddingianum; Eriogonum spergulinum var. reddingianum; Eriogonum spergulinum var. spergulinum
Eriogonum trichopes,Eriogonum trichopes,accepted,Polygonaceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/58282,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,gbif_vouchers_only,,,,,"CCH: no vouchers; gbif: ""Big Maria Mountains, 12 airline miles north of downtown Blythe. """,,,https://www.gbif.org/occurrence/1928830609,,,,,
Eriogonum umbellatum,Eriogonum umbellatum,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/77040,57,32,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,45,40,26,1866,2021,8/11/2009,9/27/2023,"Bolander, Henry Nicholas",charadrius,matthew1905,2009,2023,,,in Symbiota,,,,,,,,,,,Eriogonum umbellatum furcosum; Eriogonum umbellatum subsp. stellatum; Eriogonum umbellatum var. covillei; Eriogonum umbellatum var. ellipticum; Eriogonum umbellatum var. furcosum; Eriogonum umbellatum var. nevadense
Eriogonum wrightii,Eriogonum wrightii,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/59243,17,27,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,46,44,26,1872,2008,9/23/2017,10/22/2023,"Redfield, John H.",coreyjlange,mlmeadowlark,2017,2023,,,in Symbiota,,,,,,,,,,,Eriogonum wrightii subsp. subscaposum; Eriogonum wrightii subsp. trachygonum; Eriogonum wrightii var. pinorum; Eriogonum wrightii var. subscaposum; Eriogonum wrightii var. trachygonum
Fallopia convolvulus,Fallopia convolvulus,accepted,Polygonaceae,3.dicot,Polygonum convolvulus,native,https://www.inaturalist.org/taxa/77129,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,8,7,6,1888,1998,,,"Congdon, Joseph Whipple",,,,,,,in Symbiota,,,,,,,,,,,Polygonum convolvulus
Koenigia phytolaccifolia,Koenigia phytolaccifolia,accepted,Polygonaceae,3.dicot,Polygonum phytolaccifolium,native,https://www.inaturalist.org/taxa/768201,3,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,16,13,8,1889,2007,,,"Congdon, Joseph Whipple",,,2014,2020,,,in Symbiota,,,,,,,,,,,Aconogonon phytolaccifolium; Polygonum phytolaccaefolium; Polygonum phytolaccifolium
Oxyria digyna,Oxyria digyna,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/67591,31,,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,29,29,18,1889,1979,8/31/2009,9/17/2023,"Chesnut, Victor K.; ; Drew, Elmer R.",johnnysap,allegrag14,2009,2023,,,in Symbiota,,,,,,,,,,,
Oxytheca perfoliata,Oxytheca perfoliata,accepted,Polygonaceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/78307,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,,,,,,"Karlin, Sol A.",,,,,,,,,,,,,,,,,,
Persicaria amphibia,Persicaria amphibia,accepted,Polygonaceae,3.dicot,,native,https://www.inaturalist.org/taxa/78450,1,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,11,8,6,1899,2007,7/29/2019,7/29/2019,"Congdon, Joseph Whipple",silversea_starsong,silversea_starsong,2019,2019,,,in Symbiota,,,"CCH: lots of recent vouchers, some older vouchers",,,,,,,,Polygonum amphibium; Polygonum amphibium var. emersum; Polygonum amphibium var. stipulaceum
Persicaria hydropiper,Persicaria hydropiper,accepted,Polygonaceae,3.dicot,,introduced,https://www.inaturalist.org/taxa/78452,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,,2,1997,2006,,,"Taylor, Dean William",,,,,,,in Symbiota,,,"CCH, Taylor: old and new vouchers, from several locations including Poopenaut Valley, Yosemite Valley",,"Yosemite Valley, Hetch Hetcy",,"add, found during search of CCH2 for species in iNat, parks list",,,,Polygonum hydropiper
