accepted_name,scientific_name,taxonomic_status,family,broader,synonymy_notes,establishment_means,taxonID,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,iNat_needsID_only,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,first_voucher_collector,first_iNat_observer,last_iNat_observer,year_first_iNat,year_last_iNat,vouchers_from_gbif_only,iNat_needs_ID_only_verdict,Symbiota,iNat_missing_in_gbif,use_as_example,voucher_parklist_notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needsID_only_notes,iNat_needsID_only_notes2,taxonomic_concerns,synonyms_from_CCH
Allophyllum gilioides,Allophyllum gilioides,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/51099,5,15,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,10,9,5,1894,2006,5/30/2019,6/19/2022,"Burnham, Stewart H.",manidae,wghembree,2019,2022,,,in Symbiota,,,,,,,,,,,Allophyllum gilioides ssp. gilioides; Allophyllum gilioides ssp. violaceum; Allophyllum gilioides subsp. gilioides; Allophyllum gilioides subsp. violaceum
Allophyllum glutinosum,Allophyllum glutinosum,accepted,Polemoniaceae,3.dicot,,out-of-range,https://www.inaturalist.org/taxa/75373,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, untraced taxonomic error",2,2,1,,,,,"Gray, Asa",,,,,,,,,,"iNat: southern Coast Range; 3 vouchers, all pre-1940 (Miguel Mdw, Yos Valley) - have actually gone searching for splits, but nothing found",,,,,,,taxonomic_mismatch-wrong something,
Allophyllum integrifolium,Allophyllum integrifolium,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/75374,4,2,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,14,13,11,1900,2009,6/3/2015,6/9/2021,"Bioletti, Frederick Theodore",lizzywenk,mylan,2015,2021,,,in Symbiota,,,,,,,,,,,
Collomia grandiflora,Collomia grandiflora,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/61871,119,16,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,19,18,12,1866,2014,6/23/2011,8/5/2023,"Bolander, Henry Nicholas",jerry171,biobabbler,2011,2023,,,in Symbiota,,,,,,,,,,,
Collomia heterophylla,Collomia heterophylla,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/52996,7,4,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,4,3,2,1936,2014,5/22/2016,6/8/2022,"Haines, A. Lee",lmazzu,kkellman,2016,2022,,,in Symbiota,,,,,,,,,,,
Collomia linearis,Collomia linearis,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/76416,3,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,13,12,9,1860,2007,7/7/2016,7/13/2020,"Bolander, Henry Nicholas",lizzywenk,calochortus_goff,2016,2020,,,in Symbiota,,,,,,,,,,,
Collomia tinctoria,Collomia tinctoria,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/76419,,,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,in Symbiota,,,"iNat: observations east of crest and north of Yosemite; Taylor: no vouchers in park, but wording suggests it could exist; closest iNat in Emigrant",,wrong range-east&north of park,,,,,,
Eriastrum pluriflorum,Eriastrum pluriflorum,accepted,Polemoniaceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/58239,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",1,1,1,,,,,"Dodd, Mrs. [initials confusing]",,,,,,,,,,,,,,,,,,
Eriastrum sparsiflorum,Eriastrum sparsiflorum,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/76874,,,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",geographic error,"remove, species range far from park",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,in Symbiota,,,"iNat: around Bodie; Owens Valley; Taylor: no mention, except as misapplied; ignoring Botti's record below Foresta, as no other west-side observations",,wrong range-east of park,,,,,,
Eriastrum wilcoxii,Eriastrum wilcoxii,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/76876,1,,,,1,,,x,,,,,geographic error,"remove, coordinates erroneously inside protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,,,,"1 RG observation in iNat; ID correct; species common in eastern Sierra, but completely absent west of the crest; ID right atop ""Bridalveil Fall""; https://www.inaturalist.org/observations/121470872; observer had been at Mono Lake the day before",,,,,,,
