"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"52","Cuscuta suksdorfii","1","1279490","Cuscuta suksdorfii","1","species","","","","Yunck.","Convolvulaceae","Cuscuta","Cuscuta","1","suksdorfii","suksdorfii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485764","","Y","Accepted","Cuscuta suksdorfii","Cuscuta suksdorfii","Yunck.","1279490","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485764","","Convolvulaceae","1","1","wcvp","",true,52
"53","Triglochin palustris","1","761639","Triglochin palustris","1","species","","","","L.","Juncaginaceae","Triglochin","Triglochin","1","palustris","palustris","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:308924","","Y","Accepted","Triglochin palustris","Triglochin palustris","L.","761639","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:308924","","Juncaginaceae","1","1","wcvp","",true,53
"54","Juncus bufonius var. occidentalis","1","767497","Juncus bufonius var. occidentalis","1","variety","","","","F.J.Herm.","Juncaceae","Juncus","Juncus","1","bufonius","bufonius","1","","","","var.","occidentalis","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314625","","Y","Synonym","Juncus amuricus","Juncus amuricus","(Maxim.) V.I.Krecz. & Gontsch.","767250","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314374","","Juncaceae","1","1","wcvp","",true,54
"55","Carex pellita","1","344661","Carex pellita","1","species","","","","Muhl. ex Willd.","Cyperaceae","Carex","Carex","1","pellita","pellita","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229617","","Y","Accepted","Carex pellita","Carex pellita","Muhl. ex Willd.","344661","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229617","","Cyperaceae","1","1","wcvp","",true,55
"56","Polygonum polygaloides","1","1085857","Polygonum polygaloides","1","species","","","","Meisn.","Polygonaceae","Polygonum","Polygonum","1","polygaloides","polygaloides","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2573794","","Y","Accepted","Polygonum polygaloides","Polygonum polygaloides","Meisn.","1085857","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2573794","","Polygonaceae","1","1","wcvp","",true,56
"57","Triglochin maritima","1","761628","Triglochin maritima","1","species","","","","L.","Juncaginaceae","Triglochin","Triglochin","1","maritima","maritima","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:308914","","Y","Accepted","Triglochin maritima","Triglochin maritima","L.","761628","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:308914","","Juncaginaceae","1","1","wcvp","",true,57
"58","Carex lanuginosa","1","342884","Carex lanuginosa","1","species","","","","Michx.","Cyperaceae","Carex","Carex","1","lanuginosa","lanuginosa","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:227938","","Y","Synonym","Carex lasiocarpa var. americana","Carex lasiocarpa","Fernald","342895","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:227948","","Cyperaceae","1","1","wcvp","",true,58
"59","Trimorpha lonchophylla","1","14246","Trimorpha lonchophylla","1","species","","","","(Hook.) G.L.Nesom","Asteraceae","Trimorpha","Trimorpha","1","lonchophylla","lonchophylla","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3105739","","Y","Synonym","Erigeron lonchophyllus","Erigeron lonchophyllus","Hook.","20894","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3105740","","Asteraceae","1","1","wcvp","",true,59
"60","Aster occidentalis","1","63099","Aster occidentalis","1","species","","","","Torr. & A.Gray","Asteraceae","Aster","Aster","1","occidentalis","occidentalis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3103819","","Y","Synonym","Symphyotrichum spathulatum var. spathulatum","Symphyotrichum spathulatum","","1734583","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3267083","","Asteraceae","1","1","wcvp","",true,60
"61","Juncus bufonius","1","767455","Juncus bufonius","1","species","","","","L.","Juncaceae","Juncus","Juncus","1","bufonius","bufonius","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314576","","Y","Accepted","Juncus bufonius","Juncus bufonius","L.","767455","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314576","","Juncaceae","1","1","wcvp","",true,61
"62","Carex aurea","1","339537","Carex aurea","1","species","","","","Nutt.","Cyperaceae","Carex","Carex","1","aurea","aurea","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:224802","","Y","Accepted","Carex aurea","Carex aurea","Nutt.","339537","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:224802","","Cyperaceae","1","1","wcvp","",true,62
"63","Plagiobothrys scouleri","1","1794821","Plagiobothrys scouleri","1","species","","","","(Hook. & Arn.) I.M.Johnst.","Boraginaceae","Plagiobothrys","Plagiobothrys","1","scouleri","scouleri","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2413164","","Y","Accepted","Plagiobothrys scouleri","Plagiobothrys scouleri","(Hook. & Arn.) I.M.Johnst.","1794821","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2413164","","Boraginaceae","1","1","wcvp","",true,63
"64","Pyrrocoma apargioides","1","115775","Pyrrocoma apargioides","1","species","","","","Greene","Asteraceae","Pyrrocoma","Pyrrocoma","1","apargioides","apargioides","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3102781","","Y","Accepted","Pyrrocoma apargioides","Pyrrocoma apargioides","Greene","115775","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3102781","","Asteraceae","1","1","wcvp","",true,64
"65","Triglochin maritimum","0.95322410145539","761628","Triglochin maritima","0.95322410145539","species","","","","L.","Juncaginaceae","Triglochin","Triglochin","1","maritimum","maritima","0.77777777777778","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:308914","","","Accepted","Triglochin maritima","Triglochin maritima","L.","761628","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:308914","","Juncaginaceae","1","1","wcvp","",true,65
"66","Penstemon rydbergii","1","1121391","Penstemon rydbergii","1","species","","","","A.Nelson","Plantaginaceae","Penstemon","Penstemon","1","rydbergii","rydbergii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2550482","","Y","Accepted","Penstemon rydbergii","Penstemon rydbergii","A.Nelson","1121391","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2550482","","Plantaginaceae","1","1","wcvp","",true,66
"67","Carex filifolia","1","341375","Carex filifolia","1","species","","","","Nutt.","Cyperaceae","Carex","Carex","1","filifolia","filifolia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:226522","","Y","Accepted","Carex filifolia","Carex filifolia","Nutt.","341375","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:226522","","Cyperaceae","1","1","wcvp","",true,67
"68","Mimulus suksdorfii","1","1121164","Mimulus suksdorfii","1","species","","","","A.Gray","Phrymaceae","Mimulus","Mimulus","1","suksdorfii","suksdorfii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2511746","","Y","Synonym","Erythranthe suksdorfii","Erythranthe suksdorfii","(A.Gray) N.S.Fraga","1300771","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3001056","","Phrymaceae","1","1","wcvp","",true,69
"69","Muhlenbergia filiformis","1","1538733","Muhlenbergia filiformis","1","species","","","","(Thurb.) Rydb.","Poaceae","Muhlenbergia","Muhlenbergia","1","filiformis","filiformis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:425066","","Y","Accepted","Muhlenbergia filiformis","Muhlenbergia filiformis","(Thurb.) Rydb.","1538733","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:425066","","Poaceae","1","1","wcvp","",true,70
