"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"74","Prunus virginiana","1","1005960","Prunus virginiana","1","species","","","","L.","Rosaceae","Prunus","Prunus","1","virginiana","virginiana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2962364","","Y","Accepted","Prunus virginiana","Prunus virginiana","L.","1005960","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2962364","","Rosaceae","1","1","wcvp","",true,82
"75","Cerastium arvense","1","587919","Cerastium arvense","1","species","","","","L.","Caryophyllaceae","Cerastium","Cerastium","1","arvense","arvense","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2709949","","Y","Accepted","Cerastium arvense","Cerastium arvense","L.","587919","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2709949","","Caryophyllaceae","1","1","wcvp","",true,83
"76","Pinus contorta","1","474947","Pinus contorta","1","species","","","","Douglas ex Loudon","Pinaceae","Pinus","Pinus","1","contorta","contorta","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:379843","","Y","Accepted","Pinus contorta","Pinus contorta","Douglas ex Loudon","474947","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:379843","","Pinaceae","1","1","wcvp","",true,85
"77","Asclepias speciosa","1","544876","Asclepias speciosa","1","species","","","","Torr.","Apocynaceae","Asclepias","Asclepias","1","speciosa","speciosa","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501398","","Y","Accepted","Asclepias speciosa","Asclepias speciosa","Torr.","544876","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501398","","Apocynaceae","1","1","wcvp","",true,86
"78","Aquilegia pubescens","1","534662","Aquilegia pubescens","1","species","","","","Coville","Ranunculaceae","Aquilegia","Aquilegia","1","pubescens","pubescens","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2644953","","Y","Accepted","Aquilegia pubescens","Aquilegia pubescens","Coville","534662","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2644953","","Ranunculaceae","1","1","wcvp","",true,87
"79","Woodwardia fimbriata","1","1095769","Woodwardia fimbriata","1","species","","","","Sm.","Blechnaceae","Woodwardia","Woodwardia","1","fimbriata","fimbriata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3150308","","Y","Accepted","Woodwardia fimbriata","Woodwardia fimbriata","Sm.","1095769","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3150308","","Blechnaceae","1","1","wcvp","",true,88
"80","Calochortus minimus","1","754256","Calochortus minimus","1","species","","","","Ownbey","Liliaceae","Calochortus","Calochortus","1","minimus","minimus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301730","","Y","Accepted","Calochortus minimus","Calochortus minimus","Ownbey","754256","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301730","","Liliaceae","1","1","wcvp","",true,89
"81","Allium obtusum","1","748434","Allium obtusum","1","species","","","","Lemmon","Amaryllidaceae","Allium","Allium","1","obtusum","obtusum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296129","","Y","Accepted","Allium obtusum","Allium obtusum","Lemmon","748434","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296129","","Amaryllidaceae","1","1","wcvp","",true,90
"82","Lupinus albifrons","1","172517","Lupinus albifrons","1","species","","","","Benth.","Fabaceae","Lupinus","Lupinus","1","albifrons","albifrons","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2345459","","Y","Accepted","Lupinus albifrons","Lupinus albifrons","Benth.","172517","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2345459","","Fabaceae","1","1","wcvp","",true,91
"83","Apocynum cannabinum","1","239552","Apocynum cannabinum","1","species","","","","L.","Apocynaceae","Apocynum","Apocynum","1","cannabinum","cannabinum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:12828","","Y","Accepted","Apocynum cannabinum","Apocynum cannabinum","L.","239552","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:12828","","Apocynaceae","1","1","wcvp","",true,92
"84","Philadelphus lewisii","1","1119855","Philadelphus lewisii","1","species","","","","Pursh","Hydrangeaceae","Philadelphus","Philadelphus","1","lewisii","lewisii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2530273","","Y","Accepted","Philadelphus lewisii","Philadelphus lewisii","Pursh","1119855","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2530273","","Hydrangeaceae","1","1","wcvp","",true,93
"85","Aesculus californica","1","515526","Aesculus californica","1","species","","","","(Spach) Nutt.","Sapindaceae","Aesculus","Aesculus","1","californica","californica","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2624481","","Y","Accepted","Aesculus californica","Aesculus californica","(Spach) Nutt.","515526","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2624481","","Sapindaceae","1","1","wcvp","",true,94
"86","Erythranthe cardinalis","1","1764873","Erythranthe cardinalis","1","species","","","","(Douglas ex Benth.) Spach","Phrymaceae","Erythranthe","Erythranthe","1","cardinalis","cardinalis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2800757","","Y","Accepted","Erythranthe cardinalis","Erythranthe cardinalis","(Douglas ex Benth.) Spach","1764873","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2800757","","Phrymaceae","1","1","wcvp","",true,95
"87","Holodiscus discolor","1","1003333","Holodiscus discolor","1","species","","","","(Pursh) Maxim.","Rosaceae","Holodiscus","Holodiscus","1","discolor","discolor","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2949767","","Y","Accepted","Holodiscus discolor","Holodiscus discolor","(Pursh) Maxim.","1003333","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2949767","","Rosaceae","1","1","wcvp","",true,96
"88","Pellaea bridgesii","1","1093909","Pellaea bridgesii","1","species","","","","Hook.","Pteridaceae","Pellaea","Pellaea","1","bridgesii","bridgesii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3147146","","Y","Synonym","Hemionitis bridgesii","Hemionitis bridgesii","(Hook.) Christenh.","1370184","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3217870","","Pteridaceae","1","1","wcvp","",true,97
"89","Calyptridium umbellatum","1","574855","Calyptridium umbellatum","1","species","","","","(Torr.) Greene","Montiaceae","Calyptridium","Calyptridium","1","umbellatum","umbellatum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2694218","","Y","Accepted","Calyptridium umbellatum","Calyptridium umbellatum","(Torr.) Greene","574855","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2694218","","Montiaceae","1","1","wcvp","",true,98
"90","Smithiastrum prenanthoides","1","1455332","Smithiastrum prenanthoides","1","species","","","","(Durand) Morin","","Smithiastrum","Smithiastrum","1","prenanthoides","prenanthoides","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:539361","","Y","Accepted","Smithiastrum prenanthoides","Smithiastrum prenanthoides","(Durand) Morin","1455332","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:539361","","","1","1","wcvp","",true,99
"91","Phyllodoce breweri","1","1033320","Phyllodoce breweri","1","species","","","","(A.Gray) A.Heller","Ericaceae","Phyllodoce","Phyllodoce","1","breweri","breweri","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2410066","","Y","Accepted","Phyllodoce breweri","Phyllodoce breweri","(A.Gray) A.Heller","1033320","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2410066","","Ericaceae","1","1","wcvp","",true,100
"92","Darmera peltata","1","630715","Darmera peltata","1","species","","","","(Torr. ex Benth.) Voss","Saxifragaceae","Darmera","Darmera","1","peltata","peltata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2757510","","Y","Accepted","Darmera peltata","Darmera peltata","(Torr. ex Benth.) Voss","630715","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2757510","","Saxifragaceae","1","1","wcvp","",true,101
"93","Torreya californica","1","403154","Torreya californica","1","species","","","","Torr.","Taxaceae","Torreya","Torreya","1","californica","californica","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:378636","","Y","Accepted","Torreya californica","Torreya californica","Torr.","403154","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:378636","","Taxaceae","1","1","wcvp","",true,102
