yos
Carex spectabilis
Pyrola minor
Oreostemma alpigenum
Lewisia glandulosa
Potentilla diversifolia
Erythranthe suksdorfii
Stipa occidentalis
Cystopteris fragilis
Poa bolanderi
Agrostis variabilis
Spergularia rubra
Carex lemmonii
Dasiphora fruticosa
Deschampsia elongata
Festuca rubra
Vulpia microstachys
Lolium perenne
Herniaria hirsuta
Plagiobothrys torreyi
Cryptantha affinis
Senecio covillei
Collinsia torreyi
Carex vesicaria
Ivesia santolinoides
Antennaria corymbosa
Silene menziesii
Apocynum androsaemifolium
Carex microptera
Hutchinsia procumbens
Triteleia ixioides
Elymus saundersii
Potentilla gracilis
Galium bifolium
Juncus macrandrus
Polygonum sawatchense
Leptosiphon harknessii
Eriogonum nudum
Castilleja applegatei
Erigeron breweri
Penstemon rostriflorus
Danthonia unispicata
Achnatherum nevadense
Carex mariposana
Juncus chlorocephalus
Carex whitneyi
Potentilla drummondii
Drymocallis lactea
Phlox gracilis
Carex fissuricola
Swertia radiata
Polemonium occidentale
Gayophytum diffusum
Fritillaria atropurpurea
Erigeron coulteri
Kalmia polifolia
Carex utriculata
Hypericum anagalloides
Sagina saginoides
Carex simulata
Saxifraga aprica
Monolepis spathulata
Polygonum douglasii
Parnassia californica
Collomia linearis
Perideridia parishii
Agoseris monticola
Geum macrophyllum
Bromus tectorum
Juncus drummondii
Boechera platysperma
Festuca idahoensis
Spiraea splendens
Potamogeton gramineus
Eleocharis macrostachya
Potentilla anserina
Ranunculus cymbalaria
Carex hoodii
Calyptridium monospermum
Artemisia ludoviciana
Rumex paucifolius
Utricularia macrorhiza
Juncus orthophyllus
Carex barbarae
Cuscuta occidentalis
Bromus carinatus
Cuscuta californica
Carex exserta
Delphinium depauperatum
Carex abrupta
Achnatherum lemmonii
Trisetum projectum
Horkelia fusca
Arnica cordifolia
Carex lenticularis
Carex raynoldsii
Artemisia cana
Plagiobothrys hispidulus
Lonicera cauriana
Muhlenbergia andina
Stipa nevadensis
Puccinellia nuttalliana
Calamagrostis stricta
Micranthes aprica
Poa annua
Puccinellia distans
Draba albertina
Lepidium virginicum
Psilocarphus tenellus
Agropyron inerme
Schoenoplectus pungens
Hieracium triste
Sagittaria cuneata
Delphinium polycladon
Descurainia incana
Sedum lanceolatum
Raillardella argentea
Penstemon newberryi
Oxyria digyna
Achillea borealis
Pedicularis groenlandica
Epilobium howellii
Ranunculus eschscholtzii
Enemion occidentale
Soliva sessilis
Viola pinetorum
Luzula cascadensis
Athyrium distentifolium
Eriogonum ovalifolium
Cirsium andersonii
Symphyotrichum foliaceum
Wyethia mollis
Cymopterus terebinthinus
Agrostis exarata
Bromus catharticus
Phacelia eisenii
Collinsia parviflora
Salix jepsonii
Calochortus leichtlinii
Secale cereale
Boechera retrofracta
Epilobium hallianum
Navarretia divaricata
Lupinus breweri
Salix monica
Allium obtusum
Lupinus inyoensis
Viola macloskeyi
Luzula spicata
Carex specifica
Carex pachystachya
Carex subfusca
Carex integra
Carex athrostachya
Carex congdonii
Achnatherum hymenoides
Artemisia nova
Boechera lyallii
Juniperus grandis
Corallorhiza maculata
Lomatium torreyi
Thalictrum sparsiflorum
Luzula parviflora
Nemophila spatulata
Erigeron elmeri
Tsuga mertensiana
Boechera pinetorum
Pteridium aquilinum
Festuca saximontana
Heuchera rubescens
Aspidotis densa
Carex scopulorum
Erythranthe breweri
Linanthus ciliatus
Carex davyi
Callitriche palustris
Subularia aquatica
Carex praeceptorum
Potamogeton epihydrus
Scribneria bolanderi
Polygonum bistortoides
Grayia spinosa
Elymus sierrae
Carex fracta
Stipa pinetorum
Phlox pulvinata
Carex capitata
Packera cana
Salix reticulata
Eriogonum rosense
Astragalus whitneyi
Ericameria monocephala
Chenopodium atrovirens
Antennaria microphylla
Eurybia integrifolia
Astragalus kentrophyta
Carex haydeniana
Poa keckii
Achnatherum pinetorum
Podistera nevadensis
Phlox douglasii
Boechera lemmonii
Minuartia rubella
Astragalus lentiginosus
Melica bulbosa
Symphoricarpos rotundifolius
Eremogone kingii
Erysimum perenne
Descurainia californica
Rumex salicifolius
Rumex utahensis
Barbarea orthoceras
Poa leptocoma
Cerastium arvense
Carex albonigra
Carex rossii
Draba praealta
Carex saximontana
Aphyllon corymbosum
Poa glauca
Draba densifolia
Boechera paupercula
Minuartia obtusiloba
Senecio werneriifolius
Luzula subcongesta
Carex multicostata
Arabis lemmonii
Phlox diffusa
Arabis drummondii
Stellaria calycantha
Draba oligosperma
Antennaria pulchella
Claytonia nevadensis
Kentrophyta montana
Lupinus lobbii
Draba breweri
Lithophragma bulbifera
Carex hassei
Poa pringlei
Sphaeromeria cana
Ericameria parryi
Festuca brachyphylla
Erigeron vagus
Polemonium eximium
Potentilla amicarum
Festuca minutiflora
Salix nivalis
Sedum roseum
Carex breweri
Cerastium beeringianum
Draba reptans
Potentilla bruceae
Carex orestera
Carex scirpoidea
Arabis lyallii
Boechera stricta
Koeleria macrantha
Gentianella tenella
Aster foliaceus
Senecio triangularis
Penstemon davidsonii
Gayophytum racemosum
Antennaria alpina
Vaccinium nivictum
Linum lewisii
Allophyllum gilioides
Epilobium ciliatum
Boechera drummondii
Epilobium brevistylum
Boechera depauperata
Lupinus danaus
Carex epapillosa
Aquilegia pubescens
Carex danaensis
Carex incurviformis
Androsace septentrionalis
Salix arctica
Veratrum californicum
Phlox condensata
Cirsium scariosum
Polemonium pulcherrimum
Epilobium lactiflorum
Phlox caespitosa
Potentilla fruticosa
Eriogonum marifolium
Pellaea breweri
Stellaria longipes
Lithophragma glabrum
Potentilla pseudosericea
Stipa kingii
Agrostis humilis
Delphinium glaucum
Boechera divaricarpa
Agoseris × elata
Draba longisquamosa
Poa lettermanii
Woodsia scopulina
Fragaria platypetala
Arabis divaricarpa
Phlox covillei
Castilleja breweri
Agrostis thurberiana
Calamagrostis breweri
Festuca ovina
Polemonium californicum
Primula suffrutescens
Bromus laevipes
Mimulus whitneyi
Eriogonum umbellatum
Arctostaphylos uva-ursi
Ligusticum grayi
Veronica wormskjoldii
Perideridia bolanderi
Arenaria obtusiloba
Oryzopsis kingii
Senecio werneriaefolius
Arnica lanceolata
Ageratina occidentalis
Adiantum aleuticum
Boykinia major
Arnica amplexicaulis
Comandra umbellata
Ipomopsis aggregata
Eriogonum prattenianum
Aster ascendens
Pellaea bridgesii
