accepted_name,establishment_means,final_list,iNat_RG_END,voucher_END,old_voucher,recent_voucher,first_iNat,last_iNat,synonym,first_voucher,last_voucher,first_iNat_manual,last_iNat_manual,first_voucher_manual,last_voucher_manual,notes,count
Hemizonella minima,native,1,1,1,1,1,2009,2022,Hemizonella minima,1863,2004,NA,NA,NA,NA,NA,NA
Hesperevax acaulis,native,1,NA,1,NA,1,NA,NA,NA,2002,2002,NA,NA,NA,NA,NA,NA
Heterotheca sessiliflora,native,1,NA,1,NA,1,NA,NA,NA,1990,1990,NA,NA,NA,NA,NA,NA
Heterotheca villosa,native,1,NA,1,1,1,NA,NA,NA,1922,2007,NA,NA,NA,NA,NA,NA
Hieracium albiflorum,native,1,1,1,1,NA,2014,2023,Hieracium albiflorum,1885,1988,NA,NA,NA,NA,NA,NA
Hieracium horridum,native,1,1,1,1,1,2013,2023,Pilosella horrida,1866,2021,NA,NA,NA,NA,NA,NA
Hieracium murorum,introduced,1,NA,1,NA,1,NA,NA,NA,2010,2010,NA,NA,NA,NA,NA,NA
Hieracium scouleri,native,1,NA,1,1,1,NA,NA,NA,1959,2002,NA,NA,NA,NA,NA,NA
Hieracium triste,native,1,1,1,1,1,2010,2019,Pilosella tristis,1894,2009,NA,NA,NA,NA,NA,NA
Holocarpha virgata,native,1,NA,1,NA,1,NA,NA,NA,2002,2002,NA,NA,NA,NA,NA,NA
Hulsea algida,native,1,1,1,1,1,1989,2023,Hulsea algida,1863,2007,NA,NA,NA,NA,NA,NA
Hulsea brevifolia,native,1,1,1,1,1,2023,2023,Hulsea brevifolia,1866,2010,NA,NA,NA,NA,NA,NA
Hulsea heterochroma,native,1,1,1,1,1,2019,2022,Hulsea heterochroma,1866,1999,NA,NA,NA,NA,NA,NA
Hypochaeris glabra,introduced,1,NA,1,1,1,NA,NA,NA,1939,2010,NA,NA,NA,NA,NA,NA
Hypochaeris radicata,introduced,1,1,1,NA,1,2021,2021,Hypochaeris radicata,1998,2010,NA,NA,NA,NA,NA,NA
Jensia yosemitana,native,1,1,1,1,1,2015,2022,Jensia yosemitana,1881,2010,NA,NA,NA,NA,NA,NA
Kyhosia bolanderi,native,1,NA,1,1,1,NA,NA,NA,1889,2010,NA,NA,NA,NA,NA,NA
Lactuca pulchella,introduced,1,NA,1,1,NA,NA,NA,NA,1909,1944,NA,NA,NA,NA,NA,NA
Lactuca serriola,introduced,1,1,1,1,1,2016,2023,Lactuca serriola,1926,2002,NA,NA,NA,NA,NA,NA
Layia pentachaeta,native,1,NA,1,NA,1,NA,NA,NA,2006,2006,NA,NA,NA,NA,NA,NA
Lessingia leptoclada,native,1,1,1,1,1,2009,2023,Lessingia leptoclada,1866,1866,NA,NA,NA,NA,NA,NA
Leucanthemum vulgare,introduced,1,1,1,1,1,2016,2023,Leucanthemum vulgare,1934,2010,NA,NA,NA,NA,NA,NA
Logfia gallica,introduced,1,NA,1,1,1,NA,NA,NA,1948,2002,NA,NA,NA,NA,NA,NA
Madia elegans,native,1,1,1,1,1,2005,2023,Madia elegans,1866,2006,NA,NA,NA,NA,NA,NA
Madia exigua,native,1,1,1,1,1,2019,2022,Madia exigua,1911,1998,NA,NA,NA,NA,NA,NA
Madia glomerata,native,1,1,1,1,1,2022,2022,Madia glomerata,1895,2010,NA,NA,NA,NA,NA,NA
Madia gracilis,native,1,1,1,1,1,2016,2023,Madia gracilis,1911,2010,NA,NA,NA,NA,NA,NA
Malacothrix clevelandii,native,1,NA,1,NA,1,NA,NA,NA,2010,2010,NA,NA,NA,NA,NA,NA
Malacothrix floccifera,native,1,1,1,1,NA,2015,2022,Malacothrix floccifera,1883,1982,NA,NA,NA,NA,NA,NA
Matricaria discoidea,introduced,1,1,1,1,1,2014,2023,Matricaria discoidea,1965,2009,NA,NA,NA,NA,NA,NA
Micropus californicus,native,1,NA,1,NA,1,NA,NA,NA,2006,2006,NA,NA,NA,NA,NA,NA
Microseris nutans,native,1,1,1,1,1,2014,2021,Microseris nutans,1863,2005,NA,NA,NA,NA,NA,NA
Oreostemma alpigenum,native,1,1,1,1,1,2017,2022,Oreostemma alpigenum,1872,2007,NA,NA,NA,NA,NA,NA
Packera cana,native,1,1,1,1,1,2020,2020,Packera cana,1907,2007,NA,NA,NA,NA,NA,NA
Packera pauciflora,native,1,1,1,1,1,2019,2020,Packera pauciflora,1894,2014,NA,NA,NA,NA,NA,NA
Packera pseudaurea,native,1,NA,1,NA,1,NA,NA,NA,2011,2011,NA,NA,NA,NA,NA,NA
Packera streptanthifolia,native,1,NA,1,1,1,NA,NA,NA,1894,2005,NA,NA,NA,NA,NA,NA
Packera subnuda,native,1,NA,1,1,1,NA,NA,NA,1875,2012,NA,NA,NA,NA,NA,NA
Packera werneriifolia,native,1,1,1,1,1,2022,2022,Packera werneriifolia,1863,2011,NA,NA,NA,NA,NA,NA
Phalacroseris bolanderi,native,1,NA,1,1,1,NA,NA,NA,1866,2007,NA,NA,NA,NA,NA,NA
Pseudognaphalium beneolens,native,1,NA,1,1,1,NA,NA,NA,1907,1998,NA,NA,NA,NA,NA,NA
Pseudognaphalium californicum,native,1,NA,1,1,NA,NA,NA,NA,1911,1960,NA,NA,NA,NA,NA,NA
Pseudognaphalium canescens,native,1,1,1,1,NA,2021,2021,Pseudognaphalium canescens,1935,1976,NA,NA,NA,NA,NA,NA
Pseudognaphalium microcephalum,native,1,NA,1,1,NA,NA,NA,NA,1924,1954,NA,NA,NA,NA,NA,NA
Pseudognaphalium stramineum,native,1,NA,1,1,NA,NA,NA,NA,1889,1931,NA,NA,NA,NA,NA,NA
Pseudognaphalium thermale,native,1,NA,1,1,NA,NA,NA,NA,1911,1974,NA,NA,NA,NA,NA,NA
Psilocarphus brevissimus,native,1,NA,1,NA,1,NA,NA,NA,2006,2006,NA,NA,NA,NA,NA,NA
Psilocarphus oregonus,native,1,NA,1,1,NA,NA,NA,NA,1896,1911,NA,NA,NA,NA,NA,NA
Psilocarphus tenellus,native,1,NA,1,1,1,NA,NA,NA,1875,1999,NA,NA,NA,NA,NA,NA
Pyrrocoma apargioides,native,1,1,1,1,1,2018,2023,Pyrrocoma apargioides,1866,2011,NA,NA,NA,NA,NA,NA
Raillardella argentea,native,1,1,1,1,NA,2019,2023,Raillardella argentea,1866,1970,NA,NA,NA,NA,NA,NA
Raillardella scaposa,native,1,1,1,1,1,2014,2023,Raillardella scaposa,1863,2009,NA,NA,NA,NA,NA,NA
Rigiopappus leptocladus,native,1,NA,1,1,NA,NA,NA,NA,1888,1888,NA,NA,NA,NA,NA,NA
Rudbeckia californica,native,1,1,1,1,1,2006,2023,Rudbeckia californica,1866,2006,NA,NA,NA,NA,NA,NA
Rudbeckia hirta,introduced,1,1,1,1,1,2008,2023,Rudbeckia hirta,1896,2009,NA,NA,NA,NA,NA,NA
Senecio aronicoides,native,1,1,1,1,1,2015,2023,Senecio aronicoides,1894,2003,NA,NA,NA,NA,NA,NA
Senecio clarkianus,native,1,1,1,1,1,2012,2021,Senecio clarkianus,1866,2006,NA,NA,NA,NA,NA,NA
Senecio flaccidus,native,1,NA,1,1,NA,NA,NA,NA,1895,1946,NA,NA,NA,NA,NA,NA
Senecio fremontii,native,1,NA,1,1,1,NA,NA,NA,1890,2017,NA,NA,NA,NA,NA,NA
Senecio integerrimus,native,1,1,1,1,1,2015,2023,Senecio integerrimus,1875,2005,NA,NA,NA,NA,NA,NA
Senecio scorzonella,native,1,1,1,1,1,2015,2022,Senecio scorzonella,1895,2009,NA,NA,NA,NA,NA,NA
Senecio triangularis,native,1,1,1,1,NA,2009,2023,Senecio triangularis,1866,1977,NA,NA,NA,NA,NA,NA
Senecio vulgaris,introduced,1,NA,1,NA,1,NA,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA
Sericocarpus oregonensis,native,1,1,1,1,NA,2016,2021,Sericocarpus oregonensis,1878,1982,NA,NA,NA,NA,NA,NA
Solidago elongata,native,1,1,1,1,1,2014,2023,Solidago elongata,1881,2007,NA,NA,NA,NA,NA,NA
Solidago multiradiata,native,1,1,1,1,1,2015,2023,Solidago multiradiata,1890,2012,NA,NA,NA,NA,NA,NA
Solidago stricta,introduced,1,NA,1,NA,1,NA,NA,NA,2010,2010,NA,NA,NA,NA,NA,NA
Solidago velutina,native,1,1,1,1,1,2018,2023,Solidago velutina,1895,2009,NA,NA,NA,NA,NA,NA
Soliva sessilis,introduced,1,NA,1,1,NA,NA,NA,NA,1926,1926,NA,NA,NA,NA,NA,NA
Sonchus asper,introduced,1,NA,1,NA,1,NA,NA,NA,1998,2010,NA,NA,NA,NA,NA,NA
Sonchus oleraceus,introduced,1,NA,1,NA,1,NA,NA,NA,1998,1998,NA,NA,NA,NA,NA,NA
Stenotus acaulis,native,1,NA,1,NA,1,NA,NA,NA,2005,2005,NA,NA,NA,NA,NA,NA
Stephanomeria exigua,native,1,NA,1,1,NA,NA,NA,NA,1919,1919,NA,NA,NA,NA,NA,NA
Stephanomeria lactucina,native,1,1,1,1,1,2014,2022,Stephanomeria lactucina,1883,2007,NA,NA,NA,NA,NA,NA
Stephanomeria tenuifolia,native,1,1,1,1,1,2023,2023,Stephanomeria tenuifolia,1889,1999,NA,NA,NA,NA,NA,NA
Stephanomeria virgata,native,1,1,1,1,1,2023,2023,Stephanomeria virgata,1866,2007,NA,NA,NA,NA,NA,NA
Symphyotrichum ascendens,native,1,1,1,1,1,2022,2022,Symphyotrichum ascendens,1896,2007,NA,NA,NA,NA,NA,NA
Symphyotrichum bracteolatum,native,1,NA,1,1,NA,NA,NA,NA,1896,1929,NA,NA,NA,NA,NA,NA
Symphyotrichum foliaceum,native,1,NA,1,1,1,NA,NA,NA,1883,1998,NA,NA,NA,NA,NA,NA
Symphyotrichum spathulatum,native,1,1,1,1,1,2017,2017,Symphyotrichum spathulatum,1866,2007,NA,NA,NA,NA,NA,NA
Taeniatherum caput-medusae,introduced,1,1,NA,NA,NA,2019,2019,NA,NA,NA,2019,2019,NA,NA,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",1
Tanacetum parthenium,introduced,1,1,1,NA,1,2019,2019,Tanacetum parthenium,1999,1999,NA,NA,NA,NA,NA,NA
Taraxacum officinale,introduced,1,1,1,1,1,2015,2022,Taraxacum officinale,1946,2005,NA,NA,NA,NA,NA,NA
Tragopogon dubius,introduced,1,1,1,NA,1,2011,2023,Tragopogon dubius,1998,2021,NA,NA,NA,NA,NA,NA
Uropappus lindleyi,native,1,1,1,1,NA,2021,2022,Uropappus lindleyi,1911,1948,NA,NA,NA,NA,NA,NA
Wyethia angustifolia,native,1,1,1,1,1,2014,2023,Wyethia angustifolia,1894,2003,NA,NA,NA,NA,NA,NA
Wyethia mollis,native,1,1,1,1,1,2013,2023,Wyethia mollis,1888,2007,NA,NA,NA,NA,NA,NA
Xanthium strumarium,introduced,1,1,1,NA,1,2017,2023,Xanthium strumarium,2010,2010,NA,NA,NA,NA,NA,NA
Berberis dictyota,native,1,1,1,1,1,2020,2022,Berberis aquifolium,1907,2010,NA,NA,NA,NA,NA,NA
Berberis dictyota,native,1,1,1,1,1,2020,2022,Berberis dictyota,1907,2010,NA,NA,NA,NA,NA,NA
Alnus rhombifolia,native,1,1,1,1,NA,2014,2023,Alnus rhombifolia,1907,1960,NA,NA,NA,NA,NA,NA
Corylus cornuta,native,1,1,1,1,1,2014,2023,Corylus cornuta,1901,2003,NA,NA,NA,NA,NA,NA
Adelinia grandis,native,1,1,NA,NA,NA,2023,2023,Adelinia grandis,NA,NA,NA,NA,NA,NA,NA,NA
Amsinckia menziesii,native,1,NA,1,1,NA,NA,NA,NA,1911,1932,NA,NA,NA,NA,NA,NA
Andersonglossum occidentale,introduced,1,1,1,1,1,2014,2023,Andersonglossum occidentale,1880,2002,NA,NA,NA,NA,NA,NA
Cryptantha affinis,native,1,NA,1,1,1,NA,NA,NA,1890,2007,NA,NA,NA,NA,NA,NA
Cryptantha ambigua,native,1,NA,1,1,1,NA,NA,NA,1895,2006,NA,NA,NA,NA,NA,NA
Cryptantha echinella,native,1,NA,1,1,1,NA,NA,NA,1866,2010,NA,NA,NA,NA,NA,NA
Cryptantha flaccida,native,1,NA,1,1,1,NA,NA,NA,1875,2010,NA,NA,NA,NA,NA,NA
Cryptantha glomeriflora,native,1,NA,1,1,NA,NA,NA,NA,1907,1944,NA,NA,NA,NA,NA,NA
Cryptantha muricata,native,1,NA,1,1,1,NA,NA,NA,1895,2009,NA,NA,NA,NA,NA,NA
Cryptantha simulans,native,1,NA,1,1,1,NA,NA,NA,1900,2004,NA,NA,NA,NA,NA,NA
Cryptantha torreyana,native,1,NA,1,1,1,NA,NA,NA,1865,2009,NA,NA,NA,NA,NA,NA
Cynoglossum officinale,introduced,1,1,1,1,NA,2020,2020,Cynoglossum officinale,1967,1967,NA,NA,NA,NA,NA,NA
Draperia systyla,native,1,1,1,1,1,2011,2023,Draperia systyla,1860,2007,NA,NA,NA,NA,NA,NA
Eriodictyon californicum,native,1,1,1,1,NA,2013,2023,Eriodictyon californicum,1878,1959,NA,NA,NA,NA,NA,NA
Hackelia micrantha,native,1,1,1,1,1,2014,2022,Hackelia micrantha,1863,2005,NA,NA,NA,NA,NA,NA
Hackelia mundula,native,1,1,1,1,NA,2013,2023,Hackelia mundula,1923,1968,NA,NA,NA,NA,NA,NA
Hackelia nervosa,native,1,1,1,1,1,2015,2020,Hackelia nervosa,1897,2009,NA,NA,NA,NA,NA,NA
Hackelia velutina,native,1,1,1,1,NA,2013,2021,Hackelia velutina,1866,1988,NA,NA,NA,NA,NA,NA
Hesperochiron nanus,native,1,1,1,1,NA,2019,2021,Hesperochiron nanus,1883,1944,NA,NA,NA,NA,NA,NA
Hesperochiron pumilus,native,1,1,1,1,NA,2014,2022,Hesperochiron pumilus,1879,1963,NA,NA,NA,NA,NA,NA
Hydrophyllum occidentale,native,1,1,1,1,NA,2014,2023,Hydrophyllum occidentale,1896,1944,NA,NA,NA,NA,NA,NA
Mertensia ciliata,native,1,1,1,1,NA,2007,2023,Mertensia ciliata,1885,1969,NA,NA,NA,NA,NA,NA
Myosotis discolor,introduced,1,1,1,NA,1,2016,2016,Myosotis discolor,2002,2010,NA,NA,NA,NA,NA,NA
Myosotis stricta,introduced,1,1,1,NA,1,2021,2022,Myosotis stricta,2009,2009,NA,NA,NA,NA,NA,NA
Nemophila heterophylla,native,1,1,1,1,1,2012,2023,Nemophila heterophylla,1880,2006,NA,NA,NA,NA,NA,NA
Nemophila maculata,native,1,1,1,1,NA,2016,2021,Nemophila maculata,1912,1938,NA,NA,NA,NA,NA,NA
Nemophila menziesii,native,1,1,1,1,1,2005,2023,Nemophila menziesii,1888,1991,NA,NA,NA,NA,NA,NA
Nemophila parviflora,native,1,1,1,1,1,2019,2019,Nemophila parviflora,1938,1998,NA,NA,NA,NA,NA,NA
Nemophila pedunculata,native,1,1,1,NA,1,2022,2022,Nemophila pedunculata,2006,2006,NA,NA,NA,NA,NA,NA
Nemophila spatulata,native,1,1,1,1,1,2014,2022,Nemophila spatulata,1896,2006,NA,NA,NA,NA,NA,NA
Oreocarya nubigena,native,1,1,1,1,1,2021,2021,Oreocarya nubigena,1889,2011,NA,NA,NA,NA,NA,NA
Pectocarya pusilla,native,1,NA,1,NA,1,NA,NA,NA,2005,2006,NA,NA,NA,NA,NA,NA
Phacelia egena,native,1,NA,1,1,NA,NA,NA,NA,1908,1935,NA,NA,NA,NA,NA,NA
Phacelia eisenii,native,1,1,1,1,1,2008,2022,Phacelia eisenii,1890,2007,NA,NA,NA,NA,NA,NA
Phacelia hastata,native,1,1,1,1,1,2021,2023,Phacelia hastata,1902,2014,NA,NA,NA,NA,NA,NA
Phacelia heterophylla,native,1,NA,1,1,NA,NA,NA,NA,1910,1937,NA,NA,NA,NA,NA,NA
Phacelia humilis,native,1,NA,1,1,NA,NA,NA,NA,1923,1923,NA,NA,NA,NA,NA,NA
Phacelia hydrophylloides,native,1,1,1,1,1,2013,2023,Phacelia hydrophylloides,1863,2005,NA,NA,NA,NA,NA,NA
Phacelia imbricata,native,1,1,1,1,NA,2022,2022,Phacelia imbricata,1907,1958,NA,NA,NA,NA,NA,NA
Phacelia mutabilis,native,1,NA,1,1,NA,NA,NA,NA,1909,1965,NA,NA,NA,NA,NA,NA
Phacelia purpusii,native,1,NA,1,1,1,NA,NA,NA,1860,2009,NA,NA,NA,NA,NA,NA
Phacelia quickii,native,1,1,1,1,1,2011,2022,Phacelia quickii,1882,2003,NA,NA,NA,NA,NA,NA
Phacelia racemosa,native,1,NA,1,1,1,NA,NA,NA,1911,1993,NA,NA,NA,NA,NA,NA
Phacelia ramosissima,native,1,1,1,1,1,2021,2023,Phacelia ramosissima,1898,2006,NA,NA,NA,NA,NA,NA
Phacelia tanacetifolia,native,1,NA,1,1,NA,NA,NA,NA,1911,1948,NA,NA,NA,NA,NA,NA
Phacelia vallicola,native,1,1,1,1,1,2014,2023,Phacelia vallicola,1890,2006,NA,NA,NA,NA,NA,NA
Pholistoma auritum,native,1,1,1,1,NA,2022,2022,Pholistoma auritum,1939,1939,NA,NA,NA,NA,NA,NA
Plagiobothrys bracteatus,native,1,NA,1,1,1,NA,NA,NA,1924,2008,NA,NA,NA,NA,NA,NA
Plagiobothrys myosotoides,native,1,NA,1,NA,1,NA,NA,NA,2005,2006,NA,NA,NA,NA,NA,NA
Plagiobothrys nothofulvus,native,1,NA,1,1,1,NA,NA,NA,1928,2006,NA,NA,NA,NA,NA,NA
Plagiobothrys scouleri,native,1,NA,1,1,1,NA,NA,NA,1897,2021,NA,NA,NA,NA,NA,NA
Plagiobothrys stipitatus,native,1,NA,1,1,1,NA,NA,NA,1911,2006,NA,NA,NA,NA,NA,NA
Plagiobothrys tenellus,native,1,NA,1,1,1,NA,NA,NA,1878,2006,NA,NA,NA,NA,NA,NA
Plagiobothrys torreyi,native,1,1,1,1,1,2023,2023,Plagiobothrys torreyi,1878,2021,NA,NA,NA,NA,NA,NA
Anelsonia eurycarpa,native,1,NA,1,1,NA,NA,NA,NA,1939,1939,NA,NA,NA,NA,NA,NA
Arabidopsis thaliana,introduced,1,NA,1,NA,1,NA,NA,NA,2009,2010,NA,NA,NA,NA,NA,NA
Arabis eschscholtziana,native,1,NA,1,1,NA,NA,NA,NA,1907,1907,NA,NA,NA,NA,NA,NA
Arabis pycnocarpa,native,1,NA,1,NA,1,NA,NA,NA,1998,1998,NA,NA,NA,NA,NA,NA
Athysanus pusillus,native,1,1,1,1,1,2018,2018,Athysanus pusillus,1911,2006,NA,NA,NA,NA,NA,NA
Barbarea orthoceras,native,1,1,1,1,1,2014,2015,Barbarea orthoceras,1894,2012,NA,NA,NA,NA,NA,NA
Barbarea vulgaris,introduced,1,NA,1,1,1,NA,NA,NA,1932,2010,NA,NA,NA,NA,NA,NA
Boechera arcuata,native,1,1,1,1,1,2007,2023,Boechera arcuata,1866,2007,NA,NA,NA,NA,NA,NA
Boechera covillei,native,1,NA,1,NA,1,NA,NA,NA,2010,2010,NA,NA,NA,NA,NA,NA
Boechera davidsonii,native,1,1,1,1,1,2022,2022,Boechera davidsonii,1902,2007,NA,NA,NA,NA,NA,NA
Boechera depauperata,native,1,NA,1,1,1,NA,NA,NA,1902,2011,NA,NA,NA,NA,NA,NA
Boechera divaricarpa,native,1,NA,1,1,1,NA,NA,NA,1936,1999,NA,NA,NA,NA,NA,NA
Boechera howellii,native,1,NA,1,1,1,NA,NA,NA,1890,2011,NA,NA,NA,NA,NA,NA
Boechera inyoensis,native,1,NA,1,1,NA,NA,NA,NA,1937,1937,NA,NA,NA,NA,NA,NA
Boechera lemmonii,native,1,NA,1,1,1,NA,NA,NA,1889,2021,NA,NA,NA,NA,NA,NA
Boechera lyallii,native,1,NA,1,1,1,NA,NA,NA,1909,2007,NA,NA,NA,NA,NA,NA
Boechera paupercula,native,1,NA,1,1,1,NA,NA,NA,1933,2021,NA,NA,NA,NA,NA,NA
Boechera pendulocarpa,native,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vouchers indicated in Taylor, but not found",1
Boechera perennans,native,1,NA,1,1,NA,NA,NA,NA,1883,1936,NA,NA,NA,NA,NA,NA
Boechera pinetorum,native,1,NA,1,1,1,NA,NA,NA,1901,2021,NA,NA,NA,NA,NA,NA
Boechera platysperma,native,1,1,1,1,1,2018,2018,Boechera platysperma,1860,2007,NA,NA,NA,NA,NA,NA
Boechera pratincola,native,1,NA,1,1,NA,NA,NA,NA,1911,1944,NA,NA,NA,NA,NA,NA
Boechera rectissima,native,1,NA,1,1,1,NA,NA,NA,1860,2007,NA,NA,NA,NA,NA,NA
Boechera retrofracta,native,1,NA,1,1,1,NA,NA,NA,1888,2021,NA,NA,NA,NA,NA,NA
Boechera sparsiflora,native,1,1,1,1,1,2015,2022,Boechera sparsiflora,1895,2007,NA,NA,NA,NA,NA,NA
Boechera stricta,native,1,NA,1,1,1,NA,NA,NA,1929,2021,NA,NA,NA,NA,NA,NA
Boechera tularensis,native,1,NA,1,1,NA,NA,NA,NA,1915,1939,NA,NA,NA,NA,NA,NA
Brassica nigra,introduced,1,NA,1,NA,1,NA,NA,NA,2002,2002,NA,NA,NA,NA,NA,NA
Brassica rapa,introduced,1,NA,1,1,1,NA,NA,NA,1927,2007,NA,NA,NA,NA,NA,NA
Capsella bursa-pastoris,introduced,1,1,1,1,1,2020,2023,Capsella bursa-pastoris,1900,2010,NA,NA,NA,NA,NA,NA
Cardamine breweri,native,1,NA,1,1,NA,NA,NA,NA,1928,1944,NA,NA,NA,NA,NA,NA
Cardamine californica,native,1,1,1,1,1,2017,2022,Cardamine californica,1924,1998,NA,NA,NA,NA,NA,NA
Cardamine hirsuta,introduced,1,1,NA,NA,NA,2019,2019,Cardamine hirsuta,NA,NA,NA,NA,NA,NA,NA,NA
Cardamine nuttallii,native,1,NA,1,1,1,NA,NA,NA,1903,2009,NA,NA,NA,NA,NA,NA
Cardamine oligosperma,native,1,NA,1,1,1,NA,NA,NA,1972,2010,NA,NA,NA,NA,NA,NA
Descurainia californica,native,1,NA,1,1,1,NA,NA,NA,1901,2010,NA,NA,NA,NA,NA,NA
Descurainia incana,native,1,NA,1,1,1,NA,NA,NA,1890,2010,NA,NA,NA,NA,NA,NA
Descurainia incisa,native,1,1,1,1,1,2014,2014,Descurainia incisa,1883,2010,NA,NA,NA,NA,NA,NA
Descurainia pinnata,native,1,NA,1,1,NA,NA,NA,NA,1888,1921,NA,NA,NA,NA,NA,NA
Descurainia sophia,introduced,1,NA,1,NA,1,NA,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA
Draba albertina,native,1,1,1,1,1,2013,2023,Draba albertina,1863,2010,NA,NA,NA,NA,NA,NA
Draba breweri,native,1,1,1,1,1,2013,2020,Draba breweri,1863,2012,NA,NA,NA,NA,NA,NA
Draba cana,native,1,NA,1,NA,1,NA,NA,NA,2011,2011,NA,NA,NA,NA,NA,NA
Draba densifolia,native,1,1,1,1,1,2013,2014,Draba densifolia,1897,2011,NA,NA,NA,NA,NA,NA
Draba lemmonii,native,1,1,1,1,1,2004,2023,Draba lemmonii,1863,2010,NA,NA,NA,NA,NA,NA
Draba longisquamosa,native,1,NA,1,1,NA,NA,NA,NA,1989,1989,NA,NA,NA,NA,NA,NA
Draba oligosperma,native,1,1,1,1,1,2013,2021,Draba oligosperma,1863,2012,NA,NA,NA,NA,NA,NA
Draba praealta,native,1,NA,1,1,1,NA,NA,NA,1959,2011,NA,NA,NA,NA,NA,NA
Draba verna,native,1,1,1,1,1,2011,2022,Draba verna,1972,2009,NA,NA,NA,NA,NA,NA
Erysimum capitatum,native,1,1,1,1,1,2013,2023,Erysimum capitatum,1860,2007,NA,NA,NA,NA,NA,NA
Erysimum perenne,native,1,1,1,1,1,2015,2022,Erysimum perenne,1863,2005,NA,NA,NA,NA,NA,NA
Hirschfeldia incana,introduced,1,NA,1,1,1,NA,NA,NA,1964,2010,NA,NA,NA,NA,NA,NA
Hornungia procumbens,native,1,NA,1,1,NA,NA,NA,NA,1944,1944,NA,NA,NA,NA,NA,NA
Lepidium densiflorum,native,1,1,1,1,1,2021,2021,Lepidium densiflorum,1888,1995,NA,NA,NA,NA,NA,NA
Lepidium ramosissimum,introduced,1,NA,1,NA,1,NA,NA,NA,1997,2009,NA,NA,NA,NA,NA,NA
Lepidium ruderale,introduced,1,NA,1,1,NA,NA,NA,NA,1883,1944,NA,NA,NA,NA,NA,NA
Lepidium virginicum,introduced,1,NA,1,1,1,NA,NA,NA,1923,2010,NA,NA,NA,NA,NA,NA
Nasturtium officinale,introduced,1,1,1,1,1,2021,2021,Nasturtium officinale,1911,1999,NA,NA,NA,NA,NA,NA
Phoenicaulis cheiranthoides,native,1,1,1,NA,1,2021,2022,Phoenicaulis cheiranthoides,2005,2005,NA,NA,NA,NA,NA,NA
Raphanus raphanistrum,introduced,1,NA,1,1,1,NA,NA,NA,1964,2009,NA,NA,NA,NA,NA,NA
Raphanus sativus,introduced,1,NA,1,1,1,NA,NA,NA,1927,1999,NA,NA,NA,NA,NA,NA
Rorippa curvipes,native,1,NA,1,NA,1,NA,NA,NA,2006,2007,NA,NA,NA,NA,NA,NA
Rorippa curvisiliqua,native,1,NA,1,1,1,NA,NA,NA,1894,2021,NA,NA,NA,NA,NA,NA
Rorippa sinuata,native,1,NA,1,1,NA,NA,NA,NA,1883,1894,NA,NA,NA,NA,NA,NA
Sinapis arvensis,introduced,1,NA,1,1,1,NA,NA,NA,1964,1999,NA,NA,NA,NA,NA,NA
Sisymbrium altissimum,introduced,1,1,1,1,1,2016,2023,Sisymbrium altissimum,1926,2009,NA,NA,NA,NA,NA,NA
Sisymbrium erysimoides,introduced,1,NA,1,NA,1,NA,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA
Sisymbrium irio,introduced,1,NA,1,NA,1,NA,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA
Sisymbrium officinale,introduced,1,NA,1,1,NA,NA,NA,NA,1983,1983,NA,NA,NA,NA,NA,NA
Streptanthus diversifolius,native,1,1,1,1,1,2015,2023,Streptanthus diversifolius,1917,2008,NA,NA,NA,NA,NA,NA
Streptanthus tortuosus,native,1,1,1,1,1,2007,2023,Streptanthus tortuosus,1860,2021,NA,NA,NA,NA,NA,NA
Subularia aquatica,native,1,1,1,1,1,2008,2008,Subularia aquatica,1934,2009,NA,NA,NA,NA,NA,NA
Thysanocarpus curvipes,native,1,1,1,1,1,2016,2021,Thysanocarpus curvipes,1862,2006,NA,NA,NA,NA,NA,NA
Tomostima reptans,native,1,NA,1,1,NA,NA,NA,NA,1981,1981,NA,NA,NA,NA,NA,NA
Tropidocarpum gracile,native,1,NA,1,1,NA,NA,NA,NA,1928,1928,NA,NA,NA,NA,NA,NA
Turritis glabra,native,1,1,1,1,1,2016,2023,Turritis glabra,1902,2006,NA,NA,NA,NA,NA,NA
Yosemitea repanda,native,1,1,1,1,1,2019,2020,Yosemitea repanda,1866,2010,NA,NA,NA,NA,NA,NA
Brasenia schreberi,native,1,1,1,1,1,2016,2016,NA,1897,2008,2016,2016,NA,NA,"add, observations lost due to auto-obscured coordinates",1
Calycanthus occidentalis,native,1,1,1,1,1,2007,2023,Calycanthus occidentalis,1900,2021,NA,NA,NA,NA,NA,NA
Downingia montana,native,1,1,1,1,1,2017,2019,Downingia montana,1889,2011,NA,NA,NA,NA,NA,NA
Githopsis diffusa,native,1,NA,1,NA,1,NA,NA,NA,2002,2002,NA,NA,NA,NA,NA,NA
Githopsis specularioides,native,1,NA,1,1,NA,NA,NA,NA,1880,1943,NA,NA,NA,NA,NA,NA
Heterocodon rariflorum,native,1,1,1,1,1,2017,2017,Heterocodon rariflorum,1866,2006,NA,NA,NA,NA,NA,NA
