accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,iNat_needs_ID_only_verdict,symbiota,voucher_notes,iNat_notes,parklist_notes
Polypodium hesperium,Polypodium hesperium,current,Polypodiaceae,1.ferns/primitive,NA,native,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,2,2,1947,"Sharsmith, Carl W.",1983,NA,in Symbiota,CCH: 3 old vouchers,NA,NA
Polystichum scopulinum,Polystichum scopulinum,current,Polypodiaceae,1.ferns/primitive,NA,native,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,1939,"Butts, Edward C.",1939,NA,NA,NA,NA,NA
Adiantum aleuticum,Adiantum aleuticum,current,Pteridaceae,1.ferns/primitive,Adiantum pedatum var. aleuticum,native,39,NA,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,21,9,1878,unknown,2007,NA,in Symbiota,First published in Rhodora 93: 112 (1991),NA,NA
Aspidotis californica,Aspidotis californica,current,Pteridaceae,1.ferns/primitive,Hemionitis californica,native,NA,1,NA,1,NA,1,1,NA,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park","retain, synonym",retain voucher,9,7,1888,"Congdon, Joseph Whipple",2003,NA,in Symbiota,"CCH: lots of older vouchers + 1 recent one, along western park boundary",NA,NA
Aspidotis densa,Aspidotis densa,current,Pteridaceae,1.ferns/primitive,Hemionitis densa,native,52,3,NA,1,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym",retain voucher,70,37,1863,"Brewer, William Henry",2014,NA,in Symbiota,NA,NA,NA
Cryptogramma acrostichoides,Cryptogramma acrostichoides,current,Pteridaceae,1.ferns/primitive,NA,native,43,14,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,51,32,1878,"Bradley, C. B.",2007,NA,in Symbiota,NA,NA,NA
Cryptogramma cascadensis,Cryptogramma cascadensis,current,Pteridaceae,1.ferns/primitive,NA,native,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",4,1,1866,"Bolander, Henry Nicholas",2007,NA,NA,NA,NA,"iNat: multiple vouchers just outside the park, including one of mine on Gale Peak within a few 100 m of park; Taylor: voucher on DAFF dome; many more vouchers just east of park; only voucher in CCH2 with coordinates maybe just added from Jepson?"
Myriopteris cooperae,Myriopteris cooperae,current,Pteridaceae,1.ferns/primitive,NA,native,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",2,NA,1897,"Hutchings, Miss C.",1965,NA,NA,NA,NA,NA
Myriopteris covillei,Myriopteris covillei,current,Pteridaceae,1.ferns/primitive,Hemionitis covillei,native,9,9,NA,1,1,1,1,1,1,NA,1,NA,retain observation,"retain, synonym",retain voucher,14,7,1890,"Congdon, Joseph Whipple",1965,NA,in Symbiota,NA,NA,NA
Myriopteris gracillima,Myriopteris gracillima,current,Pteridaceae,1.ferns/primitive,Hemionitis gracillima,native,18,2,NA,1,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym",retain voucher,36,22,1863,"Brewer, William Henry",2015,NA,in Symbiota,NA,NA,NA
Myriopteris intertexta,Myriopteris intertexta,current,Pteridaceae,1.ferns/primitive,Hemionitis intertexta,native,8,6,NA,1,1,1,1,1,1,NA,1,NA,retain observation,"retain, synonym",retain voucher,8,4,1878,"Bradley, C. B.",1975,NA,in Symbiota,NA,NA,NA
Pellaea andromedifolia,Pellaea andromedifolia,current,Pteridaceae,1.ferns/primitive,Hemionitis andromedifolia,native,7,NA,NA,1,1,1,1,1,1,NA,1,NA,retain observation,"retain, synonym",retain voucher,6,4,1944,"Sharsmith, Carl W.",1965,NA,in Symbiota,NA,NA,NA
Pellaea breweri,Pellaea breweri,current,Pteridaceae,1.ferns/primitive,Hemionitis breweri,native,4,NA,NA,1,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym",retain voucher,27,13,1866,"Rattan, Volney",2005,NA,in Symbiota,NA,NA,NA
Pellaea bridgesii,Pellaea bridgesii,current,Pteridaceae,1.ferns/primitive,Hemionitis bridgesii,native,91,2,NA,1,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym",retain voucher,72,46,1863,"Brewer, William Henry",2005,NA,in Symbiota,NA,NA,NA
Pellaea glaciogena,Pellaea glaciogena,current,Pteridaceae,1.ferns/primitive,NA,native,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",8,5,1878,"Bradley, C. B.",2005,NA,NA,NA,NA,NA
Pellaea mucronata,Pellaea mucronata,current,Pteridaceae,1.ferns/primitive,Hemionitis mucronata,native,95,3,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,53,27,1869,"Hooker, J. D.",1971,NA,in Symbiota,NA,NA,NA
Pentagramma pallida,Pentagramma pallida,current,Pteridaceae,1.ferns/primitive,Hemionitis pallida,native,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park","retain, synonym",retain voucher,3,1,1946,"Keck, David D.",1958,NA,in Symbiota,"vouchers on Old Coulterville Road, near Arch Rock, Hetch Hetchy, all pre-1958",NA,NA
Pentagramma triangularis,Pentagramma triangularis,current,Pteridaceae,1.ferns/primitive,Hemionitis triangularis (2018 name),native,21,9,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,16,4,1875,"McLean, F. P.",2001,NA,in Symbiota,NA,NA,NA
Woodsia scopulina,Woodsia scopulina,current,Woodsiaceae,1.ferns/primitive,Physematium scopulinum,native,NA,1,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",23,10,1866,"Bolander, Henry Nicholas",2005,NA,in Symbiota,NA,NA,NA
Selaginella hansenii,Selaginella hansenii,current,Selaginellaceae,1.primitive/ferns,NA,native,16,6,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,15,6,1902,"Bacon, Mrs. D. G.",2009,NA,in Symbiota,NA,NA,NA
Selaginella watsonii,Selaginella watsonii,current,Selaginellaceae,1.primitive/ferns,NA,native,29,3,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,41,25,1907,"Ware, Robert A.",2005,NA,in Symbiota,NA,NA,NA
Calocedrus decurrens,Calocedrus decurrens,current,Cupressaceae,2.gymnosperm,NA,native,473,123,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,42,28,1869,"Canby, William M.",2019,NA,in Symbiota,NA,NA,NA
Juniperus communis,Juniperus communis,current,Cupressaceae,2.gymnosperm,NA,native,4,NA,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,9,8,1933,"McMinn, H. E.",2005,NA,in Symbiota,NA,NA,NA
Juniperus grandis,Juniperus grandis,current,Cupressaceae,2.gymnosperm,Juniperus occidentalis,native,179,44,NA,1,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym",retain voucher,38,20,1865,"Torrey, John",2001,NA,in Symbiota,NA,NA,NA
