accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,iNat_needs_ID_only_verdict,symbiota,voucher_notes,iNat_notes,parklist_notes
Triodanis biflora,Triodanis biflora,current,Campanulaceae,3.dicot,NA,native,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,1902,"Hall, Harvey Monroe",1902,NA,in Symbiota,NA,NA,NA
Humulus lupulus,Humulus lupulus,current,Cannabaceae,3.dicot,NA,invasive,13,NA,NA,1,1,NA,1,1,NA,1,1,NA,retain observation,"not on parks list, but occurs in park",retain voucher,1,1,2009,"Taylor, Dean William",2009,NA,NA,CCH: single recent voucher from Taylor near Carlon Falls,NA,NA
Lonicera caerulea,Lonicera caerulea,current,Caprifoliaceae,3.dicot,NA,native,5,NA,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,14,8,1866,"Bolander, Henry Nicholas",1997,NA,in Symbiota,NA,NA,NA
Lonicera conjugialis,Lonicera conjugialis,current,Caprifoliaceae,3.dicot,NA,native,37,8,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,34,24,1866,"Bolander, Henry Nicholas",2007,NA,in Symbiota,NA,NA,NA
Lonicera interrupta,Lonicera interrupta,current,Caprifoliaceae,3.dicot,NA,native,25,5,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,19,13,1901,"Grant, George B.",1959,NA,in Symbiota,NA,NA,NA
Lonicera involucrata,Lonicera involucrata,current,Caprifoliaceae,3.dicot,NA,native,49,2,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,27,17,1866,"Bolander, Henry Nicholas",1963,NA,in Symbiota,NA,NA,NA
Plectritis ciliosa,Plectritis ciliosa,current,Caprifoliaceae,3.dicot,Plectritis ciliosa ssp. ciliosa,native,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,"XX-not in iNat, not in park","retain, synonym","add, voucher found in CCH download",1,NA,1924,"Howell, John Thomas",1924,NA,NA,NA,NA,"parks list: unconfirmed; Taylor: undocumented in Yosemite; CCH: only ""Yosemite Valley"" voucher an undated voucher with a generic ""Yosemite, Mariposa County""; & 1 1924 ""near Wawona"" voucher, but all others at much, much lower elevations"
Symphoricarpos albus,Symphoricarpos albus,current,Caprifoliaceae,3.dicot,NA,native,9,6,1,NA,1,1,NA,1,NA,NA,1,NA,"retain, new native record",retain on list,"XX-no voucher, but exists in park",NA,NA,NA,NA,NA,NA,in Symbiota,NA,"flora lists as below 2500 feet, no eJepson vouchers, but multiple RG observations from Yosemite Valley; really interesting that no vouchers",NA
Symphoricarpos mollis,Symphoricarpos mollis,current,Caprifoliaceae,3.dicot,Symphoricarpos acutus,native,22,38,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,22,11,1885,"Congdon, Joseph Whipple",2007,NA,in Symbiota,NA,NA,NA
Symphoricarpos rotundifolius,Symphoricarpos rotundifolius,current,Caprifoliaceae,3.dicot,NA,native,1,2,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,21,13,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",2007,NA,in Symbiota,NA,NA,NA
Valeriana brachystemon,Valeriana brachystemon,current,Caprifoliaceae,3.dicot,"Plectritis brachystemon, Plectritis congesta subsp. brachystemon",native,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,2002,"Taylor, Dean William",2002,NA,NA,NA,NA,"POWO - name published 2018; only old name in iNat, CCH; CCH, Taylor: 1 recent voucher from Taylor near Wawona"
Valeriana californica,Valeriana californica,current,Caprifoliaceae,3.dicot,NA,native,18,13,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,38,22,1863,"Brewer, William Henry",2009,NA,in Symbiota,NA,NA,NA
Cerastium arvense,Cerastium arvense,current,Caryophyllaceae,3.dicot,NA,native,3,16,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,13,6,1909,"Jepson, Willis L.",2010,NA,in Symbiota,NA,NA,NA
Cerastium beeringianum,Cerastium beeringianum,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,8,7,1937,"Sharsmith, Carl W.",2012,NA,in Symbiota,CCH2 vouchers from Twin Peaks saddle; Dana-Gibbs saddle; Saddlebag Lake area,NA,NA
Cerastium fontanum,Cerastium fontanum,current,Caryophyllaceae,3.dicot,NA,invasive,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",6,5,1895,"Perkins, Albert J.",2010,NA,in Symbiota,NA,NA,"iNat: throughout Sierra, expected in park; Taylor: voucher in Wawona Mdw"
Cerastium glomeratum,Cerastium glomeratum,current,Caryophyllaceae,3.dicot,NA,invasive,NA,1,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",6,4,1924,"Howell, John Thomas",2010,NA,in Symbiota,NA,NA,NA
Cherleria obtusiloba,Cherleria obtusiloba,current,Caryophyllaceae,3.dicot,Cherleria obtusiloba; Minuartia obtusiloba,native,1,5,NA,NA,iNat-not-gbif,1,1,1,1,1,1,NA,"retain, restricted license","retain, synonym","add, voucher found during check",16,14,1909,"Jepson, Willis L.",2011,NA,in Symbiota,lots of CCH2 vouchers  around Mt Dana,NA,NA
Dianthus armeria,Dianthus armeria,current,Caryophyllaceae,3.dicot,NA,invasive,10,NA,NA,1,1,NA,1,1,NA,1,1,NA,retain observation,"not on parks list, but occurs in park",retain voucher,2,2,1995,"Taylor, Dean William",2010,NA,NA,NA,NA,NA
Dianthus barbatus,Dianthus barbatus,current,Caryophyllaceae,3.dicot,NA,invasive,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",3,3,1998,"Adams, Justin",2010,NA,in Symbiota,CCH: 3 vouchers,NA,iNat: invasive with scattered observations near populated areas; Taylor: sparingly naturalised in Yosemite Valley
Eremogone aculeata,Eremogone aculeata,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,1,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,8,1,1890,"Congdon, Joseph Whipple",2009,NA,in Symbiota,"many CCH2 vouchers through 1945, by known botanists (Howell, Sharsmith, etc); then one from 2017 in UCSB herbarium that says ""Tuolumne"" but coordinates plot in Mono Basin; Taylor lists as occurring, but rare in region; valid name",NA,NA
Eremogone kingii,Eremogone kingii,current,Caryophyllaceae,3.dicot,NA,native,13,37,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,56,37,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",2011,NA,in Symbiota,NA,NA,NA
Herniaria hirsuta,Herniaria hirsuta,current,Caryophyllaceae,3.dicot,NA,invasive,1,4,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,17,10,1897,"Congdon, Joseph Whipple",2010,NA,in Symbiota,NA,NA,NA
Minuartia stricta,Minuartia stricta,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",NA,NA,NA,NA,NA,NA,in Symbiota,NA,NA,"iNat: Rockies, Canada, and 2 hidden observations in Chalfont Valley!; Taylor: 1 Yosemite voucher on North Peak (Sharsmith), others just to east of park (esp. Virginia Lakes)"
Petrorhagia dubia,Petrorhagia dubia,current,Caryophyllaceae,3.dicot,NA,invasive,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,2002,"Taylor, Dean William",2002,NA,NA,NA,NA,NA
Polycarpon tetraphyllum,Polycarpon tetraphyllum,current,Caryophyllaceae,3.dicot,NA,invasive,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,1997,"Taylor, Dean William",1997,NA,in Symbiota,NA,NA,iNat: Coast Range and San Joaquin Valley; not Sierra foothills at all; Taylor: 1 YNP voucher
Pseudostellaria jamesiana,Pseudostellaria jamesiana,current,Caryophyllaceae,3.dicot,NA,native,6,25,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,26,13,1866,"Bolander, Henry Nicholas",2004,NA,in Symbiota,NA,NA,NA
Sabulina californica,Sabulina californica,current,Caryophyllaceae,3.dicot,Minuartia californica,native,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park","retain, synonym",retain voucher,3,1,1924,"Howell, John Thomas",1944,NA,in Symbiota,"3 CCH2 vouchers in Wawona area, all from pre-1935",NA,NA
Sabulina douglasii,Sabulina douglasii,current,Caryophyllaceae,3.dicot,Minuartia douglasii,native,1,6,NA,NA,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym","add, voucher found during check",12,4,1894,"Dudley, William R.",2003,NA,in Symbiota,NA,Sierra foothills taxa with a collection of observations along the Tuolumne River canyon; only voucher from Yosemite Valley,NA
Sabulina nuttallii,Sabulina nuttallii,current,Caryophyllaceae,3.dicot,Minuartia nuttallii,native,1,1,NA,1,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym",retain voucher,22,14,1866,"Bolander, Henry Nicholas",2012,NA,in Symbiota,lots of CCH2 vouchers in expected places,NA,NA
Sabulina pusilla,Sabulina pusilla,current,Caryophyllaceae,3.dicot,Minuartia pusilla,native,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park","retain, synonym",retain voucher,6,5,1936,"Mason, Herbert L.",2010,NA,in Symbiota,lots of CCH2 vouchers above Hetch Hetchy (Vernon); few other locations,NA,NA
Sabulina rubella,Sabulina rubella,current,Caryophyllaceae,3.dicot,Minuartia rubella,native,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park","retain, synonym",retain voucher,13,8,1907,"Eastwood, Alice",2017,NA,in Symbiota,lots of CCH2 vouchers in expected places,NA,NA
Sagina decumbens,Sagina decumbens,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,NA,1944,"Sharsmith, Carl W.",1944,NA,in Symbiota,NA,NA,iNat: 1 needsID just outside park; Taylor: 1 Yosemite voucher
Sagina procumbens,Sagina procumbens,current,Caryophyllaceae,3.dicot,NA,invasive,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,2010,"Taylor, Dean William",2010,NA,NA,NA,NA,NA
Sagina saginoides,Sagina saginoides,current,Caryophyllaceae,3.dicot,NA,native,1,NA,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,19,9,1889,"Congdon, Joseph Whipple",2007,NA,in Symbiota,NA,NA,NA
Saponaria officinalis,Saponaria officinalis,current,Caryophyllaceae,3.dicot,NA,invasive,6,1,1,NA,1,1,1,1,NA,1,1,NA,retain observation,retain on list,"add, voucher found during check",2,2,2008,"Taylor, Dean William",2021,NA,in Symbiota,NA,"tight, isolated cluster of RG observations in Yosemite Valley; assume it will quickly be removed",NA
Scleranthus annuus,Scleranthus annuus,current,Caryophyllaceae,3.dicot,NA,invasive,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,2002,"Taylor, Dean William",2002,NA,NA,NA,NA,NA
Silene antirrhina,Silene antirrhina,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,3,2,1944,"Sharsmith, Carl W.",2009,NA,in Symbiota,NA,NA,NA
Silene bernardina,Silene bernardina,current,Caryophyllaceae,3.dicot,NA,native,3,2,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,4,2,1907,"Eastwood, Alice",1999,NA,in Symbiota,NA,NA,NA
Silene bridgesii,Silene bridgesii,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,11,3,1865,"Torrey, John",1958,NA,in Symbiota,"all vouchers pre-1925, but multiple locations and collections",NA,NA
Silene coronaria,Silene coronaria,current,Caryophyllaceae,3.dicot,NA,invasive,52,1,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,6,4,1959,"Rose, Lewis Samuel",2008,NA,in Symbiota,NA,NA,NA
Silene gallica,Silene gallica,current,Caryophyllaceae,3.dicot,NA,invasive,1,NA,1,1,iNat-not-gbif,1,1,1,1,1,1,NA,"retain, restricted license",retain on list,retain voucher,2,1,1964,"Frenkel, R. E.",2002,NA,in Symbiota,"CCH: several vouchers, including recent one; and 1 iNat RG is accurate",NA,NA
Silene laciniata,Silene laciniata,current,Caryophyllaceae,3.dicot,NA,native,166,14,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,8,2,1923,"Howell, John Thomas",1938,NA,in Symbiota,NA,NA,NA
Silene latifolia,Silene latifolia,current,Caryophyllaceae,3.dicot,NA,invasive,1,NA,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,4,2,1923,"Howell, John Thomas",1998,NA,in Symbiota,NA,NA,NA
Silene lemmonii,Silene lemmonii,current,Caryophyllaceae,3.dicot,NA,native,46,72,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,55,24,1883,"Congdon, Joseph Whipple",2007,NA,in Symbiota,NA,NA,NA
Silene menziesii,Silene menziesii,current,Caryophyllaceae,3.dicot,NA,native,NA,4,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",10,6,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",2006,NA,in Symbiota,NA,NA,"CCH: quite a few old vouchers (through 1964), but only a single recent one from Lyell Canyon (Colwell); 1893 - YV; higher elevation vouchers starting 1919, so using that"
Silene sargentii,Silene sargentii,current,Caryophyllaceae,3.dicot,NA,native,9,6,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,39,25,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",1983,NA,in Symbiota,NA,NA,NA
Spergula arvensis,Spergula arvensis,current,Caryophyllaceae,3.dicot,NA,invasive,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,1939,"Pratt, Harlan K.",1939,NA,NA,NA,NA,iNat: Coast Range and San Joaquin Valley; Taylor: not even listed
Spergularia rubra,Spergularia rubra,current,Caryophyllaceae,3.dicot,NA,invasive,4,6,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,19,14,1924,"Jepson, Willis L.",2010,NA,in Symbiota,NA,NA,NA
Stellaria borealis,Stellaria borealis,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",9,1,1885,"Congdon, Joseph Whipple",2007,NA,in Symbiota,NA,NA,iNat: Tahoe and north; Taylor: multiple Yosemite vouchers listed & that it is locally rare
Stellaria calycantha,Stellaria calycantha,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,9,7,1936,"Sharsmith, Carl W.",2017,NA,in Symbiota,"several CCH2 vouchers, new and old",NA,NA
Stellaria crispa,Stellaria crispa,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,6,5,1927,"Michael, Enid",2007,NA,in Symbiota,NA,NA,NA
Stellaria irrigua,Stellaria irrigua,current,Caryophyllaceae,3.dicot,Stellaria umbellata,native,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park","retain, synonym",retain voucher,13,8,1890,"Congdon, Joseph Whipple",2011,NA,in Symbiota,"CCH: a small number of old & new vouchers from high elevation plateaus (Parsons, Gibbs, Dana)",NA,NA
Stellaria longipes,Stellaria longipes,current,Caryophyllaceae,3.dicot,NA,native,6,13,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,37,18,1896,"Jepson, Willis L.",2012,NA,in Symbiota,NA,NA,NA
Stellaria media,Stellaria media,current,Caryophyllaceae,3.dicot,NA,invasive,1,3,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,6,3,1924,"Howell, John Thomas",1998,NA,in Symbiota,NA,NA,NA
Stellaria nitens,Stellaria nitens,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,4,1,1911,"Abrams, Le Roy",1972,NA,in Symbiota,"a handful of Yosemite vouchers, all seem legitimate",NA,NA
Stellaria obtusa,Stellaria obtusa,current,Caryophyllaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,1938,"Mason, Herbert L.",1938,NA,in Symbiota,NA,NA,"Dean Taylor indicates 1 park voucher (Beehive Meadow, 1938, Mason) and that it is on YNP list as ""rare""; iNat, RG around Bear Valley (Hwy 4)"
Parnassia palustris,Parnassia palustris,current,Celastraceae,3.dicot,NA,native,50,5,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,19,10,1894,"Lembert, J. B.",2007,NA,in Symbiota,NA,NA,NA
Calystegia malacophylla,Calystegia malacophylla,current,Convolvulaceae,3.dicot,NA,native,6,16,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,17,5,1883,"Congdon, Joseph Whipple",2004,NA,in Symbiota,NA,NA,NA
Convolvulus arvensis,Convolvulus arvensis,current,Convolvulaceae,3.dicot,NA,invasive,NA,1,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",3,1,1926,"Michael, Enid",2017,NA,in Symbiota,NA,NA,"CCH: 2 old vouchers (Swamp Lake, Yos Valley), no recent ones; invasive throughout CA, but never at high elevations; the 1 iNat is up high and almost certainly Calystegia malacophylla"
Cuscuta californica,Cuscuta californica,current,Convolvulaceae,3.dicot,NA,native,NA,4,1,1,NA,1,1,NA,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,18,12,1891,"Congdon, Joseph Whipple",2009,NA,in Symbiota,NA,NA,NA
Cuscuta jepsonii,Cuscuta jepsonii,current,Convolvulaceae,3.dicot,NA,native,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,2009,"Taylor, Dean William",2009,NA,NA,NA,NA,NA
Cuscuta occidentalis,Cuscuta occidentalis,current,Convolvulaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,1,1,1948,"Sharsmith, Carl W.",1948,remove,in Symbiota,CCH: 1 Sharsmith voucher; and Taylor mentions a recent YM voucher from Gin Flat,NA,NA
Cuscuta subinclusa,Cuscuta subinclusa,current,Convolvulaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",8,4,1909,"Jepson, Willis L.",2007,NA,in Symbiota,NA,NA,"CCH, Taylor: multiple vouchers for different locations in wetsern Yosemite"
Cuscuta suksdorfii,Cuscuta suksdorfii,current,Convolvulaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,NA,NA,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,9,9,2004,"Colwell, Alison",2009,NA,in Symbiota,NA,NA,NA
Cornus nuttallii,Cornus nuttallii,current,Cornaceae,3.dicot,NA,native,643,78,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,29,14,1878,"Ford, Henry Chapman",1980,NA,in Symbiota,NA,NA,NA
Cornus sericea,Cornus sericea,current,Cornaceae,3.dicot,Cornus sericea ssp. sericea,native,33,28,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,46,23,1865,"Torrey, John",2009,NA,in Symbiota,NA,NA,NA
Crassula aquatica,Crassula aquatica,current,Crassulaceae,3.dicot,NA,native,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",2,2,2008,"Taylor, Dean William",2008,NA,NA,NA,NA,NA
Dudleya cymosa,Dudleya cymosa,current,Crassulaceae,3.dicot,NA,native,100,26,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,22,13,1872,"Gray, Asa",2006,NA,in Symbiota,NA,NA,NA
Rhodiola integrifolia,Rhodiola integrifolia,current,Crassulaceae,3.dicot,NA,native,45,1,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,36,27,1875,"McLean, F. P.",2010,NA,in Symbiota,NA,NA,NA
Sedella pumila,Sedella pumila,current,Crassulaceae,3.dicot,Sedum pumilum,native,3,5,NA,1,1,1,1,1,1,NA,1,NA,retain observation,"retain, synonym",retain voucher,2,2,1941,"Keck, David D.",1960,NA,in Symbiota,NA,NA,NA
Sedum album,Sedum album,current,Crassulaceae,3.dicot,NA,invasive,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,1997,"Taylor, Dean William",1997,NA,NA,NA,NA,NA
Sedum lanceolatum,Sedum lanceolatum,current,Crassulaceae,3.dicot,NA,native,7,1,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,23,11,1895,"Congdon, Joseph Whipple",2007,NA,in Symbiota,NA,NA,NA
Sedum obtusatum,Sedum obtusatum,current,Crassulaceae,3.dicot,NA,native,274,34,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,73,34,1860,"Brewer, William Henry",2013,NA,in Symbiota,NA,NA,NA
Sedum radiatum,Sedum radiatum,current,Crassulaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",6,3,1883,"Congdon, Joseph Whipple",1954,NA,NA,NA,NA,"CCH: multiple voucher in various locations through 1954; iNat: all but 2 observations in Coast Range, and those around Tahoe;"
Sedum spathulifolium,Sedum spathulifolium,current,Crassulaceae,3.dicot,NA,native,189,9,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,24,11,1865,"Torrey, John",1963,NA,in Symbiota,NA,NA,NA
Sedum stenopetalum,Sedum stenopetalum,current,Crassulaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,NA,1938,"Mason, Herbert L.",1940,NA,in Symbiota,NA,NA,"iNat: Pacific northwest with not a single observation in the Sierra; Taylor, CCH: 2 vouchers from 1938, 1940; Dean Taylor Ided the YM on near Turtleback Dome"
Marah fabacea,Marah fabacea,current,Cucurbitaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,NA,1941,"Lint, Harold L.",1941,NA,in Symbiota,NA,NA,"Taylor, CCH: single old record Ided by Taylor in 2009"
Marah horrida,Marah horrida,current,Cucurbitaceae,3.dicot,NA,native,2,NA,1,NA,1,1,NA,1,NA,NA,1,NA,"retain, new native record",retain on list,"XX-no voucher, but exists in park",NA,NA,NA,NA,NA,NA,in Symbiota,NA,NA,NA
Datisca glomerata,Datisca glomerata,current,Datiscaceae,3.dicot,NA,native,3,1,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,2,1,1934,"Sharsmith, Carl W.",1944,NA,in Symbiota,NA,NA,NA
Drosera rotundifolia,Drosera rotundifolia,current,Droseraceae,3.dicot,NA,native,7,NA,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,11,7,1937,"Mason, Herbert L.",2009,NA,in Symbiota,NA,NA,NA
Elatine chilensis,Elatine chilensis,current,Elatinaceae,3.dicot,NA,native,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",2,2,2008,"Taylor, Dean William",2010,NA,NA,NA,NA,NA
Elatine rubella,Elatine rubella,current,Elatinaceae,3.dicot,NA,native,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found during check",1,1,2008,"Taylor, Dean William",2008,new native - vouchers,NA,NA,NA,NA
Allotropa virgata,Allotropa virgata,current,Ericaceae,3.dicot,NA,native,18,NA,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,7,4,1919,"Clemens, Mrs. Joseph",2009,NA,in Symbiota,NA,NA,NA
Arctostaphylos manzanita,Arctostaphylos manzanita,current,Ericaceae,3.dicot,NA,native,NA,2,NA,1,NA,NA,1,NA,1,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,3,3,1903,"Congdon, Joseph Whipple",1994,NA,NA,"CCH: 3 vouchers, 2 old, 1 new, Yos Valley and Wawona; quite a few low elevation Sierra iNat observations; and Coast Range;",NA,NA
Arctostaphylos mewukka,Arctostaphylos mewukka,current,Ericaceae,3.dicot,NA,native,NA,1,NA,1,NA,NA,1,NA,1,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,6,3,1907,"Eastwood, Alice",1993,NA,NA,"iNat: many observations just west of park,CCH: old Forest vouchers; but 2 more recent vouchers both Jon Keeley",NA,NA
Arctostaphylos nevadensis,Arctostaphylos nevadensis,current,Ericaceae,3.dicot,NA,native,83,16,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,41,26,1885,"Congdon, Joseph Whipple",2007,NA,in Symbiota,NA,NA,NA
Arctostaphylos patula,Arctostaphylos patula,current,Ericaceae,3.dicot,NA,native,180,79,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,68,37,1883,"Congdon, Joseph Whipple",2007,NA,in Symbiota,NA,NA,NA
Arctostaphylos viscida,Arctostaphylos viscida,current,Ericaceae,3.dicot,NA,native,297,4,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,60,30,1896,"Cummings, Clara E.",1996,NA,in Symbiota,NA,NA,NA
Cassiope mertensiana,Cassiope mertensiana,current,Ericaceae,3.dicot,NA,native,68,1,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,62,35,1878,"Ford, Henry Chapman",1993,NA,in Symbiota,NA,NA,NA
Chimaphila umbellata,Chimaphila umbellata,current,Ericaceae,3.dicot,NA,native,3,NA,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,4,2,1928,"Morrison, J. W.",1982,NA,in Symbiota,NA,NA,NA
