accepted_name,family,establishment_means
Symphyotrichum bracteolatum,Asteraceae,native
Symphyotrichum chilense,Asteraceae,native
Symphyotrichum foliaceum,Asteraceae,native
Symphyotrichum spathulatum,Asteraceae,native
Taeniatherum caput-medusae,Asteraceae,invasive
Tanacetum parthenium,Asteraceae,invasive
Taraxacum officinale,Asteraceae,invasive
Tragopogon dubius,Asteraceae,invasive
Uropappus lindleyi,Asteraceae,native
Wyethia angustifolia,Asteraceae,native
Wyethia mollis,Asteraceae,native
Xanthium strumarium,Asteraceae,invasive
Berberis dictyota,Berberidaceae,native
Berberis repens,Berberidaceae,native
Alnus rhombifolia,Betulaceae,native
Corylus cornuta,Betulaceae,native
Adelinia grandis,Boraginaceae,native
Amsinckia menziesii,Boraginaceae,native
Andersonglossum occidentale,Boraginaceae,invasive
Cryptantha affinis,Boraginaceae,native
Cryptantha ambigua,Boraginaceae,native
Cryptantha echinella,Boraginaceae,native
Cryptantha flaccida,Boraginaceae,native
Cryptantha glomeriflora,Boraginaceae,native
Cryptantha muricata,Boraginaceae,native
Cryptantha simulans,Boraginaceae,native
Cryptantha torreyana,Boraginaceae,native
Cynoglossum officinale,Boraginaceae,invasive
Draperia systyla,Boraginaceae,native
Eriodictyon californicum,Boraginaceae,native
Hackelia micrantha,Boraginaceae,native
Hackelia mundula,Boraginaceae,native
Hackelia nervosa,Boraginaceae,native
Hackelia velutina,Boraginaceae,native
Hesperochiron nanus,Boraginaceae,native
Hesperochiron pumilus,Boraginaceae,native
Hydrophyllum occidentale,Boraginaceae,native
Mertensia ciliata,Boraginaceae,native
Myosotis discolor,Boraginaceae,invasive
Myosotis stricta,Boraginaceae,invasive
Nemophila heterophylla,Boraginaceae,native
Nemophila maculata,Boraginaceae,native
Nemophila menziesii,Boraginaceae,native
Nemophila parviflora,Boraginaceae,native
Nemophila pedunculata,Boraginaceae,native
Nemophila spatulata,Boraginaceae,native
Oreocarya nubigena,Boraginaceae,native
Pectocarya pusilla,Boraginaceae,native
Phacelia cicutaria,Boraginaceae,native
Phacelia congdonii,Boraginaceae,native
Phacelia egena,Boraginaceae,native
Phacelia eisenii,Boraginaceae,native
Phacelia hastata,Boraginaceae,native
Phacelia heterophylla,Boraginaceae,native
Phacelia humilis,Boraginaceae,native
Phacelia hydrophylloides,Boraginaceae,native
Phacelia imbricata,Boraginaceae,native
Phacelia mutabilis,Boraginaceae,native
Phacelia platyloba,Boraginaceae,native
Phacelia purpusii,Boraginaceae,native
Phacelia quickii,Boraginaceae,native
Phacelia racemosa,Boraginaceae,native
Phacelia ramosissima,Boraginaceae,native
Phacelia tanacetifolia,Boraginaceae,native
Phacelia vallicola,Boraginaceae,native
Pholistoma auritum,Boraginaceae,native
Plagiobothrys bracteatus,Boraginaceae,native
Plagiobothrys myosotoides,Boraginaceae,native
Plagiobothrys nothofulvus,Boraginaceae,native
Plagiobothrys scouleri,Boraginaceae,native
Plagiobothrys stipitatus,Boraginaceae,native
Plagiobothrys tenellus,Boraginaceae,native
Plagiobothrys torreyi,Boraginaceae,native
Anelsonia eurycarpa,Brassicaceae,native
Arabidopsis thaliana,Brassicaceae,invasive
Arabis eschscholtziana,Brassicaceae,native
Arabis pycnocarpa,Brassicaceae,native
Athysanus pusillus,Brassicaceae,native
Barbarea orthoceras,Brassicaceae,native
Barbarea vulgaris,Brassicaceae,invasive
Boechera arcuata,Brassicaceae,native
Boechera covillei,Brassicaceae,native
Boechera davidsonii,Brassicaceae,native
Boechera depauperata,Brassicaceae,native
Boechera divaricarpa,Brassicaceae,native
Boechera howellii,Brassicaceae,native
Boechera inyoensis,Brassicaceae,native
Boechera lemmonii,Brassicaceae,native
Boechera lyallii,Brassicaceae,native
Boechera paupercula,Brassicaceae,native
Boechera pendulocarpa,Brassicaceae,native
Boechera perennans,Brassicaceae,native
Boechera pinetorum,Brassicaceae,native
Boechera platysperma,Brassicaceae,native
Boechera pratincola,Brassicaceae,native
Boechera rectissima,Brassicaceae,native
Boechera retrofracta,Brassicaceae,native
Boechera sparsiflora,Brassicaceae,native
Boechera stricta,Brassicaceae,native
Boechera tularensis,Brassicaceae,native
Brassica nigra,Brassicaceae,invasive
Brassica rapa,Brassicaceae,invasive
Capsella bursa-pastoris,Brassicaceae,invasive
Cardamine breweri,Brassicaceae,native
Cardamine californica,Brassicaceae,native
Cardamine hirsuta,Brassicaceae,invasive
Cardamine nuttallii,Brassicaceae,native
Cardamine oligosperma,Brassicaceae,native
Descurainia californica,Brassicaceae,native
Descurainia incana,Brassicaceae,native
Descurainia incisa,Brassicaceae,native
Descurainia pinnata,Brassicaceae,native
Descurainia sophia,Brassicaceae,invasive
Draba albertina,Brassicaceae,native
Draba breweri,Brassicaceae,native
Draba cana,Brassicaceae,native
Draba densifolia,Brassicaceae,native
Draba lemmonii,Brassicaceae,native
Draba longisquamosa,Brassicaceae,native
Draba oligosperma,Brassicaceae,native
Draba praealta,Brassicaceae,native
Draba verna,Brassicaceae,native
Erysimum capitatum,Brassicaceae,native
Erysimum perenne,Brassicaceae,native
Hirschfeldia incana,Brassicaceae,invasive
Hornungia procumbens,Brassicaceae,native
Lepidium densiflorum,Brassicaceae,native
Lepidium ramosissimum,Brassicaceae,invasive
Lepidium ruderale,Brassicaceae,invasive
Lepidium virginicum,Brassicaceae,invasive
Lunaria annua,Brassicaceae,invasive
Nasturtium officinale,Brassicaceae,invasive
Phoenicaulis cheiranthoides,Brassicaceae,native
Raphanus raphanistrum,Brassicaceae,invasive
Raphanus sativus,Brassicaceae,invasive
Rorippa curvipes,Brassicaceae,native
Rorippa curvisiliqua,Brassicaceae,native
Rorippa sinuata,Brassicaceae,native
Sinapis arvensis,Brassicaceae,invasive
Sisymbrium altissimum,Brassicaceae,invasive
Sisymbrium erysimoides,Brassicaceae,invasive
Sisymbrium irio,Brassicaceae,invasive
Sisymbrium officinale,Brassicaceae,invasive
Streptanthus diversifolius,Brassicaceae,native
Streptanthus tortuosus,Brassicaceae,native
Subularia aquatica,Brassicaceae,native
Thysanocarpus curvipes,Brassicaceae,native
Tomostima reptans,Brassicaceae,native
Tropidocarpum gracile,Brassicaceae,native
Turritis glabra,Brassicaceae,native
Yosemitea repanda,Brassicaceae,native
Brasenia schreberi,Cabombaceae,native
Calycanthus occidentalis,Calycanthaceae,native
Downingia montana,Campanulaceae,native
Githopsis diffusa,Campanulaceae,native
Githopsis specularioides,Campanulaceae,native
Heterocodon rariflorum,Campanulaceae,native
Nemacladus capillaris,Campanulaceae,native
Nemacladus interior,Campanulaceae,native
Smithiastrum prenanthoides,Campanulaceae,native
Triodanis biflora,Campanulaceae,native
Humulus lupulus,Cannabaceae,invasive
Lonicera caerulea,Caprifoliaceae,native
Lonicera conjugialis,Caprifoliaceae,native
Lonicera interrupta,Caprifoliaceae,native
Lonicera involucrata,Caprifoliaceae,native
Plectritis ciliosa,Caprifoliaceae,native
Symphoricarpos albus,Caprifoliaceae,native
Symphoricarpos mollis,Caprifoliaceae,native
Symphoricarpos rotundifolius,Caprifoliaceae,native
Valeriana brachystemon,Caprifoliaceae,native
Valeriana californica,Caprifoliaceae,native
Cerastium arvense,Caryophyllaceae,native
Cerastium beeringianum,Caryophyllaceae,native
Cerastium fontanum,Caryophyllaceae,invasive
Cerastium glomeratum,Caryophyllaceae,invasive
Cherleria obtusiloba,Caryophyllaceae,native
Dianthus armeria,Caryophyllaceae,invasive
Dianthus barbatus,Caryophyllaceae,invasive
Eremogone aculeata,Caryophyllaceae,native
Eremogone kingii,Caryophyllaceae,native
Herniaria hirsuta,Caryophyllaceae,invasive
Minuartia stricta,Caryophyllaceae,native
Petrorhagia dubia,Caryophyllaceae,invasive
Polycarpon tetraphyllum,Caryophyllaceae,invasive
Pseudostellaria jamesiana,Caryophyllaceae,native
Sabulina californica,Caryophyllaceae,native
Sabulina douglasii,Caryophyllaceae,native
Sabulina nuttallii,Caryophyllaceae,native
Sabulina pusilla,Caryophyllaceae,native
Sabulina rubella,Caryophyllaceae,native
Sagina decumbens,Caryophyllaceae,native
Sagina procumbens,Caryophyllaceae,invasive
Sagina saginoides,Caryophyllaceae,native
Saponaria officinalis,Caryophyllaceae,invasive
Scleranthus annuus,Caryophyllaceae,invasive
Silene antirrhina,Caryophyllaceae,native
Silene bernardina,Caryophyllaceae,native
Silene bridgesii,Caryophyllaceae,native
Silene coronaria,Caryophyllaceae,invasive
Silene gallica,Caryophyllaceae,invasive
Silene laciniata,Caryophyllaceae,native
Silene latifolia,Caryophyllaceae,invasive
Silene lemmonii,Caryophyllaceae,native
Silene menziesii,Caryophyllaceae,native
Silene sargentii,Caryophyllaceae,native
Spergula arvensis,Caryophyllaceae,invasive
Spergularia rubra,Caryophyllaceae,invasive
Stellaria borealis,Caryophyllaceae,native
Stellaria calycantha,Caryophyllaceae,native
Stellaria crispa,Caryophyllaceae,native
Stellaria irrigua,Caryophyllaceae,native
Stellaria longipes,Caryophyllaceae,native
Stellaria media,Caryophyllaceae,invasive
Stellaria nitens,Caryophyllaceae,native
Stellaria obtusa,Caryophyllaceae,native
Parnassia palustris,Celastraceae,native
Calystegia malacophylla,Convolvulaceae,native
Convolvulus arvensis,Convolvulaceae,invasive
Cuscuta californica,Convolvulaceae,native
Cuscuta jepsonii,Convolvulaceae,native
Cuscuta occidentalis,Convolvulaceae,native
Cuscuta subinclusa,Convolvulaceae,native
