id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
6739748,2017-06-17 3:19:56 PM PDT,2017-06-17,2017-06-17 22:19:56 UTC,Pacific Time (US & Canada),24754,dgreenberger,David Greenberger,2017-06-21 05:29:17 UTC,2017-06-21 21:42:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6739748,https://inaturalist-open-data.s3.amazonaws.com/photos/8558650/medium.jpeg,,"",,1,0,false,2,"32635-32705 Evergreen Road Groveland, CA 95321",37.8353919983,-119.8478088379,,,,,,,,false,gps,gps,Euphorbia serpillifolia hirtula,Euphorbia serpillifolia hirtula,Hairy Thymeleaf Sandmat,Plantae,550260,Euphorbiaceae,Euphorbia,Euphorbia serpillifolia,Euphorbia serpillifolia hirtula
6740124,2017-06-17 3:29:59 PM PDT,2017-06-17,2017-06-17 22:29:59 UTC,Pacific Time (US & Canada),24754,dgreenberger,David Greenberger,2017-06-21 06:39:57 UTC,2019-05-29 23:01:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6740124,https://inaturalist-open-data.s3.amazonaws.com/photos/8559278/medium.jpeg,,"",,1,0,false,2,"32422-32430 Evergreen Road Groveland, CA 95321",37.8352928162,-119.8480529785,,,,,28329,,open,false,gps,gps,Foothill Triteleia,Triteleia ixioides scabra,Foothill Triteleia,Plantae,80263,Asparagaceae,Triteleia,Triteleia ixioides,Triteleia ixioides scabra
9858685,Tue May 09 2017 17:27:04 GMT-0700 (PDT),2017-05-09,2017-05-10 00:27:04 UTC,Pacific Time (US & Canada),761676,jimtietz,,2018-02-14 17:18:37 UTC,2018-04-30 07:13:02 UTC,research,,https://www.inaturalist.org/observations/9858685,https://static.inaturalist.org/photos/13504807/medium.jpg,,"","",1,0,false,3,"Stanislaus National Forest, Groveland, CA, US",37.833645,-119.8518666667,5,,,,5,,,false,,,spotted fritillary,Fritillaria atropurpurea,spotted fritillary,Plantae,77171,Liliaceae,Fritillaria,Fritillaria atropurpurea,
11348524,Sun Apr 22 2018 11:01:02 GMT-0700 (PDT),2018-04-22,2018-04-22 18:01:02 UTC,Pacific Time (US & Canada),108599,erikaashley11,"",2018-04-23 02:10:25 UTC,2018-04-23 14:39:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11348524,https://inaturalist-open-data.s3.amazonaws.com/photos/16166568/medium.jpg,,"",,1,0,false,3,"Stanislaus National Forest, Groveland, CA, US",37.8384283333,-119.8404,5,,,,5,,,false,,,Menzies' baby blue eyes,Nemophila menziesii,Menzies' baby blue eyes,Plantae,50648,Boraginaceae,Nemophila,Nemophila menziesii,
13252554,Fri Jun 08 2018 17:02:53 GMT-0700 (PDT),2018-06-08,2018-06-09 00:02:53 UTC,Pacific Time (US & Canada),16988,apatten,Amy,2018-06-09 04:51:50 UTC,2020-02-06 01:57:06 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/13252554,https://inaturalist-open-data.s3.amazonaws.com/photos/19392997/medium.jpg,,"",,1,0,false,3,"Stanislaus National Forest, Groveland, CA, US",37.8344716667,-119.848045,5,,,,5,,,false,,,Common Madia,Madia elegans,Common Madia,Plantae,56974,Asteraceae,Madia,Madia elegans,
13252587,Fri Jun 08 2018 12:57:34 GMT-0700 (PDT),2018-06-08,2018-06-08 19:57:34 UTC,Pacific Time (US & Canada),16988,apatten,Amy,2018-06-09 04:54:15 UTC,2018-06-09 16:35:23 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/13252587,https://inaturalist-open-data.s3.amazonaws.com/photos/19393059/medium.jpg,,"",,2,0,false,3,"Stanislaus National Forest, Groveland, CA, US",37.8343616667,-119.8484416667,10,,,,10,,,false,,,Sierra mariposa lily,Calochortus minimus,Sierra mariposa lily,Plantae,60549,Liliaceae,Calochortus,Calochortus minimus,
13582194,2018/06/10 1:25 PM PDT,2018-06-10,2018-06-10 20:25:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-19 15:22:40 UTC,2022-01-05 11:53:31 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13582194,https://inaturalist-open-data.s3.amazonaws.com/photos/19975223/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8354944444,-119.8461972222,,,,,,,,false,,,Redstem Stork's-bill,Erodium cicutarium,Redstem Stork's-bill,Plantae,47687,Geraniaceae,Erodium,Erodium cicutarium,
13582195,2018/06/10 1:24 PM PDT,2018-06-10,2018-06-10 20:24:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-19 15:22:41 UTC,2022-06-08 16:47:53 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13582195,https://inaturalist-open-data.s3.amazonaws.com/photos/19975376/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8353055556,-119.8461027778,,,,,,,,false,,,Common Madia,Madia elegans,Common Madia,Plantae,56974,Asteraceae,Madia,Madia elegans,
13582196,2018/06/10 1:18 PM PDT,2018-06-10,2018-06-10 20:18:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-19 15:22:41 UTC,2018-06-19 17:11:15 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13582196,https://inaturalist-open-data.s3.amazonaws.com/photos/19975397/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8354416667,-119.8457222222,,,,,,,,false,,,western blue-eyed grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918,Iridaceae,Sisyrinchium,Sisyrinchium bellum,
13788912,Sat Jun 23 2018 15:49:37 GMT-0700 (PDT),2018-06-23,2018-06-23 22:49:37 UTC,Pacific Time (US & Canada),954277,srsisson,,2018-06-26 01:27:35 UTC,2020-02-06 02:07:46 UTC,research,,https://www.inaturalist.org/observations/13788912,https://static.inaturalist.org/photos/20335333/medium.jpg,,"",,1,0,false,3,"Stanislaus National Forest, Groveland, CA, US",37.83548,-119.84613,5,,,,5,,,false,,,Common Madia,Madia elegans,Common Madia,Plantae,56974,Asteraceae,Madia,Madia elegans,
