institutionCode,collectionCode,basisOfRecord,family,species,day,month,year,decimalLatitude,decimalLongitude
UCJEPS,VASC,PreservedSpecimen,Montiaceae,Calyptridium umbellatum,2,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Antennaria media,1,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Gentianaceae,Gentianopsis holopetala,2,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Gentianaceae,Gentianella amarella,2,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Gentianaceae,Gentianella amarella,2,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Antennaria media,1,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Montiaceae,Calyptridium umbellatum,1,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Antennaria media,1,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Iridaceae,Sisyrinchium bellum,1,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Gentianaceae,Gentianopsis holopetala,2,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa secunda,25,7,1936,37.868416,-119.31794
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa secunda,25,7,1936,37.868416,-119.31794
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa secunda,25,7,1936,37.868416,-119.31794
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Carex aquatilis,23,8,2006,37.86847,-119.31749
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Eleocharis acicularis,23,8,2006,37.86847,-119.31749
UCJEPS,VASC,PreservedSpecimen,Orobanchaceae,Castilleja miniata,6,8,1923,37.869106,-119.320854
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Symphyotrichum spathulatum,1,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Symphyotrichum spathulatum,1,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Symphyotrichum spathulatum,1,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Antennaria media,1,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Montiaceae,Calyptridium umbellatum,1,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Gentianaceae,Gentianella amarella,2,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Gentianaceae,Gentianella amarella,2,8,1936,37.86944,-119.32306
UCJEPS,VASC,PreservedSpecimen,Poaceae,Muhlenbergia richardsonis,29,8,2006,37.869453,-119.31005
UCJEPS,VASC,PreservedSpecimen,Salicaceae,Salix orestera,6,8,1931,37.890465,-119.30978
UCJEPS,VASC,PreservedSpecimen,Salicaceae,Salix orestera,6,8,1931,37.890465,-119.30978
UCJEPS,VASC,PreservedSpecimen,Ophioglossaceae,Botrychium multifidum,19,8,1922,37.8991,-119.31087
UCJEPS,VASC,PreservedSpecimen,Ophioglossaceae,Botrychium multifidum,8,8,1923,37.8991,-119.31087
UCJEPS,VASC,PreservedSpecimen,Ophioglossaceae,Botrychium multifidum,16,8,1922,37.8991,-119.31087
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Erigeron compositus,26,7,1936,37.901104,-119.31187
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Erigeron compositus,26,7,1936,37.901104,-119.31187
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Trichophorum clementis,26,7,1936,37.901104,-119.31187
YM,,PreservedSpecimen,Poaceae,Calamagrostis canadensis,4,8,2007,37.650192,-119.38185
YM,,PreservedSpecimen,Poaceae,Calamagrostis canadensis,4,8,2007,37.650192,-119.38185
YM,,PreservedSpecimen,Juncaceae,Juncus mertensianus,4,8,2007,37.650192,-119.38185
YM,,PreservedSpecimen,Juncaceae,Juncus mertensianus,4,8,2007,37.650192,-119.38185
YM,,PreservedSpecimen,Cyperaceae,Carex leporinella,4,8,2007,37.650192,-119.38185
YM,,PreservedSpecimen,Cyperaceae,Carex leporinella,4,8,2007,37.650192,-119.38185
YM,,PreservedSpecimen,Brassicaceae,Rorippa curvisiliqua,4,8,2007,37.650192,-119.38185
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Pyrrocoma apargioides,20,7,2005,37.723743,-119.38314
YM,,PreservedSpecimen,Poaceae,Muhlenbergia asperifolia,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Fabaceae,Trifolium microcephalum,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Asteraceae,Microseris nutans,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Fabaceae,Trifolium monanthum,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Fabaceae,Trifolium monanthum,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Fabaceae,Trifolium monanthum,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Fabaceae,Trifolium monanthum,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Fabaceae,Trifolium monanthum,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Fabaceae,Trifolium monanthum,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Asteraceae,Pyrrocoma apargioides,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Asteraceae,Pyrrocoma apargioides,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Juncaceae,Luzula comosa,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Juncaceae,Luzula comosa,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Juncaceae,Juncus bufonius,20,7,2005,37.723744,-119.383138
YM,,PreservedSpecimen,Poaceae,Deschampsia danthonioides,20,7,2005,37.723744,-119.383138
UCJEPS,VASC,PreservedSpecimen,Poaceae,Deschampsia cespitosa,18,8,1974,37.8095,-119.3767
UCJEPS,VASC,PreservedSpecimen,Poaceae,Deschampsia cespitosa,18,8,1974,37.8095,-119.3767
