coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
3365993,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3400781,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3423658,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3461510,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3462696,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3488349,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3653331,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:12Z,kdpearso,
3151510,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:12Z,kdpearso,
3464740,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3157955,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3223747,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3252466,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3149998,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:12Z,kdpearso,
3158164,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3191227,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3232310,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3284818,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:12Z,kdpearso,
3309525,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3321462,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3333671,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3345909,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3367060,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3367124,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:12Z,kdpearso,
3379152,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3415187,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3415973,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3504516,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3289109,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3297119,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:12Z,kdpearso,
3394664,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3406810,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3703043,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3653685,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3703393,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3703451,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3653174,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3653667,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3703705,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
360344,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-02-11T14:07:59Z,kdpearso,
3181795,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3190715,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3206144,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3229707,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-02-19T08:11:42Z,kdpearso,
3264181,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3278983,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3474004,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:12Z,kdpearso,
3476102,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3535338,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
1507455,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-09T14:41:54Z,kdpearso,
3426548,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3451847,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:12Z,kdpearso,
3338467,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3436993,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3450544,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3461768,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-02-19T08:11:42Z,kdpearso,
