notes,accepted_name,scientific_name,status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,parks_outcome,voucher_outcome,old&recent,first_voucher,last_voucher,iNat_needs_ID_?,first_iNat,last_iNat
interesting parks list omission given how many iNat records there are,Acacia parramattensis,Acacia parramattensis,current,Fabaceae,3.dicot,native,19,,1,1,,1,1,1,,,1,retain observation,"not on parks list, but occurs in park",retain voucher,old_vouchers_only,1920,1960,,2021,2023
,Acacia podalyriifolia,Acacia podalyriifolia,current,Fabaceae,3.dicot,introduced,4,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2020,2023
"1896 voucher; 30,000 m uncertainty, but locality given as [Royal] National Park, so location seems ok. But, this one seems almost certainly a misID, this species is restricted to the Blue Mountains",Acacia ptychoclada,Acacia ptychoclada,current,Fabaceae,3.dicot,out-of-range,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",(disagree with voucher),,,,,
"1907 voucher geolocated on opposite of Port Hacking, but clearly from Royal based on notes",Acacia pycnantha,Acacia pycnantha,current,Fabaceae,3.dicot,introduced,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1907,1956,none,,
,Acacia saligna,Acacia saligna,current,Fabaceae,3.dicot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Acacia schinoides,Acacia schinoides,current,Fabaceae,3.dicot,native,,,1,,,1,,1,,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park",retain voucher,old_vouchers_only,1975,1975,none,,
,Acacia stricta,Acacia stricta,current,Fabaceae,3.dicot,native,6,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1901,1901,,2020,2024
,Acacia suaveolens,Acacia suaveolens,current,Fabaceae,3.dicot,native,115,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1914,2016,,2012,2024
,Acacia terminalis,Acacia terminalis,current,Fabaceae,3.dicot,native,64,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1927,2017,,2019,2024
"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",Acacia ulicifolia,Acacia ulicifolia,current,Fabaceae,3.dicot,native,86,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1921,2008,,1989,2024
"1987 voucher has been geolocated into the ocean, but clearly in Royal based on notes",Acanthospermum australe,Acanthospermum australe,current,Asteraceae,3.dicot,introduced,1,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1971,1987,,2023,2023
,Acianthus caudatus,Acianthus caudatus,current,Orchidaceae,5.monocot-colorful,native,23,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1888,1995,,2020,2024
,Acianthus exsertus,Acianthus exsertus,current,Orchidaceae,5.monocot-colorful,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1933,1971,none,,
,Acianthus fornicatus,Acianthus fornicatus,current,Orchidaceae,5.monocot-colorful,native,32,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1899,2011,,2020,2024
,Acianthus pusillus,Acianthus pusillus,current,Orchidaceae,5.monocot-colorful,native,5,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2021,2024
"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",Acronychia oblongifolia,Acronychia oblongifolia,current,Rutaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1930,1982,none,,
,Acrotriche divaricata,Acrotriche divaricata,current,Ericaceae,3.dicot,native,2,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1961,1977,,2020,2023
"almost certainly a misidentified voucher. This species was described in 1990, and the voucher collected in 1984; it was not listed as an examined specimen in the original paper/description, despite it most likely being available for examination. Range provided in description and in NSW PlantNET do not indicate royal, and the voucher is an outlier. Original paper also explicitly notes that ""A. leucocarpa closely resembles A. divaricata to the extent that Burbridge & Gray (1970) and Willis (1973) placed it under A. divaricata."" So almost certainly actually divaricata.",Acrotriche leucocarpa,Acrotriche leucocarpa,current,Ericaceae,3.dicot,out-of-range,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",(disagree with voucher),,,,,
,Actinotus helianthi,Actinotus helianthi,current,Apiaceae,3.dicot,native,118,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1933,2012,,1981,2024
,Actinotus minor,Actinotus minor,current,Apiaceae,3.dicot,native,93,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1887,2012,,2011,2024
"there is a known disjunct population in the park near Helensburgh, referred to in multiple orchid field guides",Adenochilus nortonii,Adenochilus nortonii,current,Orchidaceae,5.monocot-colorful,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"1933 voucher geolocated just outside Royal, but notes indicate inside park",Adiantum aethiopicum,Adiantum aethiopicum,current,Pteridaceae,1.ferns/primitive,native,6,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1933,2019,,2018,2024
"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",Adiantum formosum,Adiantum formosum,current,Pteridaceae,1.ferns/primitive,native,22,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1896,2019,,1989,2024
,Adiantum hispidulum,Adiantum hispidulum,current,Pteridaceae,1.ferns/primitive,native,2,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1905,1970,,2020,2023
