notes,accepted_name,scientific_name,status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,parks_outcome,voucher_outcome,old&recent,first_voucher,last_voucher,iNat_needs_ID_?,first_iNat,last_iNat
,Cestrum aurantiacum,Cestrum aurantiacum,current,Solanaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Cestrum nocturnum,Cestrum nocturnum,current,Solanaceae,3.dicot,introduced,,,1,,,1,,,1,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park",retain voucher,recent_vouchers_only,2018,2018,yes_unsure,,
,Cestrum parqui,Cestrum parqui,current,Solanaceae,3.dicot,introduced,7,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1983,1983,,2020,2023
,Chascolytrum subaristatum,Chascolytrum subaristatum,current,Poaceae,4.monocot,introduced,,,,,1,,,,,,1,"XX-not in iNat, yes in park","retain, synonym","no voucher, but exists in park",no_vouchers,,,none,,
,Chascolytrum subaristatum,Briza subaristata,synonym,Poaceae,4.monocot,introduced,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Cheilanthes distans,Cheilanthes distans,current,Pteridaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1929,1951,none,,
,Cheilanthes sieberi,Cheilanthes sieberi,current,Pteridaceae,1.ferns/primitive,native,2,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2021,2021
,Chenopodium nutans,Chenopodium nutans,current,Amaranthaceae,3.dicot,native,,,,,1,,,,,,1,"XX-not in iNat, yes in park","retain, synonym","no voucher, but exists in park",no_vouchers,,,none,,
,Chenopodium nutans,Einadia nutans,synonym,Amaranthaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Chenopodium robertianum,Chenopodium robertianum,current,Amaranthaceae,3.dicot,native,,,,,1,,,,,,1,"XX-not in iNat, yes in park","retain, synonym","no voucher, but exists in park",no_vouchers,,,none,,
,Chenopodium robertianum,Einadia hastata,synonym,Amaranthaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Chenopodium trigonon,Chenopodium trigonon,current,Amaranthaceae,3.dicot,native,,,,,1,1,,1,,,1,"XX-not in iNat, yes in park","retain, synonym","retain, synonym",old_vouchers_only,1978,1978,none,,
,Chenopodium trigonon,Einadia trigonos,synonym,Amaranthaceae,3.dicot,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,,,
,Chiloglottis diphylla,Chiloglottis diphylla,current,Orchidaceae,5.monocot-colorful,native,5,1,1,1,1,1,1,,1,,1,retain observation,retain on list,retain voucher,recent_vouchers_only,2002,2006,,2021,2024
"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it. The 1993 voucher is a cultivated specimen",Chiloglottis formicifera,Chiloglottis formicifera,current,Orchidaceae,5.monocot-colorful,native,5,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1890,1991,,2022,2023
,Chiloglottis reflexa,Chiloglottis reflexa,current,Orchidaceae,5.monocot-colorful,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1949,1969,none,,
,Chiloglottis seminuda,Chiloglottis seminuda,current,Orchidaceae,5.monocot-colorful,native,2,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1954,1954,,2022,2022
,Chiloglottis trapeziformis,Chiloglottis trapeziformis,current,Orchidaceae,5.monocot-colorful,native,3,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2021,2022
,Chloanthes stoechadis,Chloanthes stoechadis,current,Lamiaceae,3.dicot,native,22,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1905,2007,,2020,2023
,Chloris gayana,Chloris gayana,current,Poaceae,4.monocot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Chlorophytum comosum,Chlorophytum comosum,current,Asparagaceae,5.monocot-colorful,introduced,4,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2020,2023
,Chordifex dimorphus,Chordifex dimorphus,current,Restionaceae,4.monocot,native,,1,1,,1,1,,1,1,,1,needsID-likely correct,retain on list,retain voucher,old&recent_vouchers,1896,2012,yes_correct,,
,Chordifex fastigiatus,Chordifex fastigiatus,current,Restionaceae,4.monocot,native,,1,1,,1,1,,1,1,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1906,2001,none,,
,Choretrum candollei,Choretrum candollei,current,Santalaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1888,1973,none,,
"note that at time of writing, the iNaturalist record was 'locked' up at a coarser taxon due to an incorrect identification conflicting with the correct identifications",Chorizandra cymbaria,Chorizandra cymbaria,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1,needsID-likely correct,retain on list,retain voucher,old_vouchers_only,1975,1983,yes_correct,,
,Chorizandra sphaerocephala,Chorizandra sphaerocephala,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1983,none,,
,Chrysocephalum apiculatum,Chrysocephalum apiculatum,current,Asteraceae,3.dicot,native,,,,1,,,,,,,,"remove, 03. horticultural","XX-not on parks list, not in park","XX-no voucher, not in park",(remove),,,,,
,Cichorium intybus,Cichorium intybus,current,Asteraceae,3.dicot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Cinnamomum camphora,Cinnamomum camphora,current,Lauraceae,3.dicot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Cirsium vulgare,Cirsium vulgare,current,Asteraceae,3.dicot,introduced,7,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2019,2024
,Citronella moorei,Citronella moorei,current,Cardiopteridaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1956,1982,none,,
,Cladium procerum,Cladium procerum,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1961,1975,none,,
Cladium mariscus is a northern Australian species,Cladium procerum,Cladium mariscus,misapplied,Cyperaceae,4.monocot,out-of-range,,,1,,misapplied,misapplied,misapplied,,,,,XX-misapplied other list,XX-misapplied re voucher,"remove, double listing",(remove),,,,,
"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",Claoxylon australe,Claoxylon australe,current,Euphorbiaceae,3.dicot,native,,1,1,,1,1,,1,1,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1897,2012,none,,
,Clematis aristata,Clematis aristata,current,Ranunculaceae,3.dicot,native,11,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1935,1935,,2020,2023
,Clematis glycinoides,Clematis glycinoides,current,Ranunculaceae,3.dicot,native,,1,1,,1,1,,1,,,1,needsID-likely correct,retain on list,retain voucher,old_vouchers_only,1888,1970,yes_correct,,
,Clerodendrum tomentosum,Clerodendrum tomentosum,current,Lamiaceae,3.dicot,native,6,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1891,1985,,2020,2022
,Coleus australis,Coleus australis,current,Lamiaceae,3.dicot,native,2,,1,1,1,1,1,1,,,1,retain observation,"retain, synonym",retain voucher,old_vouchers_only,1958,1958,,2019,2023
,Coleus australis,Plectranthus parviflorus,synonym,Lamiaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Coleus graveolens,Coleus graveolens,current,Lamiaceae,3.dicot,native,,,,1,,,,,,,,"remove, 01. wrong ID","XX-not on parks list, not in park","XX-no voucher, not in park",(remove),,,,,
,Colocasia fontanesii,Colocasia fontanesii,current,Araceae,5.monocot-colorful,introduced,,,,,,,,,,1,1,needsID_only_correct,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2022,2022
,Comesperma defoliatum,Comesperma defoliatum,current,Polygalaceae,3.dicot,native,,1,1,,1,1,,,1,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,recent_vouchers_only,1994,1994,yes_unsure,,
,Comesperma ericinum,Comesperma ericinum,current,Polygalaceae,3.dicot,native,35,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1926,2012,,2008,2023
,Comesperma retusum,Comesperma retusum,current,Polygalaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"iNat record shows fruit, the most useful/easy character for separating from defoliatum",Comesperma sphaerocarpum,Comesperma sphaerocarpum,current,Polygalaceae,3.dicot,native,1,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2020,2020
,Comesperma volubile,Comesperma volubile,current,Polygalaceae,3.dicot,native,19,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1960,1960,,2020,2023
,Commelina cyanea,Commelina cyanea,current,Commelinaceae,5.monocot-colorful,native,14,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,1988,2024
,Commersonia dasyphylla,Commersonia dasyphylla,current,Malvaceae,3.dicot,native,,,1,,1,1,,1,,,1,"XX-not in iNat, yes in park","retain, synonym",retain voucher,old_vouchers_only,1893,1975,none,,
,Commersonia dasyphylla,Rulingia dasyphylla,synonym,Malvaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Commersonia hermanniifolia,Commersonia hermanniifolia,current,Malvaceae,3.dicot,native,2,,1,1,1,1,1,1,1,,1,retain observation,"retain, synonym",retain voucher,old&recent_vouchers,1984,2005,,2020,2022
,Commersonia hermanniifolia,Rulingia hermanniifolia,synonym,Malvaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Conospermum ellipticum,Conospermum ellipticum,current,Proteaceae,3.dicot,native,45,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1888,2012,,1989,2022
,Conospermum longifolium,Conospermum longifolium,current,Proteaceae,3.dicot,native,20,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1888,2012,,2014,2023
,Conospermum taxifolium,Conospermum taxifolium,current,Proteaceae,3.dicot,native,,1,1,,1,1,,1,1,,1,needsID-likely correct,retain on list,retain voucher,old&recent_vouchers,1896,1992,yes_correct,,
,Conospermum tenuifolium,Conospermum tenuifolium,current,Proteaceae,3.dicot,native,9,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1894,1981,,2021,2022
,Convolvulus arvensis,Convolvulus arvensis,current,Convolvulaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"bit of a geographic outlier, but ID seems good looking at the sheet",Coopernookia barbata,Coopernookia barbata,current,Goodeniaceae,3.dicot,native,,,1,,,1,,1,,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park",retain voucher,old_vouchers_only,1891,1891,none,,
,Coprosma quadrifida,Coprosma quadrifida,current,Rubiaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Coprosma repens,Coprosma repens,current,Rubiaceae,3.dicot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
iNat RG record few metres outside the park,Coreopsis lanceolata,Coreopsis lanceolata,current,Asteraceae,3.dicot,introduced,,1,,,1,,,,,,1,needsID-likely correct,retain on list,"no voucher, but exists in park",no_vouchers,,,yes_correct,,
,Coronidium elatum,Coronidium elatum,current,Asteraceae,3.dicot,native,45,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1898,1983,,2020,2023
,Coronidium gunnianum,Coronidium gunnianum,current,Asteraceae,3.dicot,native,,,1,,,1,,1,,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park",retain voucher,old_vouchers_only,1933,1933,none,,
"2002 voucher geolocated just outside the park, but inside Royal based on notes",Coronidium rutidolepis,Coronidium rutidolepis,current,Asteraceae,3.dicot,native,1,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1893,2002,,2020,2020
"1933 voucher is actually an incorrect duplicate of an C. gunnianum record fed back into the ALA by BioNet with the ID incorrectly changed; another pervasive BioNet error. 2002 voucher geolocated just outside the park, but inside Royal based on notes",Coronidium scorpioides,Coronidium scorpioides,current,Asteraceae,3.dicot,native,2,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1896,2002,,2023,2023
,Correa alba ,Correa alba ,current,Rutaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Correa reflexa,Correa reflexa,current,Rutaceae,3.dicot,native,31,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1932,1993,,2019,2024
,Cortaderia selloana,Cortaderia selloana,current,Poaceae,4.monocot,introduced,4,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2021,2023
,Corybas aconitiflorus,Corybas aconitiflorus,current,Orchidaceae,5.monocot-colorful,native,43,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1927,2020,,2020,2024
,Corybas barbarae,Corybas barbarae,current,Orchidaceae,5.monocot-colorful,native,2,,1,1,,1,1,1,,,1,retain observation,"not on parks list, but occurs in park",retain voucher,old_vouchers_only,1955,1955,,2023,2023
,Corybas fimbriatus,Corybas fimbriatus,current,Orchidaceae,5.monocot-colorful,native,8,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1895,2020,,2020,2023
,Corybas hispidus,Corybas hispidus,current,Orchidaceae,5.monocot-colorful,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1948,1948,none,,
,Corybas pruinosus,Corybas pruinosus,current,Orchidaceae,5.monocot-colorful,native,29,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1926,2017,,2020,2024
,Corybas undulatus,Corybas undulatus,current,Orchidaceae,5.monocot-colorful,native,4,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1976,1976,,2022,2023
,Corybas unguiculatus,Corybas unguiculatus,current,Orchidaceae,5.monocot-colorful,native,17,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1927,2020,,2022,2023
,Corymbia gummifera,Corymbia gummifera,current,Myrtaceae,3.dicot,native,16,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1896,2015,,2019,2024
,Cotoneaster glaucophyllus,Cotoneaster glaucophyllus,current,Rosaceae,3.dicot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Cotula australis,Cotula australis,current,Asteraceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Cotula coronopifolia,Cotula coronopifolia,current,Asteraceae,3.dicot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Crassocephalum crepidioides,Crassocephalum crepidioides,current,Asteraceae,3.dicot,introduced,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1977,1977,none,,
"voucher was geolocated into ocean, but clearly from Royal based on locality notes",Crassula decumbens,Crassula decumbens,current,Crassulaceae,3.dicot,native,,,,,,1,,,1,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park","add, voucher found during check",recent_vouchers_only,2007,2007,none,,
,Crassula multicava,Crassula multicava,current,Crassulaceae,3.dicot,introduced,2,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2020,2024
,Crassula peduncularis,Crassula peduncularis,current,Crassulaceae,3.dicot,native,,,1,,,1,,,1,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park",retain voucher,recent_vouchers_only,2007,2007,none,,
,Crassula sieberiana,Crassula sieberiana,current,Crassulaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1924,1946,none,,
,Crassula spathulata,Crassula spathulata,current,Crassulaceae,3.dicot,introduced,,1,1,,1,1,,,1,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,recent_vouchers_only,2005,2005,none,,
,Crinum pedunculatum,Crinum pedunculatum,current,Amaryllidaceae,5.monocot-colorful,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Crowea saligna,Crowea saligna,current,Rutaceae,3.dicot,native,64,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1896,2005,,2004,2024
,Cryptandra amara,Cryptandra amara,current,Rhamnaceae,3.dicot,native,13,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1931,2006,,2020,2023
,Cryptandra ericoides,Cryptandra ericoides,current,Rhamnaceae,3.dicot,native,2,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1887,2016,,2022,2022
,Cryptocarya glaucescens,Cryptocarya glaucescens,current,Lauraceae,3.dicot,native,,1,1,,1,1,,1,1,,1,needsID-likely correct,retain on list,retain voucher,old&recent_vouchers,1899,2019,yes_correct,,
,Cryptocarya microneura,Cryptocarya microneura,current,Lauraceae,3.dicot,native,,1,1,,1,1,,1,,,1,needsID-likely correct,retain on list,retain voucher,old_vouchers_only,1956,1982,yes_correct,,
,Cryptostylis erecta,Cryptostylis erecta,current,Orchidaceae,5.monocot-colorful,native,53,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2019,2024
"definitely 2 iNat RG obs (that had been bounced out), but possibly a few more on fringes",Cryptostylis hunteriana,Cryptostylis hunteriana,current,Orchidaceae,5.monocot-colorful,native,2,1,,,1,,1,,,,1,"add, auto-obscured coordinates",retain on list,"no voucher, but exists in park",no_vouchers,,,,2022,2022
,Cryptostylis leptochila,Cryptostylis leptochila,current,Orchidaceae,5.monocot-colorful,native,23,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2021,2024
,Cryptostylis subulata,Cryptostylis subulata,current,Orchidaceae,5.monocot-colorful,native,52,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2018,2024
,Cucumis myriocarpus,Cucumis myriocarpus,current,Cucurbitaceae,3.dicot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"2020 voucher geolocated on opposite of Port Hacking, but clearly from Royal based on notes",Cupaniopsis anacardioides,Cupaniopsis anacardioides,current,Sapindaceae,3.dicot,native,1,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1982,2020,,2022,2022
"very likely misidentified, 100s of km south of known range",Cupaniopsis parvifolia,Cupaniopsis parvifolia,current,Sapindaceae,3.dicot,out-of-range,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",(disagree with voucher),,,,,
,Cyanicula caerulea,Cyanicula caerulea,current,Orchidaceae,5.monocot-colorful,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"note that the voucher is annotated as collection date not supplied, but the full date is clearly shown on the (digitised) herbarium sheet",Cyanothamnus rigens,Cyanothamnus rigens,current,Rutaceae,3.dicot,native,,,,,1,1,,1,,,1," XX-not in iNat, yes in park","retain, synonym","retain, synonym",old_vouchers_only,1901,1901,none,,
,Cyanothamnus rigens,Boronia rigens,synonym,Rutaceae,3.dicot,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,,,
,Cyanthillium cinereum,Cyanthillium cinereum,current,Asteraceae,3.dicot,native,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2021,2021
,Cyathea australis,Cyathea australis,current,Cyatheaceae,1.ferns/primitive,native,2,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1895,1976,,2020,2021
,Cyathochaeta diandra,Cyathochaeta diandra,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1915,1994,none,,
,Cyclophyllum longipetalum,Cyclophyllum longipetalum,current,Rubiaceae,3.dicot,native,,1,1,,1,1,,1,,,1,needsID-likely correct,retain on list,retain voucher,old_vouchers_only,1986,1986,yes_correct,,
,Cyclosorus interruptus,Cyclosorus interruptus,current,Thelypteridaceae,1.ferns/primitive,native,,,,,1,,,,,,1," XX-not in iNat, yes in park","retain, synonym","no voucher, but exists in park",no_vouchers,,,none,,
,Cyclosorus interruptus,Thelypteris interrupta,synonym,Thelypteridaceae,1.ferns/primitive,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
"2002 voucher geolocated just outside the park, but inside Royal based on notes",Cyclospermum leptophyllum,Cyclospermum leptophyllum,current,Apiaceae,3.dicot,introduced,1,1,,1,1,1,1,,1,,1,retain observation,retain on list,"add, voucher found during check",recent_vouchers_only,2002,2002,,2021,2021
,Cycnogeton procerum,Cycnogeton procerum,current,Juncaginaceae,4.monocot,native,1,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1983,1983,,2021,2021
"accidental double listing in park list, both Cycnogeton procerum and Triglochin procera listed separately despite being same entity",Cycnogeton procerum,Triglochin procera,synonym,Juncaginaceae,4.monocot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,"remove, double listing",XX-synonym re parks list,(remove),,,,,
,Cycnogeton rheophilum,Cycnogeton rheophilum,current,Juncaginaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1893,1893,none,,
,Cymbidium suave,Cymbidium suave,current,Orchidaceae,5.monocot-colorful,native,24,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1987,1987,,2020,2023
,Cymbopogon refractus,Cymbopogon refractus,current,Poaceae,4.monocot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Cynodon dactylon,Cynodon dactylon,current,Poaceae,4.monocot,introduced,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1983,1983,none,,
,Cyperus brevifolius,Cyperus brevifolius,current,Cyperaceae,4.monocot,introduced,,1,1,,1,1,,1,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1975,2016,none,,
,Cyperus cyperoides,Cyperus cyperoides,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1978,1978,none,,
"voucher clearly from Royal based on notes, but had been geolocated into the ocean",Cyperus enervis,Cyperus enervis,current,Cyperaceae,4.monocot,native,,1,,,1,1,,,1,,1," XX-not in iNat, yes in park",retain on list,"add, voucher found during check",recent_vouchers_only,1995,1995,none,,
,Cyperus eragrostis,Cyperus eragrostis,current,Cyperaceae,4.monocot,introduced,3,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2022,2024
,Cyperus gracilis,Cyperus gracilis,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1978,1978,none,,
,Cyperus imbecillis,Cyperus imbecillis,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1977,none,,
,Cyperus laevigatus,Cyperus laevigatus,current,Cyperaceae,4.monocot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Cyperus laevis,Cyperus laevis,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1899,1975,none,,
,Cyperus mirus,Cyperus mirus,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1932,1975,none,,
"extreme outlier, NSW flora explicitly notes ""Not yet collected in NSW but may occur in far western NSW."" Presumably a misID rather than wrong coordinates, as verbatim locality seems to be ok (ballpark at least, the coordinates are clearly not at the actual correct point)",Cyperus nervulosus,Cyperus nervulosus,current,Cyperaceae,4.monocot,out-of-range,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",(disagree with voucher),,,,,
,Cyperus polystachyos,Cyperus polystachyos,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1,needsID-likely correct,retain on list,retain voucher,old_vouchers_only,1975,1975,yes_correct,,
"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it. The other voucher is definitely in Royal, but has no collection date. However, the collector (Van Klaphake) has 3 other collections in Royal from the exact same coordinates, all from 1991-1992, so I assume this one was also from that year range and thus am annotating this as recent voucher only",Cyperus reflexus,Cyperus reflexus,current,Cyperaceae,4.monocot,introduced,,1,1,,1,1,,,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,recent_vouchers_only,,,none,,
,Cyperus sanguinolentus,Cyperus sanguinolentus,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1899,1975,none,,
